category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54,cluster 55,cluster 56,cluster 57,cluster 58,cluster 59,cluster 60,cluster 61,cluster 62,cluster 63,cluster 64
art,0,3,5,1,1,1,4,1,1,3,0,8,2,3,1,2,6,1,0,1,1,4,6,2,2,0,0,5,1,0,2,0,3,1,0,0,2,2,2,7,0,5,0,2,0,0,4,3,0,3,8,3,0,0,1,1,4,4,0,1,6,2,2,0,0
movies_and_television,0,3,2,3,1,0,10,0,33,6,0,4,0,7,9,0,8,9,2,2,1,10,4,6,1,3,0,13,6,0,1,0,5,0,6,1,5,10,5,5,0,3,4,6,0,1,20,4,0,0,4,3,0,2,3,3,0,1,2,1,4,4,23,0,0
web_development_and_sites,0,0,0,0,1,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,3,0,3,0,0,0,1,0,1,0,0,1,0,2,0,1,0,0,1,1,0,0,0,0,2,0,1,0,1,1,0,0,0,2,0,0,3
politics,27,0,0,1,20,6,0,0,23,20,0,9,23,0,19,2,0,5,2,1,0,0,0,7,0,16,0,4,9,0,58,0,1,0,4,0,2,4,15,35,0,3,10,10,0,0,2,0,72,19,0,3,35,0,24,2,52,2,23,0,0,2,18,0,2
sports,1,2,4,3,5,1,6,0,2,4,0,3,7,5,4,15,6,2,1,2,3,3,6,1,3,0,0,5,3,0,7,0,4,0,13,0,4,6,3,2,0,4,9,5,0,0,3,0,0,0,1,3,1,5,2,3,5,3,1,0,7,3,7,1,0
technology,0,0,1,0,3,23,6,0,2,26,0,1,7,1,9,5,4,9,2,9,0,2,3,19,14,13,0,2,22,0,15,1,0,1,35,0,1,4,3,10,0,12,7,3,0,0,2,0,2,8,0,0,24,1,5,8,18,9,10,0,8,3,8,0,20
educational,1,2,4,0,4,30,5,0,2,9,0,4,7,1,6,6,1,1,0,9,0,1,5,18,6,15,0,1,12,0,8,0,0,1,12,0,2,4,2,4,0,13,6,6,0,1,1,0,1,5,1,3,6,1,3,3,8,5,2,1,4,5,2,1,34
religion,0,0,1,0,0,1,1,0,0,8,0,0,1,0,1,17,2,9,2,33,0,1,4,8,9,1,0,1,7,0,0,0,1,0,7,0,0,2,0,5,0,1,0,1,0,0,0,1,0,2,0,0,2,1,1,64,0,44,1,1,8,0,5,0,5
travel,0,1,2,2,0,0,4,0,0,0,0,0,0,0,0,2,2,0,0,0,0,5,7,0,1,1,0,2,1,0,2,0,1,0,2,0,1,0,0,1,0,2,1,1,0,0,1,0,0,0,0,2,0,1,0,0,1,0,0,0,2,1,1,0,0
music_and_entertainment,0,7,3,4,1,0,11,1,2,3,0,1,1,8,3,22,21,8,5,6,2,15,23,3,12,4,2,7,1,0,1,0,10,1,1,0,1,22,1,1,0,8,3,3,0,0,14,3,0,1,10,11,2,0,2,1,0,4,2,5,36,0,2,0,0
the_environment,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,2,0,3,1,0,0,2,6,1,0,4,1,12,0,0,0,1,0,0,0,0,1,1,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,1
school_and_education,0,0,0,0,0,7,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,1,0,1,2,1,0,1,12,0,1,0,0,0,3,0,0,1,0,0,0,4,1,3,0,0,1,0,0,2,0,1,2,0,1,1,1,1,0,0,0,0,0,0,1
health,0,0,7,3,0,0,1,0,0,0,0,3,5,0,7,0,0,1,1,0,0,0,0,1,1,1,0,6,4,0,4,0,0,0,0,0,6,0,3,2,0,7,3,6,0,0,1,1,0,2,2,0,2,1,0,1,0,0,0,0,2,1,1,0,1
citizen_journalism,8,0,3,0,2,0,0,0,5,1,0,7,0,0,2,0,0,3,0,0,1,1,0,1,3,10,0,1,16,0,1,0,1,0,4,0,1,1,11,3,0,2,2,3,0,1,2,0,14,0,0,0,0,1,1,0,1,1,4,1,0,7,5,0,0
personal_or_auto-biographical,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,4,2,4,1,0,0,0,3,1,10,0,0,1,2,0,0,0,0,0,0,0,1,1,0,1,0,4,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,4,0,0,0,0
food_and_drink,0,1,1,3,2,0,5,0,1,1,0,3,1,2,0,1,2,8,1,1,0,1,2,1,1,4,0,3,0,0,1,0,0,0,1,0,3,1,1,1,0,5,4,4,0,0,1,0,0,1,0,1,0,0,1,0,2,2,0,0,0,3,1,0,0
conferences_and_other_events,0,0,1,1,2,1,1,0,2,1,0,1,0,0,2,5,0,3,0,2,0,0,2,6,4,2,0,0,4,0,2,0,0,0,3,0,0,2,1,2,0,3,0,2,0,0,0,0,0,0,0,0,1,0,1,4,1,6,0,0,2,1,0,0,2
