category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54,cluster 55,cluster 56,cluster 57,cluster 58,cluster 59,cluster 60,cluster 61,cluster 62,cluster 63,cluster 64,cluster 65,cluster 66,cluster 67,cluster 68,cluster 69
art,1,2,4,1,3,0,2,1,1,1,0,6,0,0,4,0,3,0,1,5,0,1,6,1,1,2,5,2,3,3,2,0,2,6,6,0,0,3,1,1,0,0,0,4,0,4,1,2,1,0,1,1,3,1,6,8,0,3,3,2,3,1,1,2,2,1,0,2,1,0
movies_and_television,1,1,10,0,9,0,0,31,3,2,0,2,0,3,15,3,0,1,3,1,0,6,6,4,0,10,7,22,5,1,4,2,0,3,6,0,0,7,1,9,1,0,1,4,1,5,1,5,1,0,9,0,4,1,8,5,0,4,3,8,1,0,1,4,4,2,13,4,1,0
web_development_and_sites,0,1,1,0,0,0,0,0,0,0,0,0,4,0,1,1,2,2,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,1,1,1,2,0,0,1,0,0,1,0,1,0,0
politics,0,18,0,13,2,15,1,22,5,0,28,0,2,8,4,1,60,3,11,0,0,3,27,2,0,4,0,13,12,2,7,20,23,0,0,0,0,0,0,4,0,0,42,3,0,0,1,0,1,0,5,4,1,11,27,9,0,0,0,0,25,0,44,0,6,15,17,0,1,70
sports,0,5,4,0,1,1,3,1,2,2,1,2,0,0,4,3,2,5,4,4,0,3,0,6,0,6,7,7,2,4,12,1,5,1,6,0,0,1,4,6,0,0,6,3,0,7,2,4,1,0,3,1,1,9,2,7,0,4,0,4,4,0,4,0,1,2,3,1,15,0
technology,0,3,6,3,1,4,4,1,7,0,0,1,19,9,3,0,20,3,2,9,0,2,11,0,0,2,1,6,4,11,35,9,5,0,5,1,0,2,0,26,0,0,10,0,0,2,1,1,9,0,3,20,1,7,18,1,0,14,0,6,13,1,39,0,18,3,7,1,9,2
educational,1,4,3,0,1,2,8,0,2,0,2,3,34,11,1,3,7,4,2,3,0,2,7,0,0,4,0,1,2,2,18,1,5,1,4,0,0,1,1,11,0,0,9,2,1,2,0,1,9,0,2,38,0,5,7,3,0,8,0,5,4,1,8,2,18,1,8,5,4,1
religion,1,0,1,1,0,0,15,0,55,0,0,1,5,0,1,0,1,0,1,8,0,0,6,0,0,2,1,3,0,38,8,1,1,0,5,0,0,1,0,8,0,0,0,0,0,1,0,0,29,0,1,0,3,0,4,0,0,6,0,4,2,0,4,1,27,0,1,0,12,0
travel,0,1,3,0,2,0,0,0,0,2,0,2,0,0,1,1,0,0,0,2,0,2,1,1,0,0,2,0,0,0,1,0,0,0,4,0,0,4,0,2,0,0,0,2,0,2,1,0,0,0,1,0,0,1,0,0,0,2,0,5,2,0,0,0,0,0,0,1,2,0
music_and_entertainment,5,1,9,0,7,1,9,2,2,1,0,5,0,4,11,0,0,1,1,33,0,3,3,9,1,20,5,1,1,2,2,1,1,9,26,0,0,13,1,0,0,0,2,12,0,17,5,6,6,0,3,0,5,2,5,1,2,6,2,12,1,2,1,6,3,2,5,1,24,0
