cluster,category,score
cluster10,conferences_and_other_events,1.0
cluster11,autos_and_vehicles,0.5
cluster12,food_and_drink,0.1793103448275862
cluster13,travel,0.1794871794871795
cluster14,default_category,0.38235294117647056
cluster15,citizen_journalism,0.38461538461538464
cluster16,religion,0.4
cluster17,travel,0.203125
cluster18,citizen_journalism,0.6822429906542056
cluster19,health,0.2980769230769231
cluster30,citizen_journalism,0.43333333333333335
cluster31,citizen_journalism,0.49206349206349204
cluster36,travel,0.16161616161616163
cluster37,autos_and_vehicles,0.1781609195402299
cluster34,travel,0.1568627450980392
cluster35,religion,1.0
cluster38,conferences_and_other_events,0.1493212669683258
cluster39,travel,0.2537313432835821
cluster43,comedy,0.25
cluster42,food_and_drink,0.17857142857142858
cluster41,travel,0.14
cluster40,citizen_journalism,0.27586206896551724
cluster44,citizen_journalism,0.3465346534653465
cluster29,conferences_and_other_events,0.2631578947368421
cluster28,citizen_journalism,0.2138364779874214
cluster21,health,0.22580645161290322
cluster20,autos_and_vehicles,0.3333333333333333
cluster23,autos_and_vehicles,0.1368421052631579
cluster22,citizen_journalism,0.18085106382978725
cluster25,travel,0.19736842105263158
cluster24,travel,0.13131313131313133
cluster27,food_and_drink,0.2561576354679803
cluster26,citizen_journalism,0.2857142857142857
cluster32,videoblogging,0.25
cluster8,gaming,0.36363636363636365
cluster9,travel,0.16981132075471697
cluster33,travel,0.15708812260536398
cluster2,travel,1.0
cluster3,videoblogging,0.14012738853503184
cluster0,health,0.5454545454545454
cluster1,food_and_drink,0.2222222222222222
cluster6,travel,0.18072289156626506
cluster7,food_and_drink,0.2
cluster4,travel,1.0
cluster5,movies_and_television,0.5
