category,cluster,score
art,cluster 23,0.09022556390977443
movies_and_television,cluster 39,0.11524163568773234
web_development_and_sites,cluster 12,0.21621621621621623
politics,cluster 31,0.15202702702702703
music_and_entertainment,cluster 5,0.16199376947040497
technology,cluster 12,0.11221945137157108
educational,cluster 12,0.13898305084745763
religion,cluster 16,0.277992277992278
travel,cluster 5,0.16
sports,cluster 3,0.10050251256281408
the_environment,cluster 26,0.32653061224489793
school_and_education,cluster 26,0.2641509433962264
health,cluster 2,0.11494252873563218
citizen_journalism,cluster 26,0.1297709923664122
personal_or_auto-biographical,cluster 5,0.19607843137254902
food_and_drink,cluster 5,0.10256410256410256
conferences_and_other_events,cluster 7,0.1232876712328767
gaming,cluster 21,0.08181818181818182
literature,cluster 13,0.25301204819277107
business,cluster 7,0.16470588235294117
the_mainstream_media,cluster 8,0.1724137931034483
autos_and_vehicles,cluster 4,0.2857142857142857
comedy,cluster 35,0.2097902097902098
default_category,cluster 7,0.07121212121212121
videoblogging,cluster 3,0.09504132231404959
documentary,cluster 39,0.08333333333333333
