cluster,art,autos_and_vehicles,business,citizen_journalism,comedy,conferences_and_other_events,default_category,documentary,educational,food_and_drink,gaming,health,literature,movies_and_television,music_and_entertainment,personal_or_auto-biographical,politics,religion,school_and_education,sports,technology,the_environment,the_mainstream_media,travel,videoblogging,web_development_and_sites
cluster10,5,3,4,34,12,59,41,9,1,9,0,5,8,14,2,2,5,2,12,13,9,0,1,47,11,5
cluster11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cluster12,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
cluster13,5,15,2,13,6,6,7,1,4,15,1,0,4,20,1,6,2,8,0,4,1,0,4,36,10,7
cluster14,7,6,0,0,3,0,1,0,2,8,1,0,5,0,2,2,1,4,0,0,1,0,3,14,4,7
cluster15,2,2,2,34,6,6,4,1,0,1,1,0,0,0,1,2,2,0,13,1,0,0,1,15,5,3
cluster16,5,7,0,0,2,0,2,0,0,9,1,1,0,0,1,0,0,0,0,1,0,0,6,3,2,2
cluster17,4,1,0,2,21,9,12,1,3,36,0,20,1,0,2,0,6,1,1,5,2,0,2,46,15,5
cluster32,7,6,1,0,8,1,7,0,4,13,0,1,9,4,0,2,1,7,0,0,0,0,6,17,9,5
cluster33,1,4,2,4,5,15,16,1,0,6,1,77,0,1,0,0,9,4,0,4,1,0,34,34,5,0
cluster30,6,8,4,47,8,54,24,5,0,9,0,8,4,2,1,2,1,3,8,3,13,1,3,28,11,4
cluster31,2,14,5,16,7,59,41,14,2,3,19,12,5,17,3,1,10,2,7,26,14,0,4,42,14,5
cluster34,1,2,0,2,1,1,0,0,1,5,0,2,1,0,1,1,0,4,1,0,0,0,5,7,4,3
cluster29,6,23,2,75,12,29,14,2,3,4,0,3,3,8,0,4,1,2,1,0,10,1,5,33,5,5
cluster28,6,15,0,20,9,7,7,4,3,11,0,2,10,8,2,5,2,8,0,3,3,1,7,17,13,7
cluster21,14,15,0,8,14,2,5,0,1,8,0,0,5,4,0,3,1,6,0,2,1,0,7,24,8,4
cluster20,8,14,1,2,11,10,3,1,5,29,4,3,0,1,3,4,1,13,1,1,3,0,8,22,26,8
cluster23,1,0,1,80,1,5,3,0,0,1,0,0,0,19,0,0,0,0,10,6,1,0,0,27,3,2
cluster22,1,6,1,5,3,16,14,3,0,2,0,69,2,1,0,3,3,1,0,2,3,0,2,14,0,2
cluster25,12,11,1,0,5,14,12,1,10,52,3,14,3,1,11,7,7,10,1,2,4,0,1,26,15,7
cluster24,3,34,2,64,11,14,9,1,2,2,1,1,4,5,1,3,4,4,0,1,2,3,4,28,8,2
cluster27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
cluster26,1,4,1,63,2,11,4,0,0,1,0,1,0,8,0,1,2,0,20,1,2,0,0,22,5,2
cluster18,1,0,1,0,0,0,0,0,0,3,4,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
cluster8,8,4,2,87,5,31,16,1,1,2,1,7,2,3,2,1,4,2,4,5,9,1,4,24,5,2
cluster9,2,1,0,0,4,1,2,0,0,3,0,0,0,1,0,0,0,2,0,0,0,0,2,4,2,0
cluster19,5,15,0,4,15,5,8,3,0,27,1,4,3,1,2,3,2,6,2,0,1,0,7,33,18,5
cluster2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cluster3,1,1,1,0,0,0,1,0,0,6,0,1,1,1,0,0,0,5,0,0,0,0,4,6,3,1
cluster0,7,14,0,9,6,4,3,2,3,12,1,2,8,1,2,6,0,6,0,1,0,0,11,11,2,3
cluster1,5,6,2,2,3,28,25,2,2,16,3,24,2,5,14,12,8,2,1,2,4,0,0,33,17,3
cluster6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
cluster7,3,6,0,2,5,1,0,0,1,11,4,1,0,1,0,2,0,2,0,0,1,0,3,9,1,6
cluster4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cluster5,4,30,2,19,14,12,13,1,2,17,3,1,7,4,0,6,1,3,1,2,2,0,9,34,20,3
