category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25
art,12,3,6,6,5,9,8,4,0,0,2,4,9,0,5,5,0,0,7,5,1,1,12,13,8,8
movies_and_television,11,4,8,3,35,14,6,20,1,0,1,36,20,0,8,14,0,1,24,5,1,0,12,18,12,15
web_development_and_sites,6,2,0,1,2,1,1,7,0,0,0,3,1,0,1,0,0,0,1,0,2,1,1,1,6,0
politics,92,43,2,3,27,3,0,22,0,0,0,70,21,0,0,7,0,0,109,2,128,0,0,9,45,9
sports,6,6,7,24,11,11,8,13,0,0,4,14,14,0,0,16,0,0,15,3,3,0,6,14,16,8
technology,72,5,0,27,15,11,1,85,0,0,1,15,9,1,0,6,0,0,37,2,13,0,16,2,79,4
educational,29,3,0,30,15,4,8,66,1,0,2,12,7,0,3,9,0,0,17,0,6,0,14,7,59,3
religion,20,0,0,39,2,3,1,90,0,0,0,1,1,0,2,4,0,0,5,3,0,0,17,0,69,2
travel,1,0,3,5,2,5,4,2,0,0,0,3,6,0,0,0,0,0,3,1,0,0,10,1,1,3
music_and_entertainment,7,2,13,45,20,30,16,11,0,0,3,3,17,0,13,29,0,0,4,10,2,3,61,9,9,14
the_environment,1,0,1,2,2,4,0,21,0,0,0,2,1,0,1,2,0,0,0,4,0,4,3,0,0,1
school_and_education,5,1,0,3,3,1,0,15,0,0,0,1,3,0,0,3,0,0,2,0,0,0,1,0,13,2
health,6,0,5,1,12,0,9,7,0,0,0,4,8,0,1,3,0,0,4,1,0,0,4,5,8,9
citizen_journalism,6,0,1,4,8,1,4,20,1,0,1,5,19,0,1,1,0,0,8,0,26,0,1,9,14,1
personal_or_auto-biographical,2,1,2,15,1,3,0,3,0,0,0,1,1,0,1,2,0,0,1,1,0,0,11,1,3,2
food_and_drink,2,1,3,7,6,5,2,5,0,0,0,4,6,0,0,3,0,0,6,2,0,0,8,6,6,6
conferences_and_other_events,3,2,1,14,3,1,1,19,0,0,0,4,2,0,0,2,0,0,3,0,1,0,8,1,8,0
gaming,5,0,4,2,5,13,8,6,0,0,4,4,13,0,3,6,0,2,2,5,0,1,11,7,3,6
literature,8,17,0,2,0,2,0,7,0,0,0,1,0,0,0,3,0,0,2,1,23,0,3,0,14,0
business,6,1,0,7,5,1,0,29,0,0,0,1,4,0,0,0,0,0,2,1,7,0,2,2,16,1
the_mainstream_media,21,0,1,5,3,3,0,16,0,0,0,4,2,0,0,1,0,0,9,1,2,0,5,2,12,0
autos_and_vehicles,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,1,0,0,0,0,0,1,0
comedy,5,1,3,2,8,10,7,38,0,0,2,7,6,0,9,7,0,0,6,8,0,0,1,9,3,11
default_category,38,21,16,69,34,24,21,85,0,1,6,35,40,0,7,42,1,0,34,10,36,2,30,29,65,14
videoblogging,9,6,2,29,26,27,11,20,1,0,2,11,10,0,5,20,0,0,8,5,6,0,15,11,16,2
documentary,4,4,10,8,4,8,5,5,0,0,1,2,12,0,2,5,0,0,5,6,3,0,9,5,7,3
