category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29
art,7,8,5,9,1,0,5,5,0,2,0,11,0,4,12,7,0,1,6,2,0,0,3,8,6,4,2,11,11,3
movies_and_television,12,24,17,18,3,0,28,3,0,3,0,9,0,6,11,15,1,0,8,39,0,1,2,19,15,5,1,15,7,7
web_development_and_sites,6,2,6,1,1,0,2,2,1,2,0,4,0,0,1,0,0,1,1,2,0,0,1,1,0,2,0,1,0,0
politics,46,99,26,19,38,0,24,3,96,38,0,109,0,0,2,4,0,0,5,59,0,0,0,0,6,5,0,9,0,4
sports,14,16,14,12,2,0,11,22,1,6,0,8,0,2,7,9,0,0,8,13,0,0,0,10,14,5,4,10,5,6
technology,84,33,80,9,13,0,12,27,2,6,1,57,0,1,16,4,0,0,1,14,0,0,0,11,6,20,1,2,0,1
educational,57,16,58,7,5,0,12,30,2,3,0,24,0,2,13,2,0,0,8,13,0,1,1,4,9,18,2,7,1,0
religion,63,4,17,1,2,0,2,35,0,0,0,13,0,1,13,2,0,0,1,0,0,0,1,3,5,93,0,0,0,3
travel,0,4,3,6,0,0,2,5,0,0,0,1,0,1,10,2,0,0,4,2,0,0,0,5,0,0,0,1,3,1
music_and_entertainment,8,4,7,16,2,0,18,48,0,2,0,5,0,9,56,9,0,3,13,5,0,0,7,31,28,10,3,8,14,15
the_environment,0,2,20,1,0,0,0,2,0,0,0,1,0,1,3,1,0,4,0,4,0,0,0,2,2,1,0,0,1,4
school_and_education,15,2,15,2,0,0,4,3,0,1,0,2,0,0,1,1,0,0,1,1,0,0,0,1,3,1,0,0,0,0
health,7,6,7,6,1,0,11,2,0,0,0,5,0,0,3,10,0,0,10,5,0,0,1,0,3,1,0,3,5,1
citizen_journalism,10,9,25,19,5,0,7,4,21,0,0,4,0,0,1,1,0,0,4,5,0,1,1,1,1,1,1,9,0,1
personal_or_auto-biographical,2,0,4,0,0,0,2,16,0,1,0,2,0,1,12,1,0,0,1,1,0,0,1,3,1,0,0,1,2,0
food_and_drink,6,7,6,5,1,0,5,6,0,1,0,1,0,1,8,4,0,0,4,4,0,0,0,5,2,2,0,6,2,2
conferences_and_other_events,9,2,10,2,2,0,3,13,0,2,0,4,0,0,7,0,0,0,1,3,0,0,0,1,2,10,0,1,1,0
gaming,3,2,2,9,0,1,9,3,0,0,0,4,0,2,10,9,1,1,4,4,0,0,4,11,8,5,3,4,7,4
literature,14,1,10,0,28,0,0,2,0,15,0,4,0,0,2,0,0,0,0,1,0,0,0,1,4,0,0,0,0,1
business,11,0,29,4,1,0,5,8,7,1,0,8,0,1,1,2,0,0,0,1,0,0,0,1,0,4,0,1,0,0
the_mainstream_media,14,11,17,2,2,0,3,5,0,0,0,15,0,0,6,0,0,0,0,2,0,0,0,2,2,2,0,2,1,1
autos_and_vehicles,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0
comedy,4,6,4,6,0,0,7,2,0,1,0,5,0,8,1,9,0,0,9,7,0,0,4,9,8,34,2,8,3,6
default_category,60,44,68,34,33,0,37,63,12,17,0,42,1,5,30,16,0,2,14,26,1,0,6,20,34,33,4,25,19,14
videoblogging,13,7,18,9,5,0,25,32,1,6,0,9,0,3,17,3,0,0,8,12,0,1,4,27,17,5,2,10,5,3
documentary,7,4,6,9,4,0,7,8,0,3,0,3,0,3,10,4,0,0,4,2,0,0,2,8,5,0,0,4,8,7
