category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49
art,2,5,4,5,2,0,1,3,4,2,3,1,1,3,3,4,5,2,7,1,0,0,0,0,0,5,6,1,0,3,6,3,2,1,0,8,7,0,7,5,1,6,3,2,0,1,0,5,1,2
movies_and_television,4,14,1,7,3,1,0,3,4,2,4,3,0,4,8,18,1,3,8,4,3,0,0,0,0,13,22,0,3,12,6,11,6,1,0,3,8,1,5,5,13,7,6,4,0,5,0,12,1,30
web_development_and_sites,1,1,1,4,2,0,0,0,1,1,0,1,1,1,2,1,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,4,1,0,0,0,0,0,0,2,1,2,1,0,1,1,0,0,0,2
politics,22,1,16,23,31,0,0,0,69,3,2,31,38,0,12,5,2,25,0,15,2,72,0,0,0,0,61,0,12,5,0,6,6,0,0,0,0,0,9,52,21,1,4,0,0,5,0,0,0,41
sports,7,5,4,4,6,0,0,2,4,4,5,2,1,0,4,6,18,2,7,6,1,0,0,0,0,3,17,0,0,4,2,5,15,0,0,5,8,0,7,1,6,7,5,3,0,3,0,9,4,7
technology,10,3,22,43,5,0,0,0,16,11,0,11,3,0,4,4,22,11,1,3,2,2,0,0,0,1,23,1,15,4,0,48,45,0,1,1,5,0,1,34,12,10,0,1,0,10,0,7,0,9
educational,8,4,8,26,3,0,0,2,5,14,0,3,3,0,6,2,22,19,1,5,0,1,0,0,0,1,14,1,12,2,0,27,29,1,0,3,8,1,3,10,11,10,6,2,0,11,0,2,1,8
religion,1,2,2,6,0,0,0,0,6,72,1,2,0,1,0,1,30,0,0,1,2,0,0,0,0,1,1,0,5,2,0,14,15,1,0,1,6,0,0,8,1,11,0,0,0,65,0,1,0,0
travel,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,3,0,2,1,0,0,0,0,0,4,4,0,0,1,2,2,2,0,0,2,4,0,0,1,0,7,3,1,0,0,0,4,0,2
music_and_entertainment,3,19,4,4,1,0,1,7,0,7,11,1,2,3,2,14,34,6,8,2,5,0,0,0,0,11,3,1,3,4,5,1,5,5,0,11,30,0,0,4,6,43,11,10,2,2,0,25,2,3
