category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54
art,1,6,0,3,1,1,0,1,0,0,1,4,2,4,2,1,4,2,3,9,1,3,0,2,1,1,0,3,0,0,3,0,2,2,1,0,2,5,0,0,3,7,6,6,2,4,6,4,6,3,1,7,3,3,1
movies_and_television,1,9,12,12,7,0,1,0,1,0,3,0,1,14,16,9,8,2,5,12,1,3,0,4,5,0,0,19,0,1,4,0,4,11,2,0,5,3,0,3,3,6,6,6,10,18,5,11,2,4,4,2,9,3,2
web_development_and_sites,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,0,3,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,3,4,1,1,1,3,2,2,0,1,2,1
politics,0,0,7,3,16,28,0,0,18,72,2,2,26,4,44,14,49,24,0,3,0,3,0,2,5,0,0,5,0,0,0,0,8,4,7,0,2,7,0,12,0,0,0,20,6,64,1,1,70,1,23,0,16,20,3
sports,0,6,6,10,6,1,0,0,1,0,1,17,5,5,5,5,3,4,3,11,4,3,0,3,3,0,0,5,0,0,2,0,8,4,12,0,6,4,0,0,0,1,3,5,6,8,8,4,3,2,2,5,3,2,4
technology,0,5,4,2,9,0,0,0,7,2,2,6,5,1,7,9,39,10,2,2,0,0,0,0,14,1,0,2,0,0,0,1,11,4,43,0,0,0,0,15,0,0,6,36,47,21,11,3,15,23,6,1,7,12,10
educational,1,2,4,5,9,1,1,0,2,2,0,11,4,1,8,6,11,7,2,2,1,3,0,3,10,1,0,2,0,0,2,0,8,1,29,0,0,4,0,11,0,1,6,23,27,7,9,1,6,19,2,3,5,20,12
religion,1,2,0,3,1,0,0,0,0,0,2,16,0,1,0,1,11,1,0,0,0,0,0,0,67,0,0,1,0,0,0,0,1,2,6,0,1,0,0,3,1,0,6,3,15,2,12,1,5,25,1,1,0,0,67
travel,0,2,1,0,0,0,0,0,0,0,0,3,0,5,1,1,1,0,1,2,0,2,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,2,7,1,2,2,3,3,0,1,0,2,1,0,0
music_and_entertainment,5,20,3,19,2,1,0,1,2,0,6,25,1,10,1,4,3,3,13,6,2,11,0,1,2,1,0,12,0,0,7,0,1,5,2,2,11,1,0,3,3,7,30,5,1,1,37,16,1,10,0,8,3,7,6
