category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54,cluster 55,cluster 56,cluster 57,cluster 58,cluster 59
art,1,3,2,1,0,1,2,0,0,2,0,2,1,2,7,4,1,0,4,9,1,2,1,3,0,0,3,4,0,0,3,1,1,1,5,0,6,4,4,1,0,0,5,6,3,2,3,0,3,2,4,0,2,4,0,0,6,3,1,7
movies_and_television,0,2,4,5,0,6,4,3,10,11,0,10,0,13,6,0,3,0,18,11,1,4,4,11,0,0,4,7,0,0,3,1,2,3,3,1,6,10,6,0,0,1,4,9,4,29,2,2,3,3,13,5,1,10,0,0,5,3,1,2
web_development_and_sites,1,2,0,1,0,2,0,0,0,0,1,4,0,0,0,0,1,0,1,0,0,2,1,0,0,0,0,3,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,2,1,1,1,1,0,0,1,1,2,0,0,1,1,0,0
politics,14,24,0,16,72,8,0,2,18,4,0,6,0,9,0,2,19,0,2,0,2,47,2,3,0,5,0,23,0,0,3,0,3,13,11,0,0,0,11,0,0,0,9,1,1,29,18,16,0,5,0,5,30,60,0,34,1,64,0,0
sports,0,1,2,5,0,2,3,6,8,3,0,6,0,9,1,18,2,1,6,10,0,1,4,11,0,0,1,6,0,0,2,0,4,5,0,0,3,6,4,0,0,0,4,4,2,4,4,1,0,12,4,3,5,5,0,1,7,5,3,5
technology,3,15,0,6,2,16,1,0,8,4,0,47,0,8,0,6,4,0,4,2,1,31,0,5,0,1,1,44,0,0,0,0,10,7,4,0,6,4,4,1,1,0,0,4,22,5,13,9,0,41,1,10,3,15,0,3,11,17,0,1
educational,2,9,2,6,2,18,2,0,11,1,0,28,0,8,1,10,2,1,1,1,0,4,4,4,0,0,0,25,0,0,3,1,12,5,7,1,8,2,4,1,0,0,5,1,19,5,13,2,0,28,1,10,3,4,0,1,10,5,0,2
religion,2,1,1,1,0,3,0,0,1,2,0,15,0,0,0,16,1,0,0,0,1,3,0,3,0,0,2,6,0,0,0,1,62,1,8,0,7,2,0,0,0,0,0,1,24,0,1,1,0,7,1,69,0,0,0,0,11,4,0,1
travel,0,0,0,0,0,0,1,1,1,1,0,2,0,2,2,3,0,0,1,2,1,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,7,2,1,0,0,0,0,3,1,1,0,0,0,1,4,0,0,2,0,0,4,0,0,2
music_and_entertainment,0,4,7,2,0,4,10,9,5,3,2,1,1,2,7,25,1,0,11,8,4,3,1,21,0,1,4,5,0,0,11,5,6,4,1,0,30,18,3,1,0,0,0,16,10,2,1,2,3,3,10,2,1,1,0,1,39,0,2,8
the_environment,0,0,1,0,0,1,0,0,2,1,4,18,0,2,1,0,0,0,0,0,0,1,0,1,0,0,4,0,0,0,0,0,1,0,0,0,1,3,1,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0
school_and_education,2,4,0,3,0,3,0,0,0,1,0,8,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,7,0,0,1,0,1,0,2,0,0,1,0,0,0,0,0,0,2,1,2,0,0,5,2,1,0,0,0,0,1,1,0,0
health,1,1,0,8,0,2,0,1,6,8,0,4,0,2,4,0,0,0,0,2,1,2,4,1,0,1,0,2,0,0,0,0,0,0,1,0,1,0,3,0,0,0,3,0,1,2,5,0,1,1,2,1,0,3,0,0,6,1,0,6
citizen_journalism,11,3,0,5,12,11,0,1,2,1,0,2,0,1,0,0,1,0,3,2,0,3,1,1,0,0,0,1,0,0,1,1,1,2,1,1,1,0,16,0,0,0,7,0,3,4,0,4,0,5,1,1,0,3,0,10,1,4,1,2
personal_or_auto-biographical,0,2,0,1,0,3,0,0,0,1,0,3,0,0,2,3,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,1,1,9,1,1,0,1,0,0,0,1,0,0,0,7,1,0,0
food_and_drink,0,1,0,3,0,1,2,3,4,4,0,0,0,8,0,0,1,0,0,2,1,0,2,0,0,0,1,3,0,0,1,0,0,0,1,0,6,3,2,0,0,0,2,1,7,1,1,0,0,3,3,1,1,1,0,0,6,1,0,1
conferences_and_other_events,1,0,0,2,0,4,0,0,1,0,0,8,0,1,1,6,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,7,1,3,0,5,0,2,0,0,0,1,0,7,2,0,1,0,4,0,3,2,2,0,0,2,1,0,1
gaming,0,2,0,4,0,2,2,2,2,5,1,4,0,2,3,0,0,2,1,4,4,2,2,5,0,2,1,0,0,0,2,3,2,4,0,0,7,6,4,1,0,1,1,5,1,2,1,0,0,1,5,1,0,0,1,0,4,1,1,4
literature,5,13,0,0,0,7,0,0,0,0,0,1,0,2,0,1,9,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5,15,0,1,0,0,11,0,0,6,1,0,0,0
business,0,4,1,0,6,2,0,0,2,1,0,22,0,0,0,5,0,0,0,1,0,4,0,0,0,3,0,2,0,0,0,0,2,0,2,0,1,0,4,0,0,0,1,1,2,1,1,0,0,11,0,1,1,0,0,2,1,1,0,0
the_mainstream_media,0,2,0,1,0,0,0,0,1,0,0,14,0,1,1,0,0,0,1,0,0,12,0,1,0,0,1,6,0,0,0,0,1,1,1,0,4,1,0,0,0,0,2,1,3,2,2,2,0,8,2,3,0,4,0,0,3,6,0,0
autos_and_vehicles,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0
comedy,0,1,3,2,0,1,1,2,5,7,0,1,0,3,2,2,1,0,3,5,3,3,4,5,0,1,4,2,0,0,3,1,34,2,1,0,1,5,2,1,0,0,3,4,1,3,0,0,6,1,4,2,0,2,0,0,0,2,1,3
default_category,6,21,1,10,8,32,12,10,18,5,2,22,0,15,10,36,15,3,15,13,4,11,6,23,1,7,6,12,1,0,7,3,28,9,8,0,14,14,13,0,0,0,12,9,21,15,21,13,3,27,11,10,12,18,0,12,27,16,3,9
videoblogging,1,4,1,2,1,10,6,1,8,2,0,9,0,5,2,13,2,0,13,4,3,3,1,14,0,1,2,6,0,1,3,2,5,3,0,0,12,15,2,2,0,0,3,11,8,4,7,5,2,5,10,0,5,2,0,0,11,4,0,6
documentary,2,5,1,4,0,2,2,3,2,3,0,3,0,1,6,2,1,1,1,1,2,1,0,2,0,0,5,2,0,0,1,0,0,2,2,0,5,2,5,0,0,0,3,8,2,1,1,1,1,3,3,1,3,1,0,0,6,1,0,4
