category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54,cluster 55,cluster 56,cluster 57,cluster 58,cluster 59,cluster 60,cluster 61,cluster 62,cluster 63,cluster 64,cluster 65,cluster 66,cluster 67,cluster 68,cluster 69
art,0,2,2,1,1,0,1,0,2,0,0,0,0,1,5,1,2,0,1,1,2,6,1,0,0,3,0,3,1,0,3,2,2,3,5,0,0,2,0,7,4,3,4,1,2,2,4,0,5,1,0,0,0,1,1,8,2,1,3,3,7,0,3,3,4,3,0,4,0,4
movies_and_television,1,2,1,0,3,1,1,3,3,0,1,18,2,4,2,3,7,0,1,0,6,4,7,0,1,1,0,11,0,4,7,7,8,3,3,0,0,1,0,5,8,16,6,1,2,5,7,0,11,0,0,0,1,3,3,13,8,29,4,9,3,0,4,2,0,0,1,6,3,3
web_development_and_sites,0,0,2,0,1,1,1,0,0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,1,1,3,1,0,2,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,2,0,3,0,0,1,0,1,1,0,1,0,0,0,0,0
politics,0,4,16,12,22,5,3,2,13,0,17,5,1,2,0,14,57,0,2,28,2,0,4,0,0,56,68,4,0,2,17,40,3,3,11,0,0,0,0,0,0,38,0,0,15,1,0,15,0,0,0,0,11,23,0,0,4,14,0,7,0,18,0,1,14,2,0,0,7,9
sports,0,0,0,4,4,14,2,6,8,0,1,5,0,3,7,3,3,1,2,1,5,5,3,0,0,2,0,5,0,4,4,3,4,3,2,0,0,0,0,1,4,8,2,3,4,1,0,0,5,0,0,0,0,1,3,7,4,3,1,4,5,1,5,2,3,16,0,3,5,4
technology,8,9,15,7,5,28,6,0,11,0,6,2,3,1,5,5,11,0,1,0,3,5,1,0,0,14,2,4,0,8,6,30,7,0,35,0,0,0,0,0,3,16,1,0,2,19,0,0,5,1,1,0,12,7,7,2,40,4,1,6,0,1,1,10,13,4,0,2,5,0
educational,4,4,6,7,5,23,5,0,10,0,2,3,3,3,5,6,2,1,0,1,2,4,0,0,0,5,1,2,0,6,4,5,5,3,27,0,0,1,0,1,2,7,1,0,3,10,2,5,1,1,0,0,9,2,11,2,23,4,0,8,2,0,4,16,8,9,1,0,5,3
religion,5,29,0,1,0,5,43,0,1,0,0,1,1,0,10,1,0,0,1,0,2,4,0,0,0,4,0,2,0,48,0,5,7,0,3,0,0,1,0,0,2,3,1,0,0,4,1,0,1,0,0,0,2,1,4,0,13,0,2,1,1,0,0,34,1,14,0,0,0,0
travel,0,0,0,0,0,1,0,1,2,0,0,1,0,2,2,0,2,0,1,0,0,5,1,0,0,1,0,1,0,0,0,0,4,1,0,0,0,0,0,2,1,0,4,0,0,1,0,0,3,0,0,0,0,0,1,2,2,2,0,0,2,0,2,0,0,2,0,0,1,0
music_and_entertainment,7,1,3,0,0,1,5,9,4,0,2,4,0,1,35,1,1,0,6,1,17,26,4,2,0,1,0,3,1,2,1,4,11,11,2,0,0,6,0,7,18,0,12,2,1,3,7,1,13,1,0,0,3,0,5,9,1,3,4,4,8,0,6,5,3,20,0,11,2,0
