cluster,category,score
cluster58,literature,0.16216216216216217
cluster59,citizen_journalism,0.3333333333333333
cluster54,health,0.5
cluster55,food_and_drink,0.2786885245901639
cluster56,comedy,0.3076923076923077
cluster57,citizen_journalism,0.3475177304964539
cluster50,citizen_journalism,0.26666666666666666
cluster51,travel,0.14705882352941177
cluster52,travel,0.15
cluster53,travel,0.2328767123287671
cluster10,religion,0.5
cluster11,conferences_and_other_events,0.24161073825503357
cluster12,health,0.21649484536082475
cluster39,travel,0.19101123595505617
cluster14,food_and_drink,0.2692307692307692
cluster15,citizen_journalism,0.21176470588235294
cluster16,autos_and_vehicles,0.5
cluster17,health,0.30434782608695654
cluster18,citizen_journalism,0.3710691823899371
cluster19,citizen_journalism,0.4375
cluster30,citizen_journalism,0.2
cluster31,food_and_drink,0.17796610169491525
cluster36,food_and_drink,0.18627450980392157
cluster37,autos_and_vehicles,0.16666666666666666
cluster34,movies_and_television,0.5
cluster35,travel,0.18461538461538463
cluster9,conferences_and_other_events,1.0
cluster28,the_mainstream_media,0.25
cluster38,citizen_journalism,0.18446601941747573
cluster49,food_and_drink,0.23529411764705882
cluster13,autos_and_vehicles,0.19298245614035087
cluster43,food_and_drink,0.24489795918367346
cluster42,travel,0.2761904761904762
cluster41,health,0.47368421052631576
cluster40,food_and_drink,0.25
cluster47,citizen_journalism,0.373134328358209
cluster46,travel,0.16393442622950818
cluster45,travel,0.16666666666666666
cluster44,citizen_journalism,0.3090909090909091
cluster29,travel,0.2549019607843137
cluster64,citizen_journalism,0.3384615384615385
cluster61,movies_and_television,0.21666666666666667
cluster60,conferences_and_other_events,0.2546583850931677
cluster63,art,0.5
cluster62,food_and_drink,0.2777777777777778
cluster21,travel,0.2247191011235955
cluster20,religion,0.18181818181818182
cluster23,autos_and_vehicles,0.1485148514851485
cluster22,travel,0.16666666666666666
cluster25,conferences_and_other_events,0.19907407407407407
cluster24,food_and_drink,0.17142857142857143
cluster27,citizen_journalism,0.7083333333333334
cluster26,videoblogging,0.18181818181818182
cluster32,citizen_journalism,0.6086956521739131
cluster8,travel,0.15151515151515152
cluster48,travel,0.16901408450704225
cluster33,religion,1.0
cluster2,travel,1.0
cluster3,autos_and_vehicles,0.14130434782608695
cluster0,travel,0.14166666666666666
cluster1,web_development_and_sites,0.14285714285714285
cluster6,gaming,0.4
cluster7,food_and_drink,0.1595744680851064
cluster4,travel,1.0
cluster5,autos_and_vehicles,0.5
