category,cluster,score
art,cluster 5,0.08270676691729323
movies_and_television,cluster 12,0.11895910780669144
web_development_and_sites,cluster 10,0.10810810810810811
politics,cluster 22,0.15202702702702703
music_and_entertainment,cluster 5,0.16510903426791276
technology,cluster 27,0.1571072319201995
educational,cluster 10,0.13898305084745763
religion,cluster 20,0.3088803088803089
travel,cluster 5,0.16
sports,cluster 0,0.11557788944723618
the_environment,cluster 27,0.3877551020408163
school_and_education,cluster 10,0.20754716981132076
health,cluster 39,0.11494252873563218
citizen_journalism,cluster 1,0.16030534351145037
personal_or_auto-biographical,cluster 0,0.2549019607843137
food_and_drink,cluster 5,0.07692307692307693
conferences_and_other_events,cluster 20,0.136986301369863
gaming,cluster 2,0.11818181818181818
literature,cluster 32,0.27710843373493976
business,cluster 27,0.3176470588235294
the_mainstream_media,cluster 27,0.19540229885057472
autos_and_vehicles,cluster 12,0.2857142857142857
comedy,cluster 20,0.23776223776223776
default_category,cluster 0,0.09242424242424242
videoblogging,cluster 0,0.10743801652892562
documentary,cluster 0,0.07407407407407407
