video,shot_number,category,cluster,interactions_number_speakers_2,interactions_number_speakers_3,interactions_number_speakers_4,interactions_number_speakers_4+,intervention_short,intervention_long,speakers_type_ponctuel,speakers_type_localise,speakers_type_present,speakers_type_regulier,speakers_type_important,speaker_distribution,mean_number_of_faces,std_number_of_faces,inter_intensity_variation,intra_intensity_variation,number_shot_transition,number_speaker_transition,speech,music,speech_with_music,speech_with_non_music,non_speech_with_music,non_speech_with_non_music,words,duration
NegoPolis-MarketingPlanParaMendigos1Parte694.xml,1,business,13,1.41,0.0,0.0,95.68,0.11,0.83,0.0,0.0,68.64,27.56,0.0,100.0,27.766666666666666,33.99772868230399,34.99041394336666,20.653594771244443,1008.79765396,5.98240469208,82.38,58.25,46.63,35.71,11.61,5.96,31.9764397906,14.9995601302
Stupidfamouspeople-PaparazziFootageOfBrookeShieldsAndGinaGershonInNewYork651.xml,1,music_and_entertainment,13,50.0,0.0,0.0,0.0,0.0,0.0,35.37,14.63,0.0,0.0,0.0,100.0,3.0,2.160246899469287,23.952941176455553,17.29847494554444,1162.79069767,2.32558139535,2.98,86.28,2.79,0.19,83.49,0.74,0.0130890052356,0.378288026744
Interniek-BeverlyHillsChihuahuaPremire412.xml,1,movies_and_television,25,0.0,0.0,0.0,0.0,6.43,0.0,0.0,6.43,0.0,0.0,0.0,100.0,1.5,1.5,24.794335511977778,15.555555555553333,276.816608997,0.0,1.72,95.85,1.16,0.55,94.68,3.15,0.0523560209424,2.54244743556
UBM-01073aWillYouBeAssimilatedByTheBeast152.xml,1,religion,33,3.1,0.0,4.01,60.63,0.13,0.0,0.0,0.0,15.05,16.45,33.19,100.0,0.0,0.0,0.7472766884534444,18.69281045751111,45.9242250287,2.84156142365,64.49,29.41,25.76,38.68,3.64,1.34,45.7460732984,30.6501275622
DJsounds-Teaser2LaidbackLuke518.xml,1,music_and_entertainment,7,0.0,0.0,0.0,0.0,0.0,84.75,84.75,0.0,0.0,0.0,0.0,100.0,5.0,5.0,64.81873638342222,26.579520697166668,2321.42857143,0.0,88.26,5.71,4.15,83.21,1.56,7.68,0.837696335079,0.492654174364
Grollett-TrackstarTuesdaysIronLungSamuraiElectro412.xml,1,music_and_entertainment,29,99.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.2,100.0,15.125,8.695365144719341,38.731154684088885,23.8779956427,549.132947977,0.0,96.17,11.97,11.38,84.64,0.59,2.91,9.54188481675,3.04389900589
Interestingtalks-NormanFinkelsteinAtTheUniversityOfCalgaryTheWarOnGaza178.xml,1,politics,21,8.71,11.46,0.0,16.16,6.79,34.02,3.22,0.0,20.07,51.62,0.0,100.0,10.857142857142858,8.475655413823615,27.469716775600006,15.424836601288888,1371.74211248,6.44718792867,58.91,53.18,21.28,37.63,31.91,9.05,9.58115183246,6.41330166271
Greenghoulie-Episode96TheBestOfTuesdaySeason4OnBryanAndPetesKids610.xml,1,school_and_education,30,0.0,9.87,5.06,76.98,1.71,0.0,0.0,0.0,1.61,27.91,62.06,100.0,4.428571428571429,3.0639443699324596,56.82265795206667,17.08061002178889,216.666666667,2.5,87.44,33.97,23.76,63.69,10.21,2.18,10.3664921466,5.27843758248
Thatsportsshow-TwitsTwitterAndMattStraqsHeadExploding895.xml,1,sports,24,0.0,61.78,0.0,0.0,3.14,22.08,3.5,0.0,0.88,0.0,82.52,100.0,4.6,3.1368774282716245,42.42004357296666,15.816993464066668,600.0,1.2,83.83,21.92,9.32,74.51,12.6,2.77,5.92931937173,2.1993489927
Marquisdejolie-IWasOnSteroids803.xml,1,sports,25,0.0,16.98,0.0,25.57,11.12,0.0,0.0,0.0,6.58,2.4,42.15,100.0,2.0,2.0,48.827450980377776,8.235294117652224,208.333333333,12.0833333333,32.39,92.0,25.86,6.52,66.14,0.61,1.68848167539,2.11137503299
Chelseagreen-MatSteinTalksSustainabilityAndSurvivalPart1Of2766.xml,1,educational,1,35.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63,0.0,33.67,100.0,9.0,9.0,1.962962962963,16.078431372544443,81.466395112,0.40733197556,33.99,9.23,6.35,27.63,2.87,1.37,3.2722513089,4.31952142166
OSCON-OSCON09SimonWardleyCloudComputingWhyITMatters707.xml,1,technology,29,5.18,0.0,0.0,89.48,0.17,1.74,0.0,0.0,0.2,7.99,84.31,100.0,7.25,9.175374651751284,43.97908496731111,20.6100217865,508.044030483,9.22946655377,95.0,30.28,27.51,67.48,2.77,2.08,24.7251308901,10.3897246415
Web2Expo-Web2ExpoSF09DouglasRushkoffHowTheWebAteTheEconomyAndW739.xml,1,technology,30,0.83,0.0,0.0,97.25,0.19,0.0,0.0,0.0,1.85,1.03,94.84,100.0,2.2,1.7204650534085253,31.24400871458889,17.60348583877778,228.034875922,3.28638497653,95.46,29.08,26.45,69.01,2.63,1.79,30.1178010471,13.1169173925
ChrisReardon-UnitedKingdomTalkVideoTuesday30thJune2009636.xml,1,comedy,17,0.0,0.0,0.0,8.99,0.0,0.0,0.0,8.49,0.29,0.0,0.0,100.0,2.5,2.5,6.275816993464444,21.69934640521778,8.59352621025,0.315095961043,8.8,1.57,1.05,7.72,0.51,0.19,6.63612565445,30.711709334
Henrichy0205blip-ArtBrussels2008765.xml,1,art,34,0.58,0.0,0.0,0.0,0.24,0.0,0.0,0.72,0.0,0.0,0.0,100.0,6.5,6.928203230275509,49.236601307188884,13.986928104566667,2566.66666667,0.333333333333,0.61,99.53,0.6,0.0,98.93,0.0,0.0130890052356,2.63921879124
