cluster,art,autos_and_vehicles,business,citizen_journalism,comedy,conferences_and_other_events,default_category,documentary,educational,food_and_drink,gaming,health,literature,movies_and_television,music_and_entertainment,personal_or_auto-biographical,politics,religion,school_and_education,sports,technology,the_environment,the_mainstream_media,travel,videoblogging,web_development_and_sites
cluster10,3,71,6,245,122,70,86,1,31,28,0,44,34,15,6,2,30,120,72,33,16,0,40,151,98,45
cluster11,147,302,1,305,111,96,41,16,16,90,8,36,89,150,0,16,37,73,5,17,50,0,37,148,33,124
cluster12,80,435,3,332,38,23,38,3,6,139,14,47,39,169,1,11,30,21,0,7,111,1,30,219,48,81
cluster13,191,869,6,191,147,59,158,9,26,122,1,147,44,124,19,6,79,87,0,27,30,0,51,246,50,131
cluster14,127,405,19,1841,105,588,375,7,10,108,57,180,265,487,10,35,258,186,3,43,255,1,137,811,69,87
cluster15,79,99,23,3119,273,39,415,8,14,41,1,116,2,35,3,18,71,22,2,5,10,0,79,753,35,20
cluster16,917,1077,10,332,472,185,141,91,95,698,15,305,51,113,25,46,39,195,2,13,57,0,349,889,259,314
cluster17,36,10,103,423,20,780,620,16,4,11,2,14,28,21,1,4,90,14,1,34,15,3,16,495,45,3
cluster18,33,70,5,7,43,32,17,0,19,122,2,6,0,29,6,15,0,79,48,1,4,0,65,157,109,36
cluster19,223,624,23,334,313,188,195,59,52,250,22,154,42,134,22,139,74,119,5,31,25,2,203,466,216,190
cluster29,296,145,36,1281,273,884,313,27,25,104,21,213,350,162,27,46,60,52,0,66,105,13,105,395,101,53
cluster28,83,119,31,134,91,379,130,16,29,148,36,26,8,31,30,103,21,108,8,29,17,0,114,354,109,32
cluster21,104,134,1,207,81,193,109,11,23,98,32,51,13,39,4,122,34,74,2,21,23,0,80,235,83,69
cluster20,16,17,8,367,46,42,21,1,48,5,6,2,29,26,1,1,1,10,0,30,3,0,3,114,24,13
cluster23,21,100,86,61,15,337,479,33,1,13,0,130,23,36,3,10,118,20,0,7,0,1,18,192,10,38
cluster22,29,19,74,99,88,383,356,53,6,20,8,6,6,69,10,1,7,27,0,41,1,2,21,312,41,13
cluster25,130,503,13,434,162,249,122,12,30,311,90,112,54,96,20,97,74,138,36,28,43,1,205,472,128,137
cluster24,145,240,4,316,40,178,104,8,2,34,4,690,69,185,0,11,63,219,9,7,40,0,109,325,35,152
cluster27,138,72,1,1535,53,100,55,0,0,67,3,25,98,269,1,1,79,10,0,9,62,0,31,315,36,90
cluster26,175,90,0,390,48,126,32,6,6,47,2,17,174,242,2,4,11,10,0,10,12,0,20,167,44,90
cluster8,277,307,7,399,88,146,172,24,32,73,22,68,32,177,7,34,45,118,5,1,26,0,90,345,62,151
cluster9,211,94,7,128,156,254,89,12,28,269,87,17,18,52,21,148,44,107,10,19,16,4,110,407,105,85
cluster2,63,85,93,143,83,260,496,11,4,95,7,340,42,58,1,15,42,50,0,37,15,10,14,279,73,45
cluster3,168,337,36,760,175,771,325,23,10,124,32,542,56,265,29,50,198,89,12,104,382,6,122,580,104,58
cluster0,451,1138,15,320,225,168,174,33,74,1258,10,179,68,97,28,39,17,256,5,18,92,0,418,929,261,348
cluster1,134,211,26,895,77,309,129,21,4,193,1,1546,26,158,2,13,60,62,1,17,64,0,94,296,46,103
cluster6,140,184,1,210,36,90,29,6,10,107,12,24,49,163,0,10,15,15,0,3,47,0,39,116,46,79
cluster7,51,214,9,2924,117,1069,199,0,11,51,1009,106,382,153,1,79,56,33,27,114,137,0,200,532,222,136
cluster4,122,380,5,269,104,116,43,16,18,126,12,53,21,196,2,12,32,67,2,9,57,0,68,284,102,164
cluster5,207,166,13,4973,49,310,147,3,2,206,1,273,93,332,3,13,136,121,0,29,32,0,56,563,27,240
