category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25
art,37,142,168,167,134,199,133,474,163,35,66,256,78,223,72,81,302,196,210,3,221,942,90,160,35,210
movies_and_television,111,188,137,331,138,597,412,1222,503,5,222,687,121,90,277,112,159,567,164,72,87,1158,138,243,77,699
web_development_and_sites,88,1,11,27,1,7,19,14,3,135,2,30,106,9,12,23,57,7,14,6,1,14,51,0,5,22
politics,87,217,142,703,247,498,1974,369,485,384,186,819,187,137,3017,3147,1335,408,5106,251,1737,336,468,340,10,384
sports,21,37,66,158,139,221,129,251,72,39,47,181,105,175,134,278,278,62,49,123,70,499,102,63,46,306
technology,371,95,119,679,230,163,657,205,38,790,85,340,312,325,1142,44,1105,182,317,70,181,186,446,67,33,242
educational,480,31,176,284,134,93,403,189,55,807,27,268,570,100,226,415,422,123,145,84,60,149,158,19,17,175
religion,130,24,25,530,53,134,190,184,55,11,24,1649,354,18,118,117,234,709,271,44,32,316,27,34,6,180
travel,3,12,26,11,24,14,10,78,13,6,14,25,7,28,14,14,26,2,2,31,0,102,76,17,20,61
music_and_entertainment,15,110,39,129,97,110,107,1326,153,11,74,239,135,270,105,53,109,94,207,28,74,719,149,108,124,373
the_environment,0,12,19,29,36,7,57,13,15,4,6,2,16,93,1080,1,26,6,0,0,3,16,49,1,2,24
school_and_education,33,5,20,15,16,24,9,35,5,32,9,26,26,20,1,9,47,12,3,1,4,102,30,13,0,29
health,57,47,21,50,14,78,319,77,69,8,9,46,47,18,395,1,320,88,91,33,231,55,19,61,0,51
citizen_journalism,43,161,30,296,55,161,498,111,269,17,154,216,107,79,169,39,133,240,336,15,395,117,64,224,30,124
personal_or_auto-biographical,3,0,7,27,5,2,10,29,2,9,1,13,3,18,3,3,28,4,5,7,1,26,30,0,6,43
food_and_drink,9,15,33,47,123,36,44,47,15,2,2,16,20,147,91,21,41,14,10,2,2,44,109,7,18,186
conferences_and_other_events,124,13,19,208,32,70,262,22,35,83,20,87,44,45,59,73,61,99,133,30,84,43,21,40,0,114
gaming,21,15,97,99,82,170,184,282,23,18,31,90,61,116,49,27,46,273,127,121,8,204,120,28,80,130
literature,0,0,4,12,3,6,3,7,0,1,0,1,0,10,50,2,0,9,0,70,0,2,8,0,51,16
business,11,3,2,96,23,29,53,24,8,48,9,37,54,22,121,4,86,10,28,33,17,13,49,3,3,24
the_mainstream_media,0,49,16,413,34,24,238,98,122,7,45,73,15,14,146,12,102,57,34,16,58,60,22,43,4,45
autos_and_vehicles,1,0,0,4,0,0,2,0,1,2,0,0,11,4,0,0,16,0,0,0,0,0,0,0,0,3
comedy,18,44,59,115,89,98,143,452,38,16,29,130,28,111,240,84,117,122,55,41,43,349,121,35,66,281
default_category,189,119,234,603,290,402,831,998,289,616,149,418,350,431,593,768,445,432,554,155,415,922,457,147,160,580
videoblogging,13,47,44,104,89,70,70,280,69,60,69,71,94,113,244,45,105,55,25,99,51,283,148,38,113,222
documentary,37,84,40,70,80,305,78,353,113,3,85,175,67,86,164,26,56,215,233,46,137,332,33,109,39,161
