category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34
art,149,109,24,148,128,16,443,50,50,66,110,76,910,96,126,84,234,215,3,206,58,207,31,139,25,33,63,275,105,104,17,61,82,189,165
movies_and_television,21,200,94,303,576,16,1041,567,214,210,119,87,1067,336,232,120,76,83,71,467,77,557,6,186,60,70,200,304,176,134,19,126,80,148,474
web_development_and_sites,19,10,87,3,10,8,12,1,9,2,20,23,11,19,7,28,25,1,6,8,92,20,96,1,3,5,4,7,11,1,63,36,1,14,2
politics,63,112,76,304,322,367,302,55,2927,183,843,3066,333,1707,304,125,1035,1727,245,286,142,326,379,207,198,7,90,399,505,203,78,601,90,4883,484
sports,134,113,11,113,185,44,200,47,119,47,52,271,472,67,34,91,169,67,122,144,83,279,19,36,15,42,66,88,54,81,61,161,51,42,71
technology,231,141,348,92,215,42,132,24,1069,76,269,33,182,511,173,342,683,176,70,112,256,172,688,86,70,31,68,140,439,192,285,580,167,295,34
educational,107,129,489,39,92,18,162,51,197,27,86,412,145,329,91,117,219,58,83,169,488,177,570,31,48,17,24,171,146,109,297,269,49,143,51
religion,4,96,126,35,100,2,175,35,106,22,1412,114,301,131,674,26,170,29,44,265,340,147,7,23,23,5,40,69,317,51,2,252,17,253,56
travel,20,12,2,16,35,48,69,18,11,14,2,12,94,6,0,28,15,0,31,11,3,48,3,10,7,19,4,32,2,22,3,13,13,2,11
music_and_entertainment,66,194,10,88,400,5,1168,95,37,71,184,29,683,35,29,149,23,74,28,76,92,216,8,103,65,120,62,69,41,98,10,58,231,192,149
the_environment,10,6,0,7,12,6,10,0,489,5,0,1,15,49,4,30,19,3,0,1,8,26,1,11,596,2,6,24,14,30,9,23,84,1,15
school_and_education,20,10,30,14,13,1,30,7,0,9,13,8,95,5,7,14,14,3,1,9,10,55,4,5,2,0,12,24,4,11,41,42,4,4,5
health,8,39,38,88,46,27,61,55,385,8,19,5,52,237,28,10,334,230,33,34,42,39,22,48,11,0,14,33,26,13,3,46,11,91,69
citizen_journalism,69,68,37,148,83,28,94,44,151,156,136,34,118,393,181,23,144,391,11,132,59,125,20,162,34,29,44,175,261,39,44,54,16,310,270
personal_or_auto-biographical,7,38,3,0,24,1,20,4,1,1,3,3,25,5,2,30,11,1,5,12,1,16,0,0,2,6,1,7,9,4,10,10,18,3,2
food_and_drink,30,29,9,16,84,1,32,0,75,1,10,13,47,23,10,106,35,2,2,13,15,129,2,7,27,16,12,34,22,122,2,29,124,10,12
conferences_and_other_events,7,70,117,37,59,1,16,44,55,20,51,71,40,232,67,21,43,82,30,34,39,60,79,16,21,0,19,43,157,33,8,45,40,132,32
gaming,37,96,20,72,141,10,229,54,33,30,45,16,191,127,209,106,29,8,120,66,43,108,13,14,39,78,45,115,66,74,26,16,82,121,23
literature,3,0,0,5,20,0,4,0,27,0,1,2,2,3,9,8,0,0,70,0,0,1,0,0,20,51,2,5,12,2,0,1,7,0,0
business,4,38,8,17,19,30,16,7,114,9,13,2,13,35,7,25,46,17,33,20,39,31,25,3,9,1,1,1,51,21,41,59,19,28,8
the_mainstream_media,3,51,0,49,48,3,84,21,136,43,57,4,58,188,39,17,80,54,16,28,15,17,9,47,20,4,14,25,372,23,1,65,13,25,118
autos_and_vehicles,4,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,10,1,1,0,0,0,0,0,0,0,2,8,0,0,1
comedy,20,76,15,37,194,6,393,16,192,28,78,68,340,112,105,109,67,42,39,52,13,183,11,40,63,65,44,92,66,81,16,71,103,52,35
default_category,187,273,169,146,455,114,864,110,528,141,258,735,878,655,306,349,307,402,151,235,264,427,444,113,123,158,157,342,404,236,251,246,319,528,272
videoblogging,50,105,9,31,131,28,237,37,219,67,30,26,267,43,31,104,48,55,99,41,72,186,43,46,35,108,39,61,45,82,41,48,67,23,67
documentary,20,94,28,124,130,12,317,58,135,79,77,13,319,39,141,32,23,135,44,139,45,168,1,78,51,36,98,150,24,70,8,28,75,222,114
