category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39
art,67,131,65,167,51,36,32,7,33,90,231,164,86,505,61,52,136,3,248,113,607,104,117,178,96,177,101,32,64,174,21,143,82,149,69,97,84,18,88,118
movies_and_television,184,228,208,126,211,184,6,6,42,296,71,839,121,1022,123,57,72,71,655,204,446,124,134,116,184,260,171,72,205,88,87,25,421,304,125,336,108,21,77,487
web_development_and_sites,3,21,2,11,9,2,112,0,69,15,28,4,55,5,35,0,1,6,12,10,15,12,1,4,10,1,11,5,3,0,77,20,0,67,0,19,0,9,2,9
politics,169,819,170,136,2904,116,370,1,126,131,1021,151,135,323,599,3046,1538,244,201,117,124,3265,231,1902,236,291,504,29,95,380,41,65,332,222,133,1742,172,367,91,435
sports,62,74,47,62,117,38,23,4,66,180,163,131,99,312,164,259,51,120,107,112,254,30,84,47,30,71,55,60,68,48,14,137,40,129,36,70,22,55,55,155
technology,58,289,75,122,1072,40,725,3,252,130,713,54,426,124,579,32,99,71,126,139,108,227,220,179,123,111,436,31,65,125,309,233,21,93,42,518,26,46,173,209
educational,37,131,26,173,198,24,659,4,355,107,228,135,165,89,278,186,53,84,155,133,81,79,137,122,71,54,146,18,25,26,458,119,38,498,9,328,11,21,47,102
religion,31,1515,23,22,106,51,8,0,337,95,161,116,26,276,244,108,25,44,92,100,106,223,52,140,664,34,317,6,44,19,110,5,45,51,16,134,14,2,15,92
travel,4,5,14,11,11,10,3,0,4,32,15,23,28,54,12,10,0,31,55,12,60,3,23,0,0,16,2,22,4,5,2,18,6,22,10,7,4,55,14,29
music_and_entertainment,29,182,68,36,45,20,8,21,39,206,23,111,141,801,59,23,65,27,817,197,332,138,98,90,22,125,38,115,62,47,10,57,132,143,64,36,35,6,223,267
the_environment,2,0,5,18,1008,4,2,1,5,14,17,1,34,9,23,1,3,0,8,6,9,0,26,4,1,17,14,6,6,1,0,12,14,15,1,52,0,7,86,85
school_and_education,4,18,9,18,0,9,13,0,8,18,13,9,27,17,42,0,0,1,23,10,88,6,19,1,8,8,4,0,13,6,29,25,3,36,12,6,2,2,6,13
health,29,27,8,19,379,16,23,0,27,30,327,75,11,16,45,3,96,33,69,39,51,42,12,62,20,61,26,0,14,174,21,8,42,15,62,245,1,29,11,37
citizen_journalism,55,145,148,28,152,35,19,3,31,66,136,114,37,91,54,16,265,12,60,73,55,123,53,292,125,185,259,44,49,241,28,69,167,103,89,398,129,27,19,88
personal_or_auto-biographical,0,2,1,7,1,0,4,0,1,33,12,13,27,15,10,3,1,6,17,35,15,4,7,0,3,0,9,9,1,2,3,8,1,5,0,5,0,1,15,9
food_and_drink,9,9,1,30,75,7,2,0,9,87,30,5,99,41,29,14,1,2,28,26,13,7,120,10,10,27,21,23,13,4,9,23,12,51,8,28,0,1,119,98
conferences_and_other_events,15,53,20,17,56,16,81,0,26,44,42,66,19,35,42,69,77,30,12,69,17,76,32,81,53,30,158,0,17,11,112,8,31,34,23,232,18,2,37,60
gaming,57,62,31,95,32,18,16,3,31,60,25,84,106,178,15,5,8,120,174,97,98,61,77,152,130,43,66,106,45,11,18,40,22,58,21,129,10,10,81,107
literature,5,1,0,4,18,1,1,0,0,13,0,0,8,2,0,0,0,70,4,0,0,0,2,5,4,0,12,61,2,0,0,2,0,1,0,3,0,0,8,28
business,14,11,7,1,115,0,32,0,36,18,46,26,31,1,64,1,9,32,20,39,12,8,24,25,6,13,50,2,1,10,7,10,8,23,3,34,1,30,19,21
the_mainstream_media,15,51,44,10,127,12,8,2,3,21,77,29,16,51,62,12,60,15,62,53,28,5,24,35,47,50,369,4,14,13,0,4,108,23,31,189,9,9,11,44
autos_and_vehicles,0,0,0,0,0,0,1,0,11,1,12,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,1,0,0,0,1
comedy,28,89,27,49,189,28,12,1,8,79,59,32,112,384,70,64,33,45,269,82,111,60,83,68,47,50,65,79,46,19,9,21,30,107,12,117,23,2,101,214
default_category,75,266,133,226,513,85,479,15,219,313,308,210,425,596,242,621,311,148,682,272,543,370,261,316,265,213,403,205,162,166,158,187,220,320,65,660,75,115,321,383
videoblogging,17,45,67,40,213,14,48,7,41,146,46,46,125,139,49,15,33,98,211,102,150,18,84,16,29,61,43,131,38,45,10,48,48,123,14,44,17,24,62,114
documentary,86,101,80,17,133,67,0,11,20,87,22,116,30,226,28,10,87,45,230,89,204,134,72,171,109,143,22,28,99,93,24,19,78,86,42,39,66,24,65,124
