category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44
art,88,70,122,68,36,83,80,95,17,51,31,84,102,137,114,106,240,117,47,611,147,88,79,133,10,59,132,18,46,232,22,207,140,109,174,74,29,20,69,0,496,47,113,3,51
movies_and_television,133,331,372,182,181,105,161,335,76,103,6,410,174,185,113,199,627,22,55,450,99,91,73,69,12,125,262,22,567,72,11,458,23,463,89,115,39,60,127,0,981,128,133,71,207
web_development_and_sites,14,7,5,3,2,0,4,19,86,5,97,3,10,1,18,10,10,9,0,15,5,18,1,1,49,31,55,8,1,24,0,6,20,9,0,25,66,6,0,0,5,0,1,7,9
politics,569,139,234,167,115,169,201,1709,27,96,379,331,490,204,821,106,180,46,2913,135,4446,111,87,1532,62,605,331,367,59,1027,2,291,59,421,382,118,124,33,135,0,307,97,203,244,2900
sports,49,141,106,60,37,22,23,67,9,14,19,39,54,36,48,111,91,51,258,256,32,104,50,51,32,158,104,56,55,164,1,116,129,151,49,75,66,70,36,4,300,44,78,121,114
technology,242,94,115,56,39,25,140,509,290,45,689,23,424,89,251,129,116,101,32,110,163,134,163,98,218,580,68,46,28,675,16,82,225,187,123,308,233,19,42,1,121,37,198,69,1071
educational,104,62,43,36,20,11,68,330,457,94,576,37,146,29,77,128,149,112,183,84,109,133,43,54,194,255,474,20,66,214,8,131,108,85,27,105,296,16,9,4,85,33,114,83,198
religion,207,83,53,29,49,14,654,130,91,20,6,44,312,24,1370,91,86,4,92,107,143,64,14,25,2,254,51,2,40,163,2,272,4,85,18,25,336,4,16,0,268,18,48,44,105
travel,4,20,17,4,7,4,0,7,1,12,3,6,2,9,2,12,55,4,8,61,1,23,12,0,4,12,20,54,22,14,0,3,19,25,5,27,3,20,10,0,54,7,22,31,10
music_and_entertainment,105,219,114,31,21,35,25,35,5,30,8,126,41,105,172,193,767,6,22,334,121,72,219,66,15,56,123,6,85,22,43,63,59,259,47,139,35,105,64,2,763,35,98,27,40
the_environment,0,6,13,1,4,0,4,50,0,19,1,14,15,12,0,6,8,0,1,10,1,14,85,3,10,23,10,7,0,19,1,1,7,80,2,28,5,8,1,0,9,5,28,0,1006
school_and_education,11,12,14,4,8,2,7,6,25,3,4,3,3,3,12,10,17,16,0,89,1,33,5,0,37,40,22,1,7,12,0,8,19,14,6,11,5,10,12,0,16,6,11,1,0
health,39,17,22,29,16,1,20,239,21,11,24,40,25,48,20,36,58,6,2,52,68,32,9,96,0,42,10,29,60,327,0,28,6,30,175,9,25,11,61,0,14,27,12,33,375
citizen_journalism,87,58,189,58,36,128,129,392,23,16,20,168,258,161,136,72,59,6,15,58,281,40,14,262,25,54,85,26,48,142,7,125,70,87,242,21,31,39,89,1,89,37,37,12,150
personal_or_auto-biographical,4,18,2,0,0,0,0,5,3,2,0,0,9,0,2,35,14,5,3,17,1,20,15,1,11,9,4,1,6,11,2,10,7,8,2,24,1,10,0,0,12,1,3,6,1
food_and_drink,4,45,14,8,7,0,7,22,6,27,2,11,22,9,7,24,27,2,12,13,8,90,111,1,5,29,32,1,0,32,0,16,26,70,4,96,9,31,8,0,41,25,119,2,76
conferences_and_other_events,45,37,32,15,16,17,50,231,103,13,80,29,156,14,51,71,10,7,68,16,104,26,34,77,7,43,30,2,40,43,0,44,5,55,12,21,21,1,23,0,31,24,31,30,56
gaming,45,59,65,57,18,10,180,128,11,64,13,20,66,15,49,95,158,31,5,97,107,40,84,8,11,15,46,9,55,26,8,65,33,100,9,100,28,110,20,0,170,43,77,120,32
literature,0,10,2,5,1,0,9,3,0,4,1,0,12,0,1,0,3,0,0,0,0,4,7,0,0,0,1,0,0,0,1,0,3,28,0,8,0,66,0,0,2,0,2,70,12
business,8,13,7,14,0,1,7,35,6,0,25,8,50,3,11,39,19,3,1,13,24,12,19,9,36,58,17,30,11,44,1,15,5,23,10,22,26,2,3,0,1,11,21,33,114
the_mainstream_media,9,21,58,14,7,9,33,189,0,15,9,106,368,47,57,50,60,1,18,29,25,12,11,60,0,61,19,9,18,75,3,32,2,40,11,17,3,4,31,0,50,4,24,15,121
autos_and_vehicles,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,1,0,0,0,0,0,3,0,0,1,8,0,0,0,12,0,0,4,1,0,0,9,0,0,0,0,0,0,0,0
comedy,70,74,72,28,20,23,98,112,8,45,11,30,64,38,72,77,250,12,60,114,17,77,100,32,9,65,87,2,16,60,11,39,20,191,19,107,5,81,12,0,369,19,79,41,188
default_category,269,253,274,73,82,73,237,649,143,147,443,217,397,110,260,267,640,97,528,557,392,203,307,309,214,231,360,113,124,306,57,177,172,347,168,297,194,186,63,2,585,133,234,149,508
videoblogging,22,95,100,16,13,18,26,42,9,27,43,45,43,46,28,102,191,14,12,150,13,108,58,35,35,44,102,23,40,47,50,33,43,104,45,91,35,109,13,1,134,27,82,95,212
documentary,133,80,164,86,59,66,113,39,16,20,0,77,23,75,59,88,225,9,17,194,168,36,64,87,3,27,74,19,65,23,13,102,19,121,95,28,20,29,42,0,220,91,70,45,123
