category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49
art,22,14,36,104,113,151,64,18,39,64,16,68,0,145,84,69,75,36,26,25,93,16,213,487,63,173,82,31,41,61,63,235,111,95,48,1,34,134,65,82,166,138,48,232,148,45,36,601,81,5
movies_and_television,11,59,183,173,88,443,50,53,129,119,78,183,0,25,108,124,122,154,45,13,334,5,382,966,62,87,108,6,13,123,200,609,204,423,199,16,42,73,206,76,126,186,582,72,106,130,138,455,413,15
web_development_and_sites,0,1,2,10,15,9,14,5,15,20,81,3,0,21,0,0,1,1,0,48,19,2,6,5,50,0,12,102,4,33,4,10,11,8,9,6,66,1,2,1,10,1,1,25,4,0,4,15,0,8
politics,2,126,117,489,841,202,112,25,111,89,33,171,0,60,170,130,162,122,2620,58,1710,23,285,306,511,380,2897,375,87,608,96,185,107,311,2894,134,126,1531,148,92,135,205,59,1027,2078,103,120,131,329,341
sports,1,58,37,55,24,200,95,70,51,53,8,57,4,133,21,35,45,65,257,47,68,65,103,291,24,48,28,22,44,164,65,97,113,99,109,64,65,51,43,53,61,37,66,164,40,43,12,255,40,1
technology,14,51,38,421,154,94,115,18,210,239,291,55,1,232,26,41,99,47,42,231,508,17,65,127,35,124,217,701,166,577,68,94,127,186,1051,24,222,99,73,159,126,88,29,685,167,37,64,116,23,30
educational,5,39,24,145,29,105,62,13,158,83,439,35,4,113,11,9,77,38,180,150,323,10,98,88,293,30,74,596,106,256,23,139,133,80,197,48,462,53,26,45,174,29,68,220,108,32,50,88,38,4
religion,2,0,52,311,715,93,48,4,830,26,61,27,0,4,14,13,42,33,87,2,129,0,201,264,35,18,208,6,9,240,40,92,94,68,104,44,335,26,21,15,21,24,40,166,103,16,629,111,44,2
travel,0,15,18,2,0,24,20,20,5,23,1,4,0,19,4,10,12,18,4,9,6,5,2,50,12,5,2,3,12,12,5,50,10,19,10,16,3,0,14,13,11,10,23,15,0,7,0,60,6,47
music_and_entertainment,40,25,21,41,124,165,150,91,81,136,4,29,2,58,35,64,82,86,20,21,35,3,58,755,25,45,127,8,19,53,62,759,194,246,40,12,48,63,67,219,37,105,89,22,80,37,15,329,126,5
the_environment,1,1,4,14,0,12,15,4,0,25,0,1,0,9,0,0,27,15,1,14,49,6,1,10,0,1,0,1,7,23,5,5,6,64,1007,0,7,3,5,86,18,12,0,19,4,6,1,7,14,7
school_and_education,0,1,9,4,2,36,5,10,34,9,16,3,0,22,2,12,5,7,0,24,6,0,3,13,9,6,5,5,21,39,12,16,10,10,0,0,6,0,9,5,18,4,7,13,0,6,7,91,3,1
health,0,17,16,26,19,14,23,6,13,7,19,30,0,6,1,60,13,12,2,2,240,1,29,12,0,172,41,29,4,49,14,54,37,38,376,17,25,96,8,11,18,49,62,335,58,27,11,54,41,11
citizen_journalism,7,9,35,259,160,80,33,37,63,17,20,55,1,67,129,89,18,27,1,27,393,12,115,86,47,239,104,19,38,54,48,52,71,69,150,6,41,264,144,18,28,160,49,141,263,36,50,58,169,25
personal_or_auto-biographical,1,5,0,8,2,8,32,9,2,23,1,0,0,6,0,0,3,5,3,8,5,0,9,14,0,2,3,1,8,9,1,12,31,8,1,2,1,1,1,15,7,0,6,11,0,1,2,16,1,1
food_and_drink,0,1,7,22,2,101,40,23,8,89,6,9,0,24,0,6,98,34,10,14,22,5,12,33,5,4,4,2,23,29,13,24,26,62,78,1,12,1,1,117,28,9,0,32,8,24,6,14,11,1
conferences_and_other_events,0,24,15,156,58,42,26,0,16,19,107,15,0,8,18,23,32,19,10,4,233,0,36,31,74,11,68,80,2,42,18,8,72,40,56,7,21,77,19,34,17,14,43,43,83,23,29,18,30,0
gaming,8,88,18,65,40,68,32,110,31,96,15,57,0,35,11,21,45,33,12,16,128,1,67,173,10,10,50,13,37,15,44,144,95,94,26,34,31,8,28,84,94,12,53,26,132,43,124,97,20,8
literature,1,50,1,12,1,3,11,63,0,8,0,4,0,3,0,0,0,0,0,0,3,1,0,2,1,0,0,1,2,0,2,2,0,24,12,28,0,0,0,6,4,0,0,0,5,0,4,1,0,0
business,1,17,0,50,6,16,13,2,10,20,7,14,0,6,1,2,18,9,2,26,34,2,14,2,14,10,7,26,11,57,1,17,38,20,112,18,27,9,7,15,1,3,11,45,24,11,5,13,7,29
the_mainstream_media,3,4,14,369,57,13,15,4,13,17,0,14,0,3,9,31,22,20,17,1,188,12,30,49,6,11,4,9,2,60,13,50,50,38,121,11,13,60,44,10,9,47,19,77,24,4,26,26,106,2
autos_and_vehicles,0,0,0,0,0,0,3,0,0,0,1,0,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,8,0,0,1,1,0,0,9,0,0,0,0,0,0,12,0,0,0,0,1,0
comedy,11,18,28,64,12,149,22,78,94,106,3,26,0,21,24,12,54,69,39,12,114,1,36,371,39,18,52,12,34,63,43,241,76,163,186,24,9,31,27,104,47,39,16,62,53,17,56,114,30,4
