category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54
art,38,12,75,6,45,67,98,101,82,82,604,30,40,194,16,13,23,63,150,135,50,98,25,81,61,50,91,30,45,138,75,224,94,65,37,4,53,241,159,480,83,11,88,19,20,69,86,128,2,54,0,36,164,46,16
movies_and_television,77,3,307,17,125,115,105,184,72,93,457,5,48,469,11,38,63,165,61,21,60,46,121,93,290,301,325,38,196,462,122,73,177,199,12,17,108,581,110,897,76,44,181,83,27,178,160,169,37,49,0,185,123,537,4
web_development_and_sites,14,75,7,0,0,0,15,7,20,0,16,52,0,9,42,1,16,2,0,21,10,0,1,10,7,0,18,61,9,4,1,24,5,3,3,8,25,9,5,4,1,0,7,65,4,3,8,1,6,51,0,2,10,1,2
politics,169,101,294,76,100,132,806,88,86,170,135,300,2857,251,48,5,86,161,262,59,12,1206,65,3406,94,169,1663,126,2880,247,163,998,617,92,78,342,606,162,1624,280,90,47,187,41,18,166,434,190,201,258,0,117,133,53,23
sports,41,7,76,3,44,35,46,103,106,20,247,20,256,129,37,23,37,42,35,127,28,31,13,23,97,29,64,63,113,204,46,173,42,69,39,1,147,98,42,286,52,46,20,11,36,57,45,36,76,21,4,37,60,43,65
technology,195,295,172,16,37,37,222,116,109,23,112,509,30,91,188,11,244,70,114,225,41,52,25,206,93,14,488,217,1060,71,100,619,66,69,162,31,523,95,176,105,161,11,104,293,20,55,382,85,62,31,1,40,111,22,17
educational,102,380,74,13,34,7,65,121,134,10,87,306,176,161,135,10,67,25,25,111,35,39,21,68,45,20,321,298,194,70,76,211,39,24,98,4,209,130,119,81,42,10,55,405,6,36,120,24,77,433,4,24,170,49,10
religion,404,11,50,7,16,14,1246,73,50,13,113,1,92,230,2,4,15,16,10,4,11,12,19,196,60,26,124,333,104,79,44,175,38,39,8,2,141,85,130,252,15,0,637,120,2,29,214,19,44,31,0,53,21,35,0
travel,1,0,22,2,7,10,3,10,16,4,60,6,8,10,6,14,15,13,4,19,11,0,11,2,10,6,7,3,9,31,13,11,2,5,12,47,13,47,0,44,11,1,0,2,9,4,1,7,31,7,0,18,11,15,5
music_and_entertainment,30,3,189,39,37,55,178,188,69,30,332,5,19,72,16,19,29,45,34,56,122,49,131,125,200,88,32,44,23,174,83,23,58,61,19,5,48,715,82,726,220,18,16,6,91,31,36,80,26,29,2,21,37,88,4
the_environment,7,1,58,549,5,1,0,5,21,0,5,1,1,1,12,8,18,5,1,6,8,0,0,0,3,9,49,5,487,8,25,17,9,5,5,7,17,5,4,10,83,0,1,0,1,1,12,11,0,4,0,4,17,0,5
school_and_education,9,5,11,0,6,11,9,9,32,2,90,3,0,8,24,0,4,8,5,17,4,0,2,6,4,3,4,5,0,21,5,12,1,11,19,1,37,22,1,19,6,0,7,28,0,4,3,4,1,10,0,9,17,7,0
health,25,5,31,1,27,61,18,33,28,1,51,33,2,33,1,0,6,8,156,6,2,95,9,38,19,29,220,23,378,15,13,338,30,15,2,11,43,51,61,13,11,0,13,20,0,29,28,49,33,1,0,16,16,57,1
citizen_journalism,47,3,56,5,36,89,122,62,52,127,64,20,14,113,23,23,15,146,204,70,3,203,11,121,35,75,376,26,149,73,19,143,190,47,30,25,46,53,281,80,14,4,102,27,25,54,254,157,8,45,1,34,23,46,12
personal_or_auto-biographical,6,0,6,0,1,0,1,33,23,0,16,1,3,12,4,4,12,1,2,7,17,1,0,3,15,0,5,1,0,7,3,11,1,1,7,1,8,14,0,14,16,0,2,3,2,0,7,0,5,0,0,0,7,2,0
food_and_drink,15,3,61,11,24,7,7,19,62,0,15,1,15,11,6,6,72,0,3,24,28,1,2,4,30,8,22,11,72,83,99,34,2,12,21,1,28,23,9,31,115,0,7,5,12,9,18,8,2,2,0,7,28,0,5
conferences_and_other_events,77,43,32,2,24,23,36,58,26,17,17,50,69,31,3,0,10,20,9,6,13,56,2,76,34,16,229,23,55,41,31,43,40,17,2,0,23,9,75,25,34,15,49,104,0,13,123,13,15,16,0,17,17,42,0
gaming,26,7,60,12,44,19,42,92,32,10,91,10,4,62,12,64,48,22,8,33,50,6,15,55,83,14,121,24,31,66,47,26,11,43,34,8,10,144,152,163,82,9,122,16,54,57,58,13,113,10,0,16,93,57,1
literature,3,1,26,0,0,0,1,0,5,0,0,0,1,0,0,3,4,0,0,2,2,0,0,0,8,0,3,0,14,2,1,0,0,2,1,0,0,3,5,1,6,20,4,0,63,4,9,0,54,1,0,1,4,0,1
business,21,10,19,2,11,3,9,37,14,1,13,19,0,19,24,6,15,6,9,7,5,6,2,6,9,6,31,27,112,7,18,46,5,1,11,29,50,18,25,1,19,5,5,7,1,14,46,3,28,12,0,0,1,7,2
the_mainstream_media,28,6,26,9,4,26,44,51,12,7,26,3,10,28,0,1,7,25,7,2,10,17,54,6,16,84,184,3,127,16,22,77,71,13,2,2,58,44,26,44,12,12,40,0,4,14,358,43,4,14,0,11,9,16,12
autos_and_vehicles,1,2,1,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,1,1,8,0,0,0,12,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
comedy,62,7,118,30,18,10,62,64,48,18,110,6,54,44,10,34,58,22,20,18,53,30,24,48,74,25,111,7,178,167,54,67,8,42,34,6,53,246,66,351,102,20,44,11,44,26,49,35,27,19,0,28,47,14,1
default_category,168,178,251,41,133,58,214,250,189,73,553,329,494,203,178,119,173,136,130,160,133,212,53,334,238,91,628,185,494,232,181,300,262,156,94,73,172,592,295,546,308,67,240,147,95,77,370,93,103,287,2,86,216,105,50
videoblogging,27,15,83,15,27,12,24,98,112,17,158,30,4,37,35,54,37,61,37,40,58,23,24,18,65,42,42,33,211,107,68,48,20,34,23,23,40,176,14,126,58,39,26,8,70,15,30,39,75,46,1,14,40,33,9
documentary,18,2,78,10,89,37,68,84,43,65,206,0,19,121,4,20,8,60,74,11,23,63,44,117,55,61,38,15,121,119,44,23,58,98,27,7,21,199,166,208,54,41,97,26,16,84,21,63,25,18,0,72,22,54,10
