category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54,cluster 55,cluster 56,cluster 57,cluster 58,cluster 59
art,89,91,128,110,99,204,0,83,35,68,89,51,11,16,131,46,13,48,46,69,43,2,46,394,89,35,17,49,14,16,16,86,103,52,58,35,20,112,69,228,60,64,41,163,0,77,179,35,15,94,27,140,114,62,29,111,9,662,0,4
movies_and_television,90,180,46,114,168,374,0,105,184,162,314,121,22,5,18,117,74,94,122,179,274,37,570,803,129,29,16,200,3,48,18,73,40,72,122,12,11,498,125,102,117,197,40,121,1,120,560,124,10,72,128,96,98,305,5,220,45,570,0,17
web_development_and_sites,15,10,0,35,10,6,0,0,2,0,16,2,1,1,20,0,74,2,0,3,0,1,1,5,12,6,10,9,70,5,34,2,0,5,28,4,47,4,0,17,20,3,0,10,5,1,9,14,0,1,0,4,15,8,51,53,1,5,0,8
politics,90,86,208,43,473,285,0,167,117,285,1557,153,92,23,58,100,24,112,100,165,151,94,57,250,657,138,759,2888,129,19,117,85,1133,496,539,77,57,293,137,468,84,94,2845,132,120,165,166,104,2,113,71,4268,835,104,288,365,37,158,0,341
sports,104,101,29,57,49,102,0,22,37,29,48,22,2,65,125,16,8,36,44,56,22,54,63,222,39,50,84,119,7,62,44,51,33,31,155,40,47,166,34,114,52,65,253,58,41,46,77,44,1,21,14,31,19,120,21,79,31,284,4,1
technology,110,118,101,110,403,60,0,25,39,17,444,93,27,17,222,14,259,58,37,55,14,52,28,82,233,114,73,1075,309,16,144,161,50,76,542,164,229,88,41,645,237,60,26,114,15,98,107,191,10,80,29,156,156,93,515,62,13,85,1,31
educational,144,121,19,118,140,88,0,10,24,28,322,49,19,10,108,15,396,20,32,34,15,33,76,64,89,39,75,195,379,11,338,45,40,22,223,99,148,63,9,157,84,23,177,171,45,78,135,146,4,16,8,106,35,51,305,318,11,72,4,4
religion,52,81,9,30,306,221,0,14,51,23,104,640,7,0,4,21,52,11,17,29,23,0,37,224,185,33,2,105,10,4,315,15,13,23,233,8,2,72,15,216,24,41,91,21,44,42,74,868,0,6,10,131,649,66,1,45,2,145,0,2
travel,24,10,3,16,2,2,0,4,18,3,7,0,3,5,14,5,1,10,7,4,6,16,21,41,3,5,6,10,0,19,1,11,0,0,12,11,8,22,10,7,22,4,7,11,15,13,50,4,0,5,4,1,0,16,5,19,6,60,0,47
music_and_entertainment,60,188,23,140,39,56,0,35,20,49,28,22,42,4,55,97,3,24,36,31,102,16,72,739,104,115,10,29,4,80,17,210,50,23,55,18,21,220,64,24,134,61,15,36,11,83,613,75,36,12,58,107,125,188,5,93,20,354,2,5
the_environment,19,5,1,2,13,1,0,0,4,3,50,4,564,6,7,2,0,9,5,1,9,1,0,6,0,28,9,488,1,4,2,83,0,6,21,6,13,15,0,12,23,2,1,18,0,23,8,0,1,11,1,1,0,4,0,8,0,10,0,6
school_and_education,38,10,5,23,4,3,0,2,10,3,4,6,0,0,17,1,14,8,6,3,1,1,7,9,11,2,6,0,6,10,1,6,0,0,37,19,24,11,12,6,8,12,0,17,0,5,15,30,0,2,1,0,2,9,3,17,0,78,0,1
health,27,30,153,30,21,30,0,1,16,29,180,13,1,1,6,14,15,5,27,29,26,17,60,8,34,24,353,377,4,1,14,11,91,14,38,6,2,21,60,62,7,14,2,16,17,11,60,10,0,44,3,65,18,16,27,7,0,26,0,11
citizen_journalism,38,66,179,42,253,109,0,127,35,144,339,83,7,13,65,65,19,91,35,55,69,10,52,73,79,4,15,150,3,36,15,15,195,101,58,30,24,72,89,185,15,47,14,22,4,18,53,62,7,97,65,259,154,52,20,70,4,53,1,26
personal_or_auto-biographical,17,35,2,1,8,9,0,0,0,1,4,0,0,0,5,0,1,1,1,0,0,4,6,14,4,18,9,1,0,7,1,12,1,0,9,7,6,8,0,3,23,1,3,7,1,2,10,2,1,0,0,1,2,14,1,4,1,16,0,1
food_and_drink,82,25,3,12,20,11,0,0,7,5,15,7,12,5,22,4,5,0,25,9,5,1,0,25,4,28,17,72,3,20,4,114,0,0,26,21,13,68,7,30,89,11,10,26,1,97,23,8,0,5,2,8,3,41,1,21,2,25,0,1
conferences_and_other_events,22,67,9,9,154,43,0,17,16,18,209,33,3,0,5,8,100,9,24,14,11,18,39,20,42,17,3,56,43,0,15,32,55,30,40,2,2,59,23,62,20,18,67,16,5,31,9,15,0,7,13,98,59,26,51,27,7,23,0,0
gaming,41,93,7,57,65,67,0,10,18,6,120,161,16,1,31,6,8,11,42,57,16,91,53,149,45,25,0,31,7,103,8,79,6,6,15,32,13,77,21,35,96,42,4,90,23,49,137,31,8,8,21,98,49,56,10,34,15,94,0,8
literature,1,0,0,0,12,0,0,0,1,0,3,8,0,1,2,0,0,0,0,4,0,42,0,2,0,37,0,12,1,61,0,5,0,0,0,1,0,5,0,0,8,2,0,3,14,1,3,0,0,0,0,0,2,2,0,1,21,0,0,0
business,13,38,9,10,49,14,0,1,0,4,32,3,2,2,5,0,6,4,11,14,4,16,11,2,8,14,17,113,13,2,22,17,6,4,55,11,24,11,3,30,20,1,0,1,18,18,20,9,0,3,5,23,10,9,19,17,1,7,0,29
the_mainstream_media,8,48,5,11,368,30,0,9,12,12,170,26,12,12,2,34,0,2,4,14,91,4,14,48,8,12,15,127,7,3,12,11,19,58,57,2,1,26,31,79,17,13,8,9,0,22,45,13,3,19,47,24,54,17,4,10,12,24,0,2
autos_and_vehicles,3,1,0,3,0,0,0,0,0,1,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,11,0,2,0,6,0,0,0,8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
comedy,70,74,14,21,55,32,0,24,28,12,98,96,36,1,18,23,3,10,18,25,22,10,17,337,65,18,35,180,7,78,1,100,28,8,61,34,11,169,12,45,107,42,55,47,15,54,214,86,2,21,20,16,12,73,6,69,32,154,0,3
default_category,202,259,104,234,381,169,1,74,86,172,588,139,42,50,156,80,123,96,128,74,82,70,122,515,262,174,130,498,186,156,102,300,201,149,206,93,211,243,61,235,239,152,479,221,46,183,566,137,38,36,71,372,278,223,327,379,68,504,1,73
videoblogging,112,102,31,68,39,29,0,17,14,15,39,16,17,9,40,33,8,39,25,15,43,47,37,106,20,50,18,210,16,97,11,57,23,15,45,22,40,76,13,33,79,38,4,38,32,68,160,30,32,21,36,13,16,70,29,91,43,153,1,20
documentary,36,89,61,71,23,84,0,65,74,38,35,82,13,11,9,44,15,40,89,83,62,21,66,193,119,16,4,122,2,19,7,53,59,41,24,27,4,119,41,25,28,96,13,21,7,45,183,57,11,38,44,160,73,72,0,57,45,186,0,5
