category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54,cluster 55,cluster 56,cluster 57,cluster 58,cluster 59,cluster 60,cluster 61,cluster 62,cluster 63,cluster 64,cluster 65,cluster 66,cluster 67,cluster 68,cluster 69
art,66,55,27,35,161,4,9,199,41,38,9,48,12,106,38,81,83,98,115,27,19,35,24,11,10,34,63,84,89,172,27,113,0,46,16,29,45,68,12,384,103,59,41,33,35,23,39,653,86,58,75,16,41,3,137,54,170,24,22,16,67,35,29,42,52,34,107,30,33,147
movies_and_television,88,61,133,162,38,15,15,35,42,192,9,29,3,448,348,141,75,68,20,55,56,27,10,66,9,38,196,105,38,528,90,115,0,87,16,72,235,297,12,775,84,183,274,67,182,65,119,570,273,109,185,11,40,71,181,58,132,38,5,8,176,69,106,25,104,33,151,350,46,53
web_development_and_sites,10,0,0,2,7,8,1,23,1,2,19,1,69,3,3,51,26,15,7,12,2,5,5,68,44,3,3,0,0,9,1,30,0,2,33,10,9,5,10,4,2,7,0,1,2,13,0,5,4,7,4,0,0,2,1,11,6,1,51,0,3,2,0,0,6,3,10,0,21,0
politics,263,25,70,109,84,341,81,773,472,2836,46,7,95,265,42,309,77,811,45,142,4,130,68,23,50,159,93,166,1125,155,70,41,0,114,116,92,1417,100,92,239,816,416,140,145,114,82,98,175,143,467,306,2,2819,221,205,11,366,40,271,28,161,26,54,87,93,3685,90,39,514,213
sports,26,25,14,66,128,1,2,119,32,99,26,19,5,143,66,49,92,10,51,33,41,47,26,6,41,10,66,22,30,81,7,56,0,35,43,34,76,116,30,216,36,57,31,38,37,34,44,276,59,12,22,4,256,120,35,30,54,17,15,70,57,54,15,21,14,6,95,13,111,29
technology,207,26,29,35,112,30,23,501,66,1070,153,60,278,85,27,44,100,116,98,166,23,109,140,253,201,166,61,25,49,103,58,109,1,58,139,157,351,85,5,75,150,322,12,94,39,228,33,86,55,258,17,4,27,71,77,40,37,86,476,18,53,74,14,38,46,55,88,17,413,102
educational,81,37,8,36,55,4,15,171,15,189,103,5,364,54,102,446,148,21,111,68,6,37,86,374,139,80,23,10,37,133,33,99,0,20,194,104,242,50,11,63,83,67,15,54,20,53,28,73,46,93,31,9,176,67,27,41,57,26,287,19,34,27,5,5,95,30,153,15,181,19
religion,139,12,11,30,5,2,4,116,19,102,2,5,8,63,43,39,50,469,4,369,5,30,7,49,2,100,40,14,12,73,586,33,0,10,313,722,101,61,2,219,81,192,24,35,49,14,12,141,320,66,23,0,92,44,22,11,93,10,1,2,29,34,11,5,18,102,73,21,64,9
travel,1,5,5,14,20,47,1,14,0,1,4,4,0,22,23,14,15,0,4,1,21,3,8,0,7,1,4,4,0,51,0,15,0,9,1,3,2,15,10,38,0,2,6,12,5,13,5,60,2,4,3,0,7,30,9,12,3,7,3,18,3,4,4,8,7,0,5,2,12,3
music_and_entertainment,77,77,61,67,55,5,37,14,19,27,16,199,3,226,38,69,67,116,6,26,87,101,15,1,16,26,60,35,43,592,10,140,2,20,11,68,18,178,10,708,51,23,83,12,19,31,31,347,30,17,58,32,17,22,102,115,44,49,5,4,31,123,47,19,30,71,81,63,29,26
the_environment,0,16,1,2,10,6,555,16,2,486,2,8,1,12,0,6,18,0,0,6,3,27,2,0,11,8,2,0,0,8,1,2,0,11,2,0,10,2,3,6,4,3,8,16,4,23,1,9,1,45,7,1,1,0,11,4,0,85,0,4,1,2,0,1,19,0,3,0,19,0
school_and_education,12,3,1,8,11,1,0,11,2,0,9,0,7,11,6,13,35,0,16,4,0,2,17,12,24,0,12,2,0,17,5,21,0,8,2,25,5,8,1,13,1,5,2,4,8,6,6,81,3,1,1,0,0,1,4,2,0,2,1,0,2,7,7,5,3,1,6,6,33,4
health,30,3,3,10,14,10,2,266,16,119,19,1,4,20,16,5,20,16,5,18,0,25,2,12,2,4,15,1,91,58,3,33,0,5,13,9,218,14,265,7,44,32,28,7,16,4,27,22,9,48,23,0,0,32,40,2,28,1,20,23,29,9,6,59,14,23,46,57,29,153
citizen_journalism,60,2,66,29,46,25,4,78,89,144,39,1,3,65,43,56,38,137,6,46,36,6,27,15,20,86,49,127,194,54,36,40,0,91,17,54,208,46,13,67,191,175,56,18,34,13,38,53,54,225,137,4,14,9,159,9,113,7,16,15,54,25,41,50,16,82,60,30,25,197
personal_or_auto-biographical,5,4,0,3,9,1,0,9,0,0,1,12,0,8,6,3,14,1,5,2,6,12,7,1,5,6,1,0,1,9,1,2,0,1,1,0,6,13,3,14,0,1,0,0,0,10,1,15,2,0,1,0,1,3,0,15,6,3,1,0,0,27,0,0,2,1,13,2,7,2
food_and_drink,3,56,2,36,95,1,11,19,0,68,0,8,3,77,3,9,64,2,2,9,16,24,3,5,7,13,11,0,1,21,3,8,0,0,5,4,31,37,16,25,5,4,7,59,7,65,14,23,8,3,3,0,7,2,9,29,9,42,1,5,8,2,6,3,27,1,27,1,23,3
conferences_and_other_events,39,6,13,19,16,0,1,28,25,55,3,8,43,52,23,18,20,44,5,61,0,14,2,94,2,45,17,17,48,8,23,9,0,9,15,6,192,25,0,18,51,84,11,27,15,10,24,23,37,51,27,0,68,30,12,12,26,15,48,2,13,15,15,9,14,51,51,28,20,9
gaming,31,37,21,33,37,8,12,15,3,8,12,31,8,72,12,22,31,39,31,21,99,21,18,5,9,30,42,10,6,129,88,58,0,12,7,22,52,58,27,147,122,29,7,28,18,51,40,95,28,83,13,5,4,118,12,54,71,45,8,2,57,53,4,16,64,36,46,57,5,7
literature,0,2,0,0,5,0,0,0,0,6,0,1,1,5,0,1,1,1,0,3,24,44,0,0,0,5,2,0,0,3,4,0,0,0,0,0,1,3,42,1,5,5,0,0,1,3,0,0,0,1,0,0,0,69,0,4,0,3,0,0,5,0,0,0,4,0,0,0,0,0
business,8,8,5,9,6,29,2,34,4,98,15,7,7,7,10,13,9,5,2,21,6,13,9,5,25,27,1,1,6,19,5,9,0,4,22,5,33,7,16,3,18,20,6,11,0,16,11,7,11,10,2,0,0,24,3,4,6,8,16,2,14,16,2,1,0,4,27,2,45,9
the_mainstream_media,7,10,48,18,5,2,8,48,33,121,0,4,6,21,7,18,11,46,1,22,3,11,0,0,0,322,14,9,16,43,21,10,0,3,1,5,94,16,7,44,8,73,72,13,8,7,1,24,21,110,51,3,7,16,47,10,26,8,3,12,14,10,31,0,14,8,29,19,41,6
autos_and_vehicles,0,0,0,0,4,0,0,10,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,6,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0
comedy,57,47,19,65,36,3,32,46,6,171,10,45,6,163,12,40,46,7,11,35,70,19,17,2,10,28,42,22,27,209,31,20,0,10,1,74,64,73,22,330,64,32,21,22,25,60,18,162,15,62,10,7,54,39,38,51,20,43,6,1,27,22,11,1,41,12,58,17,43,14
default_category,207,95,71,78,161,72,39,203,133,443,103,124,162,235,100,341,159,231,94,132,140,161,78,112,184,178,154,73,201,553,96,246,2,94,101,108,477,206,98,496,211,230,71,115,84,158,122,486,98,225,179,23,481,138,110,131,125,144,310,78,72,120,37,31,146,203,155,63,150,110
videoblogging,15,47,36,40,44,20,16,36,14,192,17,39,15,72,28,76,94,5,14,20,106,56,15,4,35,24,36,18,24,158,14,69,1,39,12,23,34,66,37,103,9,18,46,29,12,34,21,149,30,15,9,15,5,86,45,63,6,24,30,9,15,66,11,3,27,7,48,19,25,31
documentary,86,13,48,37,35,5,12,20,38,109,4,40,2,115,31,41,30,59,7,12,17,14,21,14,4,10,98,65,57,180,45,77,0,36,8,54,26,69,33,189,137,12,50,37,61,9,78,174,50,13,46,11,5,44,77,21,77,18,0,24,82,67,20,25,15,49,27,53,19,65
