cluster,category,score
cluster10,citizen_journalism,0.1789627465303141
cluster11,citizen_journalism,0.15657084188911705
cluster12,autos_and_vehicles,0.22585669781931464
cluster13,autos_and_vehicles,0.3081560283687943
cluster14,citizen_journalism,0.2845880352450147
cluster15,citizen_journalism,0.590496024233245
cluster16,autos_and_vehicles,0.1609865470852018
cluster17,conferences_and_other_events,0.27767888928444284
cluster18,travel,0.1734806629834254
cluster19,autos_and_vehicles,0.15200974421437272
cluster29,citizen_journalism,0.24859305259072384
cluster28,conferences_and_other_events,0.17337602927721865
cluster21,travel,0.12750949538795442
cluster20,citizen_journalism,0.44004796163069543
cluster23,default_category,0.2734018264840183
cluster22,conferences_and_other_events,0.22635933806146571
cluster25,autos_and_vehicles,0.1360562618339194
cluster24,health,0.23084643693542992
cluster27,citizen_journalism,0.5032786885245901
cluster26,citizen_journalism,0.22608695652173913
cluster8,citizen_journalism,0.14734121122599705
cluster9,travel,0.16293034427542033
cluster2,default_category,0.21008047437526473
cluster3,conferences_and_other_events,0.1438969764837626
cluster0,food_and_drink,0.1900015103458692
cluster1,health,0.3444741532976827
cluster6,citizen_journalism,0.14675052410901468
cluster7,citizen_journalism,0.37334014300306434
cluster4,autos_and_vehicles,0.16666666666666666
cluster5,citizen_journalism,0.6220137585991244
