category,cluster,score
art,cluster 10,0.12591202835105275
movies_and_television,cluster 39,0.10531877421627334
web_development_and_sites,cluster 1,0.11278195488721804
politics,cluster 23,0.14825454862017934
music_and_entertainment,cluster 39,0.1464300121016539
technology,cluster 28,0.1258309591642925
educational,cluster 49,0.07718360071301247
religion,cluster 6,0.2278295849332602
travel,cluster 10,0.09433962264150944
sports,cluster 39,0.0783347028211449
the_environment,cluster 3,0.36189848384970336
school_and_education,cluster 10,0.17110266159695817
health,cluster 28,0.17142857142857143
citizen_journalism,cluster 26,0.09208915013470488
personal_or_auto-biographical,cluster 7,0.11578947368421053
food_and_drink,cluster 40,0.1044504995458674
conferences_and_other_events,cluster 26,0.1257550796265788
gaming,cluster 39,0.06514788169464429
literature,cluster 44,0.24705882352941178
business,cluster 28,0.1382716049382716
the_mainstream_media,cluster 46,0.20492272467086434
autos_and_vehicles,cluster 31,0.2727272727272727
comedy,cluster 39,0.12004103967168263
default_category,cluster 26,0.054386420715337315
videoblogging,cluster 28,0.0805036245707745
documentary,cluster 39,0.06651742884553885
