category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29
art,22,20,116,111,166,124,77,242,175,48,118,315,163,263,1232,217,159,88,15,223,38,68,139,138,57,87,60,54,193,69
movies_and_television,61,22,210,135,124,315,213,512,492,143,266,370,185,915,1797,93,259,132,74,254,68,37,318,189,98,75,643,222,68,227
web_development_and_sites,3,10,54,4,13,6,6,13,0,1,59,78,37,44,29,1,22,67,6,40,4,1,4,1,90,27,4,9,22,10
politics,178,376,1122,251,140,287,175,360,502,106,6057,2867,948,426,526,1742,167,151,255,4990,12,12,275,217,222,173,68,128,146,95
sports,17,67,174,89,65,55,72,124,72,48,401,209,55,313,588,67,152,101,125,69,45,42,78,39,53,130,77,106,148,70
technology,30,51,1031,265,147,81,73,132,49,43,1180,1501,414,297,266,192,221,467,77,510,32,72,136,94,358,163,49,84,327,82
educational,45,22,428,174,205,45,48,279,60,40,867,743,229,211,288,61,243,232,86,247,15,14,38,30,429,154,103,80,151,43
religion,7,2,314,54,23,66,34,411,56,28,510,281,1732,161,419,30,105,27,44,375,5,7,38,27,464,60,73,49,19,48
travel,2,56,10,23,12,15,5,3,12,7,17,22,4,59,140,0,12,31,31,2,19,5,23,12,4,23,26,29,26,6
music_and_entertainment,81,7,53,99,37,58,39,73,154,39,42,46,187,485,1635,74,227,157,35,213,113,240,137,114,39,186,103,124,90,71
the_environment,544,9,20,36,19,5,3,1,15,7,488,62,0,20,17,3,15,39,0,5,4,10,7,12,17,22,1,36,88,12
school_and_education,1,2,24,25,18,13,7,14,5,7,8,16,21,47,114,3,13,35,1,16,0,1,20,6,41,8,10,12,25,13
health,0,48,67,14,19,19,30,34,81,29,391,546,29,54,102,230,53,8,34,105,0,1,72,58,23,33,72,18,19,16
citizen_journalism,41,43,281,46,28,167,66,161,284,41,183,520,221,148,179,387,95,39,14,364,41,3,234,164,52,45,65,43,74,54
personal_or_auto-biographical,0,2,10,11,7,0,0,11,2,1,4,16,5,22,37,1,32,28,6,3,6,13,1,0,10,36,6,6,8,1
food_and_drink,25,2,33,122,29,9,12,18,13,24,84,52,11,133,63,2,29,102,2,11,16,11,8,9,29,58,1,50,130,13
conferences_and_other_events,9,2,161,34,18,41,18,59,34,30,135,308,118,81,48,84,74,21,30,183,0,11,48,15,109,30,46,23,33,18
gaming,28,11,58,85,97,26,61,165,24,44,38,144,91,170,374,11,116,112,121,190,95,53,47,15,34,52,64,50,75,51
literature,0,0,10,2,4,1,5,1,0,0,20,3,5,8,4,0,0,8,79,4,51,1,0,0,3,36,0,0,8,2
business,5,30,86,27,4,1,14,18,9,11,130,85,17,28,29,18,49,39,34,32,9,6,9,3,35,31,13,19,18,1
the_mainstream_media,11,13,384,24,9,22,16,38,111,3,151,246,76,44,107,64,84,18,15,28,4,6,77,47,52,19,23,28,11,16
autos_and_vehicles,0,0,5,0,0,0,0,0,1,0,6,13,0,0,0,0,3,1,0,0,0,0,0,0,5,6,0,0,4,0
comedy,75,1,69,85,50,53,31,66,37,20,233,162,76,293,670,39,103,112,42,129,70,60,39,46,92,40,27,87,69,48
default_category,110,152,583,280,236,165,97,263,277,142,1276,1135,429,597,1568,408,378,457,159,683,194,185,203,119,284,330,162,141,352,182
videoblogging,40,24,56,89,41,30,23,41,69,31,248,106,41,209,417,50,124,127,97,33,122,54,82,50,51,139,52,71,64,40
documentary,32,29,28,74,18,136,91,150,123,88,142,57,139,233,537,135,98,35,65,282,36,44,119,82,27,47,77,53,45,105
