category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34
art,85,225,60,239,138,212,70,30,0,104,1252,217,166,273,227,41,39,85,59,81,107,69,56,41,173,167,72,15,68,151,39,114,52,19,51
movies_and_television,114,94,631,520,188,661,214,86,0,465,1808,91,186,351,259,82,204,129,71,74,222,127,139,68,489,126,194,74,211,245,34,133,36,22,169
web_development_and_sites,0,23,4,16,1,27,3,8,0,22,30,1,49,50,39,7,6,66,79,30,37,1,1,5,3,12,6,6,9,19,52,4,37,10,2
politics,172,148,68,371,213,348,176,187,0,174,542,1746,949,1798,4992,2161,117,146,274,160,901,134,109,5,504,139,169,254,93,145,451,249,1228,375,3476
sports,21,176,74,125,38,272,45,37,4,157,588,66,58,104,67,285,37,98,86,125,133,38,46,42,73,64,65,125,65,135,33,88,126,64,91
technology,26,381,48,140,94,146,89,58,1,219,264,192,445,1289,512,37,55,467,425,176,925,53,41,31,50,147,66,76,77,200,110,259,219,50,1056
educational,13,146,101,300,30,156,30,57,4,125,296,61,254,571,250,69,41,234,414,155,351,11,47,11,61,204,49,86,41,236,499,173,195,22,317
religion,16,19,73,455,25,119,22,17,0,85,424,30,1792,282,375,8,54,25,330,68,319,18,29,6,58,22,33,44,46,98,322,52,13,2,188
travel,4,30,25,5,11,43,14,10,0,33,144,0,3,15,2,16,6,29,7,22,5,10,7,19,12,12,4,31,4,11,5,23,10,62,2
music_and_entertainment,37,266,103,74,112,313,81,93,2,266,1670,75,189,29,214,17,20,156,29,201,57,65,43,117,152,38,36,33,68,220,25,99,22,8,28
the_environment,0,94,1,1,12,21,5,563,0,8,17,3,0,56,5,11,4,39,27,32,10,3,7,9,15,20,1,0,11,14,1,35,7,8,477
school_and_education,2,25,10,14,6,44,10,1,0,20,112,4,28,8,16,0,10,33,36,9,20,12,8,0,5,17,6,1,12,12,9,25,9,2,0
health,1,18,72,36,58,31,8,6,0,37,103,230,30,166,102,287,18,8,29,29,38,65,29,0,81,19,30,34,16,42,11,14,414,48,95
citizen_journalism,129,73,65,162,164,96,150,53,1,76,183,381,230,503,365,34,39,39,34,43,287,91,41,45,289,22,64,16,50,88,16,46,23,42,143
personal_or_auto-biographical,0,16,5,12,0,13,1,1,0,21,36,1,5,1,3,2,0,28,11,34,9,0,1,6,2,7,0,7,1,32,0,11,16,2,1
food_and_drink,0,139,1,20,9,119,1,46,0,50,63,1,12,38,11,79,9,101,29,55,21,7,26,17,12,29,11,2,13,27,0,118,23,2,10
conferences_and_other_events,21,41,44,64,16,54,23,22,0,41,51,84,124,287,183,31,20,21,102,29,152,23,30,0,33,18,17,30,18,76,15,34,22,2,93
gaming,10,116,66,156,17,103,29,42,0,104,371,11,90,147,197,31,19,112,30,49,61,21,46,100,25,95,60,121,49,108,12,81,3,11,9
literature,0,9,0,1,0,5,0,0,0,5,2,0,5,2,4,22,1,7,8,34,6,0,0,48,0,4,5,76,2,0,1,2,0,0,6
business,1,23,13,18,3,16,8,13,0,21,28,18,18,53,31,61,0,39,53,30,66,4,11,9,9,3,14,34,1,48,16,27,36,30,55
the_mainstream_media,9,12,21,38,47,24,45,16,0,40,117,63,77,154,27,15,13,18,147,20,269,31,4,5,113,9,16,16,15,79,16,24,115,12,120
autos_and_vehicles,0,4,0,0,0,0,0,1,0,0,0,0,1,2,0,6,0,0,5,8,2,0,0,0,1,0,0,0,0,2,0,0,12,0,0
comedy,25,120,26,69,44,244,30,100,0,118,669,41,80,100,132,93,26,109,74,40,65,12,20,75,37,49,30,42,48,101,29,84,70,1,121
default_category,76,476,156,266,121,387,154,133,2,353,1593,410,445,835,690,278,87,452,288,316,511,66,151,183,277,237,86,158,183,358,312,276,341,154,736
videoblogging,18,102,47,44,50,148,72,58,1,117,417,50,43,68,33,73,13,125,62,140,37,13,32,123,68,40,19,96,38,119,40,89,45,24,157
documentary,65,82,79,151,82,170,79,37,0,110,548,135,138,55,284,40,70,36,21,46,26,44,88,38,122,17,87,65,103,97,11,72,4,30,95
