category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39
art,236,62,23,197,101,90,0,60,85,47,64,63,167,227,1226,115,67,183,112,88,156,137,63,23,15,36,138,212,162,38,27,29,18,24,165,83,57,72,69,60
movies_and_television,505,188,52,269,450,339,0,622,112,133,97,84,57,259,1754,220,205,197,133,91,62,211,36,29,74,12,187,665,183,204,80,63,23,182,124,150,69,194,127,75
web_development_and_sites,14,30,8,54,22,0,0,4,0,1,82,29,0,40,27,49,8,34,4,36,19,5,1,1,6,4,1,21,41,6,7,57,10,2,12,9,2,6,1,12
politics,355,3816,34,2615,169,222,0,67,172,106,212,2249,1325,4985,521,1104,91,363,243,169,82,716,11,2,258,67,216,339,947,117,181,120,375,106,139,65,88,169,134,24
sports,123,98,97,157,143,45,4,74,21,46,58,305,40,69,539,166,66,121,86,124,90,54,24,8,125,75,38,261,55,37,29,67,63,27,64,81,28,65,38,40
technology,132,1087,14,1154,219,20,1,47,26,39,384,101,110,510,258,963,72,471,257,195,250,119,72,22,71,79,93,136,423,55,50,399,48,48,146,108,54,66,51,74
educational,283,759,27,520,127,25,4,103,13,36,413,108,41,247,282,385,39,348,172,194,100,58,10,8,84,53,30,129,235,40,58,166,22,14,201,126,19,48,11,72
religion,421,497,6,176,92,32,0,71,16,28,464,15,15,373,418,276,46,163,51,72,18,42,5,3,44,1,25,110,1742,54,15,15,2,19,22,49,10,33,18,10
travel,3,5,23,18,33,9,0,24,4,7,5,17,0,2,134,9,4,8,23,22,13,4,4,4,31,15,11,42,4,6,9,16,61,13,12,7,4,4,10,16
music_and_entertainment,70,31,82,29,285,100,2,99,37,36,43,21,56,214,1600,57,62,61,98,122,57,75,226,63,35,51,113,320,186,20,90,36,7,90,38,179,30,36,65,136
the_environment,1,477,10,44,8,9,0,1,0,7,19,10,0,5,14,18,10,27,34,49,84,9,7,1,0,6,12,18,0,4,551,27,8,0,20,5,6,1,3,12
school_and_education,13,8,12,11,23,4,0,10,2,7,37,0,2,16,97,23,11,8,23,24,18,3,0,0,1,7,6,35,23,10,1,23,2,6,17,9,5,6,12,11
health,33,98,7,476,37,46,0,71,1,29,27,293,208,105,98,64,15,109,13,31,12,60,1,0,34,6,57,31,28,18,5,6,48,2,17,12,9,30,65,3
citizen_journalism,153,151,36,416,80,105,1,64,129,41,54,36,284,365,173,279,49,148,39,39,70,288,3,16,12,4,165,102,224,39,53,27,42,23,22,50,135,64,91,11
personal_or_auto-biographical,12,1,28,8,16,1,0,6,0,1,8,2,1,3,17,11,1,10,10,26,3,2,12,2,7,8,0,10,4,0,1,15,1,1,7,31,1,0,0,18
food_and_drink,19,10,28,42,49,10,0,1,0,23,28,73,2,11,61,30,12,29,117,73,95,2,9,3,2,39,9,100,11,9,40,68,2,3,28,9,1,11,7,35
conferences_and_other_events,59,105,0,214,43,16,0,42,21,30,111,32,62,183,49,149,18,124,33,30,20,41,11,0,28,14,16,50,118,22,20,11,2,5,18,53,19,16,23,13
gaming,155,15,147,115,101,16,0,65,10,43,34,23,5,194,324,58,48,62,81,45,40,14,51,11,121,39,18,93,91,19,41,43,10,18,95,85,16,60,21,75
literature,1,7,43,3,5,0,0,0,0,0,5,9,0,4,2,8,2,0,2,34,0,0,0,15,79,9,0,5,5,1,0,5,0,0,4,0,0,5,0,2
business,18,62,4,71,21,7,0,13,1,11,41,68,10,32,28,76,1,34,26,33,14,10,7,5,34,4,3,17,17,0,10,31,31,5,3,31,4,14,4,9
the_mainstream_media,37,124,5,212,37,89,0,21,9,3,63,26,21,28,103,371,14,63,24,17,9,72,9,4,16,2,47,22,75,13,15,5,10,51,9,54,7,16,31,13
autos_and_vehicles,0,0,0,11,1,1,0,0,0,0,4,6,0,0,0,6,0,3,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
comedy,67,142,90,129,119,27,0,25,25,20,82,91,32,129,627,69,44,74,84,61,56,19,56,22,42,19,43,232,77,25,91,60,1,11,51,59,20,30,12,61
default_category,254,1005,213,919,357,99,2,152,74,138,275,272,275,687,1520,550,177,348,274,304,206,323,171,77,156,158,120,360,432,87,127,301,148,65,237,254,109,85,67,169
videoblogging,41,183,133,72,109,56,1,44,18,30,55,72,39,32,364,48,38,57,88,135,35,28,48,63,98,32,51,140,42,13,51,57,23,32,38,101,46,19,13,76
documentary,145,97,21,40,113,78,0,80,64,88,23,47,96,283,527,27,101,31,71,39,13,84,68,25,44,34,81,170,142,70,35,8,30,39,17,85,50,87,44,30
