category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49
art,11,35,159,55,1,27,138,238,19,30,46,45,50,156,89,79,150,98,66,44,107,37,220,1153,179,167,37,20,36,37,0,87,17,189,68,51,19,127,69,14,42,137,0,84,55,70,60,72,38,69
movies_and_television,41,27,181,79,12,80,210,474,48,58,68,138,30,450,338,140,159,381,202,36,239,168,250,1583,66,56,167,45,82,196,5,344,44,262,184,33,20,62,126,37,69,186,0,113,73,210,615,66,32,32
web_development_and_sites,0,33,34,7,0,6,5,12,1,59,4,1,15,7,0,12,28,41,7,30,35,3,39,24,22,0,2,1,53,6,0,10,7,37,5,20,10,6,1,6,8,1,0,0,9,2,4,0,51,1
politics,49,560,920,2155,30,71,716,344,3,120,216,105,110,218,219,59,259,173,93,1141,548,66,4962,445,139,1323,3474,136,150,114,0,142,31,1653,165,107,370,100,131,206,45,209,0,171,21,150,64,30,449,12
sports,50,86,47,285,6,63,56,108,20,68,59,45,84,169,46,77,114,123,64,102,105,54,66,477,142,40,88,16,32,35,4,106,86,72,63,42,44,32,35,75,32,36,0,20,39,42,75,49,32,40
technology,11,284,361,39,12,46,121,116,25,401,200,39,69,78,19,106,360,119,71,198,860,34,512,224,314,110,1056,25,249,53,0,172,5,1050,64,149,47,81,51,67,68,90,1,26,64,86,45,69,107,70
educational,10,194,204,64,11,53,57,257,8,165,115,40,50,67,26,129,283,136,37,178,320,23,241,247,135,41,318,32,289,31,4,94,22,404,44,160,12,114,11,79,95,30,0,12,67,29,102,58,496,16
religion,0,35,1656,8,3,21,39,364,3,16,36,24,29,66,32,46,115,101,41,8,321,33,368,380,15,15,188,3,508,52,0,66,5,208,31,59,2,8,15,44,14,25,0,16,11,21,73,19,321,5
travel,0,9,4,15,1,19,4,3,9,16,17,7,13,29,9,7,6,13,4,6,5,18,2,118,25,0,2,1,1,4,0,28,18,13,4,5,57,3,10,31,13,11,0,4,16,14,24,9,4,5
music_and_entertainment,23,15,186,15,28,42,74,66,49,38,16,38,154,247,100,173,50,153,66,22,58,114,207,1456,76,55,25,71,35,19,15,212,65,16,35,31,6,9,65,26,29,109,0,37,131,79,78,87,19,238
the_environment,0,21,0,11,0,38,9,1,2,27,14,7,6,7,9,2,23,15,10,7,10,0,5,14,85,0,477,536,4,4,1,4,5,43,1,23,6,8,2,1,12,12,0,0,12,5,1,26,1,10
school_and_education,0,18,17,0,0,8,3,13,0,23,17,7,3,20,4,9,7,22,10,9,20,4,16,91,21,2,0,1,21,9,0,19,12,4,5,24,2,6,12,1,12,6,0,2,10,10,10,6,9,1
health,0,34,27,284,51,9,60,33,0,5,10,29,13,27,46,11,77,15,15,394,24,9,100,87,17,208,95,0,11,18,0,29,5,126,30,22,10,8,65,34,11,57,0,1,2,8,72,4,11,1
citizen_journalism,4,11,218,34,8,18,287,152,22,26,37,39,32,67,102,43,109,75,49,25,284,17,358,151,71,284,142,36,53,38,2,47,29,428,61,28,28,15,90,11,7,162,0,130,11,146,65,14,14,3
personal_or_auto-biographical,0,9,3,2,0,4,2,10,2,15,7,1,23,6,1,26,10,6,1,10,8,4,3,12,9,1,1,0,3,0,0,12,30,0,0,10,2,0,0,5,7,0,0,0,16,1,6,4,0,13
food_and_drink,0,25,8,74,3,40,2,18,9,70,68,24,22,59,10,7,25,71,13,18,19,6,11,51,126,1,10,20,14,8,0,28,20,30,10,33,1,10,7,2,21,9,0,0,31,1,1,51,0,14
conferences_and_other_events,15,29,109,31,2,9,41,51,0,11,28,28,16,23,16,53,96,54,18,18,146,7,182,43,29,62,92,7,86,19,0,28,0,224,16,25,1,7,23,16,12,14,0,22,11,23,44,8,15,11
gaming,7,6,89,23,5,30,14,157,24,44,33,43,32,69,16,82,48,52,48,2,61,21,187,294,69,5,10,22,29,17,3,85,132,125,58,16,10,48,19,114,50,15,0,10,72,29,63,51,9,54
literature,24,7,5,9,0,0,0,1,30,3,1,0,14,2,0,0,0,3,2,0,5,0,4,2,6,0,6,0,1,1,0,5,31,3,5,18,0,0,0,59,4,0,0,0,1,0,0,1,1,1
business,5,55,15,61,0,15,10,18,5,30,18,11,11,6,7,32,24,8,1,32,51,4,30,27,17,10,55,4,15,0,0,17,4,47,14,24,31,1,3,29,1,3,0,1,8,7,13,9,15,6
the_mainstream_media,12,215,77,15,20,7,71,34,3,5,9,3,10,16,88,50,53,16,15,94,201,27,27,96,10,17,120,9,13,10,1,22,4,125,14,14,8,9,31,3,4,47,0,9,13,46,15,18,16,5
autos_and_vehicles,0,7,0,6,0,1,0,0,0,0,0,0,3,0,1,0,2,0,0,12,1,0,0,0,4,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
comedy,27,41,56,89,8,64,18,61,37,59,34,20,11,168,27,61,61,109,46,65,54,26,127,579,68,31,120,58,66,21,1,95,71,81,27,34,1,31,12,21,23,42,0,24,58,28,24,54,28,57
default_category,56,182,408,251,58,84,320,249,111,296,167,140,154,303,98,234,273,213,173,316,469,74,667,1378,317,274,735,88,179,84,14,279,163,689,79,185,104,133,64,113,104,116,1,73,169,150,146,129,306,179
videoblogging,39,42,37,63,0,40,29,35,56,53,38,31,75,106,55,100,51,66,37,36,33,44,32,320,59,38,157,33,29,11,5,83,114,43,16,59,22,19,13,77,24,50,1,17,76,69,45,57,38,48
documentary,21,10,141,39,7,22,84,144,47,8,47,88,32,140,78,84,23,81,100,4,26,43,277,463,22,96,95,22,20,63,0,91,22,41,88,18,23,3,44,45,18,80,0,64,28,79,78,25,9,44
