category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54,cluster 55,cluster 56,cluster 57,cluster 58,cluster 59
art,30,41,69,48,13,71,0,26,87,66,11,67,831,93,110,74,44,30,25,25,70,69,40,91,144,340,188,49,43,139,49,78,17,104,31,1,0,84,144,28,36,5,13,36,165,126,217,27,38,14,4,17,43,114,145,64,23,38,150,52
movies_and_television,93,509,288,46,8,74,0,66,339,196,40,182,1469,358,266,128,70,2,7,34,207,125,26,77,157,124,256,28,34,206,117,46,34,362,64,27,5,113,414,159,30,43,11,28,55,63,204,172,58,24,17,40,126,29,138,123,54,198,145,203
web_development_and_sites,6,2,10,13,39,0,0,45,0,7,1,5,20,36,12,0,8,49,2,5,2,1,1,1,26,6,35,13,25,5,2,13,48,12,7,5,0,0,7,2,24,1,1,25,0,6,14,3,4,19,8,1,1,11,31,9,8,6,20,2
politics,86,41,106,50,550,34,0,115,218,92,46,165,438,156,401,80,50,429,28,14,150,131,4,144,4452,31,1593,95,1097,716,3454,76,90,186,2156,203,0,170,196,54,210,10,6,107,1309,94,593,75,205,240,348,117,103,69,891,45,6,116,226,107
sports,61,38,97,23,41,28,0,28,46,64,39,63,375,115,82,20,32,24,65,38,42,35,32,23,50,154,73,73,100,56,84,70,55,69,280,55,4,20,163,52,74,27,31,36,38,32,62,42,57,29,2,14,44,81,36,69,30,35,104,39
technology,49,24,157,141,447,70,0,225,19,67,12,64,163,103,517,15,67,91,18,19,83,52,70,84,387,63,1027,52,195,117,1048,122,292,88,33,51,3,26,79,25,207,10,17,136,110,78,133,31,191,115,33,18,32,209,339,101,44,55,329,71
educational,54,68,83,102,267,61,0,241,25,38,10,44,195,127,157,12,96,491,11,9,30,11,11,19,159,70,398,44,168,55,313,91,100,224,63,73,4,11,67,21,117,10,5,156,41,112,144,53,111,84,4,28,27,70,160,124,35,31,251,24
religion,24,31,64,7,14,18,0,440,32,41,0,31,366,89,320,27,14,314,0,2,21,16,6,5,238,14,192,25,7,39,188,11,12,584,7,40,0,16,64,29,42,3,4,63,15,8,191,266,36,85,2,3,20,8,1173,43,8,52,88,11
travel,21,18,20,3,2,7,0,1,10,4,0,4,89,12,4,15,11,1,5,14,14,10,3,1,0,30,13,12,6,4,2,5,15,1,15,30,0,4,25,17,9,15,1,5,0,7,2,9,17,2,48,1,5,15,2,6,13,10,6,15
music_and_entertainment,44,81,184,36,9,88,0,28,101,64,23,35,1039,139,62,110,28,4,6,60,77,65,214,27,176,437,16,151,22,74,5,63,17,42,4,18,19,37,227,118,19,21,8,25,53,9,57,29,14,12,6,64,34,26,174,161,120,20,49,107
