cluster,category,score
cluster25,citizen_journalism,0.2297147091515376
cluster24,autos_and_vehicles,0.18290522586359612
cluster58,comedy,0.24253731343283583
cluster59,autos_and_vehicles,0.33886255924170616
cluster54,conferences_and_other_events,0.13165266106442577
cluster55,citizen_journalism,0.15491329479768787
cluster56,autos_and_vehicles,0.20035460992907803
cluster57,citizen_journalism,0.1724137931034483
cluster50,comedy,0.2857142857142857
cluster51,travel,0.13161659513590845
cluster52,autos_and_vehicles,0.1695692025664528
cluster53,autos_and_vehicles,0.37534246575342467
cluster10,travel,0.12903225806451613
cluster11,autos_and_vehicles,0.15810276679841898
cluster38,gaming,0.48947849954254347
cluster39,citizen_journalism,0.17613636363636365
cluster14,travel,0.22555205047318613
cluster15,autos_and_vehicles,0.1864864864864865
cluster16,food_and_drink,0.26700898587933247
cluster17,conferences_and_other_events,0.27338709677419354
cluster32,travel,0.1261061946902655
cluster33,default_category,0.267353579175705
cluster30,autos_and_vehicles,0.27631578947368424
cluster31,citizen_journalism,0.4327659574468085
cluster36,autos_and_vehicles,0.3013392857142857
cluster37,travel,0.2222222222222222
cluster34,travel,0.148859543817527
cluster35,citizen_journalism,0.5901504787961697
cluster9,autos_and_vehicles,0.21222222222222223
cluster65,art,0.18563480020232676
cluster28,travel,0.1442741208295762
cluster12,citizen_journalism,0.23170731707317074
cluster49,autos_and_vehicles,0.2402315484804631
cluster13,conferences_and_other_events,0.16678012253233493
cluster43,religion,0.27350427350427353
cluster42,citizen_journalism,0.1665292662819456
cluster41,travel,0.15990453460620524
cluster40,citizen_journalism,0.18878504672897195
cluster47,autos_and_vehicles,0.3147410358565737
cluster46,travel,0.2096551724137931
cluster45,health,0.304986642920748
cluster44,citizen_journalism,0.38692712246431255
cluster29,travel,0.14763231197771587
cluster64,conferences_and_other_events,0.22092050209205022
cluster67,food_and_drink,0.1492063492063492
cluster66,autos_and_vehicles,0.15572792362768498
cluster61,travel,0.17769130998702984
cluster60,comedy,0.145
cluster63,autos_and_vehicles,0.1509433962264151
cluster62,conferences_and_other_events,0.3580705009276438
cluster21,autos_and_vehicles,0.19339622641509435
cluster20,citizen_journalism,0.21108179419525067
cluster23,citizen_journalism,0.2992938620315046
cluster22,citizen_journalism,0.5363214837712519
cluster69,citizen_journalism,0.6089970100570807
cluster68,autos_and_vehicles,0.2865853658536585
cluster27,travel,1.0
cluster26,citizen_journalism,0.47105864432597105
cluster18,travel,0.15684931506849314
cluster8,citizen_journalism,0.23516642547033284
cluster48,travel,0.16203143893591293
cluster19,food_and_drink,0.24475524475524477
cluster2,autos_and_vehicles,0.441073512252042
cluster3,citizen_journalism,0.3128347550089268
cluster0,citizen_journalism,0.4730711251199123
cluster1,health,0.25278396436525613
cluster6,citizen_journalism,0.2597911227154047
cluster7,health,0.2796486090775988
cluster4,travel,0.12105263157894737
cluster5,autos_and_vehicles,0.17522498676548437
