cluster,art,autos_and_vehicles,business,citizen_journalism,comedy,conferences_and_other_events,default_category,documentary,educational,food_and_drink,gaming,health,literature,movies_and_television,music_and_entertainment,personal_or_auto-biographical,politics,religion,school_and_education,sports,technology,the_environment,the_mainstream_media,travel,videoblogging,web_development_and_sites
cluster48,4,2,0,0,0,2,1,0,0,14,0,0,0,1,2,1,0,0,7,0,0,0,0,8,12,4
cluster58,0,1,0,24,1,2,2,0,1,0,0,0,1,3,0,1,1,0,15,0,0,0,0,8,3,2
cluster59,2,0,0,0,2,2,0,0,1,5,2,2,0,0,5,1,0,1,0,1,2,0,1,12,7,2
cluster54,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,2,0,0
cluster55,1,3,1,3,8,0,3,2,1,13,0,0,0,2,1,2,0,4,0,0,0,0,4,7,8,0
cluster56,1,9,0,1,1,3,0,0,0,1,1,1,0,2,1,1,0,0,14,0,1,0,3,7,9,4
cluster57,0,16,0,2,3,4,6,2,0,1,0,14,0,3,0,0,2,0,0,2,1,0,5,10,3,2
cluster50,0,0,1,7,7,0,6,0,0,1,0,1,0,1,0,0,1,1,0,2,0,0,2,8,3,0
cluster51,0,1,2,0,1,7,16,2,0,0,0,10,1,1,0,1,3,0,0,0,0,0,0,2,0,0
cluster52,0,2,0,0,2,2,1,1,0,2,1,0,0,3,2,0,2,4,0,1,2,0,1,9,2,1
cluster53,3,14,0,1,2,8,3,0,3,11,0,10,1,1,1,1,1,2,0,4,0,0,2,14,9,6
cluster10,2,9,0,5,3,2,1,0,0,2,0,0,0,0,0,0,1,0,3,0,1,0,2,13,7,4
cluster11,0,1,1,44,0,1,0,0,5,0,0,0,1,7,0,0,0,1,0,3,0,0,0,6,2,1
cluster12,0,0,2,0,3,10,7,0,1,2,1,1,0,1,0,0,0,0,0,1,0,0,0,11,4,1
cluster39,22,13,0,1,12,8,3,1,5,27,0,16,6,0,2,0,2,4,0,1,1,0,17,26,8,4
cluster14,7,21,2,2,6,10,11,2,2,5,1,2,4,3,2,11,3,4,0,2,1,0,10,24,10,3
cluster15,5,5,1,41,2,12,4,0,0,6,0,5,2,7,0,0,1,1,0,1,2,0,4,11,1,7
cluster16,0,0,0,0,0,2,0,0,1,3,0,0,0,1,5,0,0,0,0,1,0,0,0,4,1,1
cluster17,1,1,0,4,1,5,6,2,0,2,0,1,0,3,0,2,0,1,1,0,0,0,1,10,2,4
cluster32,5,17,1,3,7,8,1,1,0,8,1,4,2,8,0,0,5,1,0,0,2,0,3,10,4,1
cluster33,1,3,0,23,2,0,4,1,1,2,0,1,0,7,0,3,1,1,0,2,1,0,1,5,1,2
cluster30,3,0,0,2,5,9,6,1,0,3,0,1,0,2,0,1,1,1,1,0,2,1,1,15,5,1
cluster31,0,0,1,0,0,33,14,0,0,1,1,4,1,0,1,0,0,6,0,1,0,1,0,13,1,0
cluster36,1,0,0,2,1,4,2,0,0,3,0,59,0,0,0,0,0,1,0,1,2,0,2,5,3,0
cluster37,12,5,0,0,6,5,2,1,2,25,0,11,2,0,0,2,1,9,0,2,2,0,7,30,12,5
cluster34,0,1,0,1,2,1,2,0,1,1,0,0,0,1,0,0,0,4,1,1,0,0,1,12,4,2
cluster35,5,1,0,0,11,8,3,0,0,41,2,5,0,0,3,1,0,1,0,0,2,0,0,13,6,3
cluster38,1,2,0,5,0,5,7,0,0,5,3,1,0,0,0,1,0,1,0,2,19,0,1,8,0,0
cluster49,2,3,0,11,2,5,3,0,1,2,0,0,0,2,1,1,1,5,1,0,1,0,0,6,2,0
cluster13,2,9,0,13,11,29,9,0,0,0,0,6,2,10,0,1,8,5,1,1,13,0,4,13,3,2
cluster43,0,5,1,2,4,4,3,4,1,0,11,1,1,0,0,2,0,0,0,3,2,0,0,5,2,1
cluster42,2,9,0,25,2,11,10,0,1,8,8,6,1,1,0,1,1,1,2,4,5,0,4,14,5,3
cluster41,1,4,1,3,3,2,0,0,6,2,2,1,3,1,3,11,0,3,4,0,0,0,6,17,7,2
cluster40,0,0,2,2,3,5,9,0,0,2,0,7,1,1,0,0,2,0,0,2,1,0,0,9,3,1
cluster47,0,2,0,1,2,9,7,0,0,4,1,7,0,0,2,1,5,1,1,4,0,0,1,13,4,3
cluster46,0,0,0,36,0,1,3,0,0,0,0,3,0,15,0,0,0,0,0,3,0,0,0,3,0,0
cluster45,2,0,0,0,1,6,0,0,0,18,1,1,0,0,1,1,1,2,0,0,0,0,3,8,3,2
cluster44,1,1,1,17,3,2,1,0,2,0,0,1,4,3,0,0,0,3,15,1,1,0,3,19,2,3
cluster29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
cluster28,0,0,0,48,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,2,0,0,0,6,1,0
cluster21,3,5,0,0,2,0,1,0,2,19,0,0,0,2,1,1,0,10,0,0,2,0,2,3,10,0
cluster20,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
cluster23,1,20,0,1,2,2,1,2,0,3,0,11,1,1,0,1,2,2,0,0,1,0,1,4,2,5
cluster22,3,0,3,3,6,30,18,4,0,1,0,7,1,2,0,1,7,0,0,7,2,2,1,17,2,1
cluster25,2,0,1,5,0,7,1,0,1,1,0,0,0,0,1,3,0,2,0,1,1,0,3,8,4,1
cluster24,9,10,0,0,7,6,5,12,1,14,2,11,0,3,2,1,4,2,0,2,2,0,1,18,5,6
cluster27,0,0,2,2,1,12,16,3,0,1,0,0,0,8,1,0,0,0,0,2,0,0,1,14,2,1
cluster26,2,5,1,5,1,11,6,0,0,1,1,7,0,1,3,1,4,1,1,2,0,0,2,7,2,2
cluster18,1,0,0,1,3,2,2,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,5,1,3
cluster8,5,1,1,6,7,13,17,9,1,5,1,2,4,2,0,2,2,3,0,3,1,0,2,8,10,4
cluster9,2,1,0,3,0,7,0,0,1,6,5,2,1,0,2,0,2,3,10,3,1,0,0,18,4,0
cluster19,4,0,0,14,7,11,7,2,2,2,1,0,19,2,2,1,0,0,0,1,1,3,4,11,3,0
cluster2,3,2,1,0,8,4,4,0,2,4,0,0,0,1,2,1,1,5,0,0,0,0,6,15,10,2
cluster3,1,4,1,144,14,10,2,0,1,0,0,2,2,0,0,3,1,0,0,2,1,0,2,15,0,1
cluster0,0,0,10,0,0,20,32,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,13,1,0
cluster1,1,10,0,50,9,16,10,0,0,2,2,3,22,4,1,3,1,2,1,6,10,0,9,22,7,1
cluster6,5,15,0,11,3,12,6,0,0,6,0,15,1,3,1,8,2,4,1,5,0,0,4,21,5,0
cluster7,5,37,1,5,7,9,7,1,3,26,0,11,2,1,2,5,1,7,2,1,2,0,18,35,11,3
cluster4,0,1,0,15,1,7,3,0,1,1,0,0,1,0,1,0,3,0,1,1,0,0,0,7,3,0
cluster5,1,1,0,0,1,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2
