category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25
art,8,4,0,27,2,2,10,4,3,3,3,0,4,2,0,15,3,22,0,0,0,2,6,5,3,6
movies_and_television,21,3,0,30,81,10,2,3,7,11,2,0,0,10,0,22,4,17,0,1,4,6,14,16,0,8
web_development_and_sites,1,0,0,1,3,1,4,1,2,1,0,3,5,0,0,1,1,0,12,1,1,0,0,0,0,0
politics,44,31,0,2,8,4,11,4,2,178,0,5,2,14,0,10,24,1,0,113,23,9,28,77,5,0
sports,10,3,1,24,9,5,12,3,11,20,1,5,10,5,0,17,3,19,0,1,6,5,11,8,4,6
technology,21,5,0,13,23,3,42,6,4,14,3,34,22,2,0,22,26,13,29,1,10,15,39,34,15,11
educational,12,3,1,6,15,1,23,5,2,8,1,24,25,3,0,30,14,5,50,1,9,9,13,20,9,7
religion,15,1,0,27,37,1,10,79,0,2,0,15,1,0,0,12,3,18,3,0,1,6,9,11,8,4
travel,1,3,0,6,3,7,2,0,2,2,0,0,1,0,0,3,3,3,0,5,2,2,0,1,1,3
music_and_entertainment,4,7,3,42,22,3,4,9,24,0,10,3,2,2,0,16,7,73,0,0,4,4,10,10,10,53
the_environment,1,3,0,1,0,1,1,0,1,1,0,2,1,1,0,2,1,2,1,0,1,14,2,10,3,0
school_and_education,3,0,0,8,2,0,6,0,2,0,0,0,4,0,0,16,4,1,2,0,1,2,2,0,0,0
health,4,5,0,6,3,1,9,0,0,21,0,2,0,0,0,4,2,3,2,0,1,1,14,8,0,2
citizen_journalism,15,7,0,4,7,2,4,0,4,3,0,2,9,0,0,11,9,0,1,26,5,1,11,7,3,0
personal_or_auto-biographical,0,2,0,5,4,5,2,1,3,0,0,0,1,0,0,2,3,1,0,0,3,1,1,0,14,3
food_and_drink,1,3,0,2,14,8,3,0,1,10,0,0,0,0,0,7,9,4,0,0,0,3,1,4,2,6
conferences_and_other_events,4,2,0,5,8,0,7,4,0,1,0,2,0,1,0,6,3,2,2,0,6,2,9,6,2,2
gaming,3,6,0,5,8,11,1,4,15,1,1,4,1,1,0,6,5,15,3,2,4,0,5,2,3,4
literature,0,45,0,0,2,10,0,0,1,0,0,0,0,12,0,0,1,1,0,0,2,0,2,3,3,1
business,3,3,0,3,6,1,9,2,0,4,0,4,1,0,0,6,4,2,1,7,3,6,3,9,7,2
the_mainstream_media,1,2,0,1,6,0,4,3,1,0,2,1,0,1,0,2,4,4,0,0,1,4,35,11,3,3
autos_and_vehicles,0,0,0,0,0,0,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
comedy,9,2,0,19,12,7,4,4,8,10,3,0,2,2,0,10,4,14,0,0,3,1,6,17,1,8
default_category,22,39,2,49,40,27,27,18,16,25,6,19,33,15,2,38,32,49,18,19,27,5,36,39,27,34
videoblogging,4,7,1,17,23,11,8,5,17,5,5,4,8,11,0,22,9,23,2,4,7,4,4,7,12,23
documentary,12,5,0,8,8,6,2,2,0,2,3,2,3,5,0,8,8,10,0,2,2,1,2,3,8,7
