category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29
art,8,1,7,1,0,5,1,0,2,6,23,1,1,2,5,2,10,2,2,5,0,0,0,5,8,0,2,8,0,27
movies_and_television,51,29,6,8,1,25,3,0,3,6,17,0,0,7,9,6,21,2,10,24,4,0,0,13,0,1,0,6,0,20
web_development_and_sites,3,0,1,1,3,2,1,0,0,0,0,15,0,1,0,1,1,0,0,0,1,0,0,0,0,1,2,1,4,0
politics,2,5,38,3,7,10,30,38,21,28,0,0,0,148,1,6,7,9,10,76,24,0,0,37,3,83,5,1,2,1
sports,8,3,2,9,7,6,4,0,4,19,20,0,4,10,4,5,12,1,4,7,7,2,0,20,5,0,3,10,1,22
technology,21,7,14,3,33,23,2,1,4,52,15,39,10,15,5,13,14,7,2,32,10,0,0,15,17,2,16,9,17,9
educational,12,1,9,2,25,12,3,3,10,23,5,55,5,6,1,9,17,4,1,19,9,1,0,13,9,1,6,6,23,6
religion,24,21,71,0,17,13,1,3,0,8,14,4,9,1,1,10,18,2,0,14,1,0,0,4,3,0,1,2,0,21
travel,2,0,0,5,0,3,3,0,1,1,4,0,1,1,2,2,1,1,0,0,2,0,0,5,1,4,2,3,0,6
music_and_entertainment,30,9,8,3,2,11,0,0,2,5,74,1,10,0,26,3,4,7,2,9,4,7,0,6,7,0,3,49,1,39
the_environment,0,0,0,2,3,0,0,0,0,1,2,1,3,0,0,14,1,5,1,10,1,0,0,1,2,0,0,1,0,1
school_and_education,3,2,1,0,4,1,0,0,1,2,1,4,0,0,0,2,7,0,0,0,1,0,0,1,8,0,0,2,3,10
health,2,1,1,0,2,3,7,0,0,21,3,3,0,18,0,1,3,1,0,5,1,0,0,8,1,0,0,1,0,6
citizen_journalism,5,0,5,2,2,6,7,15,8,11,0,2,1,0,4,0,13,0,0,6,5,0,0,3,4,17,1,0,9,5
personal_or_auto-biographical,4,1,0,2,0,5,1,1,0,2,1,0,11,0,2,1,0,2,0,0,3,0,0,1,3,0,1,6,1,3
food_and_drink,11,3,0,2,1,7,3,0,4,2,4,0,1,3,2,2,4,0,0,3,0,0,0,17,3,0,2,3,0,1
conferences_and_other_events,7,7,1,0,4,4,0,0,0,6,2,5,2,4,0,2,7,4,1,4,6,0,0,1,3,0,0,1,0,3
gaming,8,2,3,9,4,5,4,0,2,5,15,2,2,0,10,0,0,3,0,2,5,0,0,5,4,1,3,7,1,8
literature,1,1,1,2,0,1,38,0,2,0,1,0,1,0,7,0,0,11,10,3,3,0,0,0,0,0,0,1,0,0
business,4,3,3,1,4,8,1,3,3,3,2,2,5,3,0,8,3,5,0,9,3,0,0,1,1,5,1,0,3,2
the_mainstream_media,2,2,4,0,1,5,1,0,1,31,4,0,3,2,3,4,1,2,1,13,1,0,0,1,2,0,1,3,0,1
autos_and_vehicles,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
comedy,19,1,6,8,0,7,3,0,2,6,15,0,1,7,6,1,5,2,2,13,3,0,0,9,3,0,1,9,1,16
default_category,39,14,17,24,26,29,27,4,12,26,54,26,19,21,11,9,23,34,16,36,27,4,2,25,30,12,20,25,15,37
videoblogging,18,4,5,7,5,14,9,1,3,6,24,1,8,1,16,4,5,5,9,11,7,2,0,10,16,3,4,27,3,15
documentary,3,8,4,3,2,5,6,0,8,2,10,1,6,2,5,1,6,2,4,4,1,1,0,5,2,1,2,6,1,8
