category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44
art,3,1,0,0,23,4,2,2,1,6,1,0,1,0,2,1,14,2,0,2,7,1,0,8,0,1,2,0,0,21,0,9,3,2,1,1,1,0,1,0,2,6,1,0,2
movies_and_television,25,3,0,0,22,4,6,9,1,4,0,3,1,1,2,3,19,11,0,10,7,5,2,7,1,0,8,2,0,12,6,0,0,0,56,0,3,1,1,0,2,2,30,0,3
web_development_and_sites,1,0,0,2,0,0,1,0,1,0,0,1,0,0,0,1,2,0,11,0,0,1,1,1,0,0,0,1,0,0,1,4,0,2,2,3,1,1,0,0,0,0,0,0,0
politics,7,18,0,5,1,2,1,9,3,23,6,0,0,13,6,16,4,22,0,58,1,5,36,45,78,1,1,3,0,0,2,7,1,5,11,1,146,1,5,37,12,0,3,0,0
sports,5,2,0,5,18,0,4,4,4,11,0,2,1,1,0,3,16,4,0,9,13,3,1,8,0,4,1,6,1,14,4,9,5,2,9,1,15,1,0,0,3,0,4,1,5
technology,17,3,0,34,11,6,2,2,9,35,0,10,1,7,6,2,16,13,22,21,2,1,4,15,1,2,3,2,0,11,6,40,9,12,16,17,11,1,8,1,5,6,5,2,10
educational,16,8,0,23,4,3,2,1,6,14,3,19,0,3,8,1,21,9,36,12,4,1,2,3,1,2,0,4,1,5,3,21,5,6,12,18,2,2,1,3,4,1,1,0,5
religion,13,1,0,10,23,69,0,0,5,7,0,20,0,0,2,1,11,6,1,6,0,2,1,8,0,0,1,1,0,13,3,6,2,0,21,0,2,0,1,3,0,0,16,0,8
travel,3,1,0,0,6,0,2,0,1,1,0,0,0,1,0,2,2,1,0,0,3,5,2,0,4,0,0,0,0,3,1,1,1,2,2,0,1,1,1,0,1,0,0,1,1
music_and_entertainment,7,2,0,3,36,8,21,2,7,4,2,0,9,1,3,2,13,7,0,2,14,3,0,4,0,0,1,4,3,59,0,2,2,3,22,0,1,2,8,0,2,41,6,3,13
the_environment,0,0,0,2,1,0,0,0,0,0,0,0,0,0,4,0,1,8,1,3,0,3,0,1,0,0,1,1,0,0,11,1,2,0,0,0,0,0,4,0,0,0,0,1,4
school_and_education,0,2,0,0,7,0,0,0,1,2,0,5,0,0,0,0,16,0,0,0,2,0,0,1,0,0,0,1,0,1,4,4,1,0,0,4,0,0,0,0,0,0,2,0,0
health,1,0,0,2,6,0,0,0,1,17,0,2,0,1,0,6,4,1,1,22,0,4,1,4,0,0,0,0,0,3,1,5,0,0,2,0,2,0,1,0,0,0,1,0,0
citizen_journalism,4,6,0,1,2,0,3,0,3,9,0,2,0,0,0,4,4,4,1,5,2,1,3,13,16,0,2,3,0,0,0,3,2,1,7,9,1,1,0,15,2,0,1,1,0
personal_or_auto-biographical,2,0,0,0,4,0,0,0,9,1,1,0,0,1,0,0,1,0,0,0,4,3,0,0,0,0,1,2,0,0,0,1,0,1,4,1,0,1,2,0,1,2,0,7,2
food_and_drink,7,3,0,0,1,0,1,0,3,1,1,1,0,0,1,1,7,2,0,2,2,17,0,1,0,0,1,0,0,3,2,1,1,3,7,0,4,0,0,0,1,1,1,0,2
conferences_and_other_events,6,0,0,2,3,1,0,1,3,4,0,3,0,2,1,0,4,1,0,5,1,0,2,3,0,0,0,4,0,2,1,7,1,0,2,0,2,0,3,0,1,1,6,0,2
gaming,4,2,0,4,5,3,12,0,0,3,0,1,0,0,0,4,5,2,1,4,5,5,0,1,1,0,0,5,0,12,0,1,1,2,6,1,0,4,2,0,5,3,3,1,2
literature,1,1,0,0,0,1,0,3,0,0,25,0,0,1,0,13,0,2,0,1,0,5,0,0,0,1,14,0,0,1,0,0,0,0,2,0,0,1,8,0,1,1,0,0,1
business,6,3,0,3,2,2,0,0,4,1,0,1,0,1,2,1,4,3,0,7,0,0,2,1,4,1,0,2,0,2,4,7,0,1,3,1,1,2,6,3,0,0,2,3,1
the_mainstream_media,3,1,0,1,1,3,1,1,2,17,0,0,1,0,15,1,1,4,0,10,0,0,0,1,0,1,1,2,0,4,2,3,1,1,2,0,1,0,1,0,1,0,2,2,2
autos_and_vehicles,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0
comedy,7,2,0,0,16,4,3,2,1,4,0,0,1,0,1,2,10,6,0,10,8,8,0,7,0,0,3,3,0,13,0,3,1,1,19,1,3,1,1,0,0,3,1,0,1
default_category,21,7,2,17,39,16,8,14,21,17,7,6,3,7,7,24,26,14,14,27,19,17,5,18,10,6,7,12,2,41,6,22,17,19,36,15,15,11,25,4,9,16,10,7,18
videoblogging,11,1,0,4,12,4,12,7,9,3,4,1,1,2,0,7,15,8,1,7,16,10,2,3,3,1,8,5,1,18,3,5,6,4,12,4,0,4,5,1,2,6,4,4,7
documentary,3,6,0,1,8,1,0,4,6,1,2,0,2,0,0,2,7,3,0,1,2,2,2,10,1,4,5,1,0,8,1,1,0,2,3,1,1,1,1,0,0,4,7,3,2
