category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54
art,2,2,2,1,1,3,1,1,4,3,2,2,0,19,1,0,1,0,1,0,0,6,0,9,1,0,6,1,0,0,0,1,7,0,5,0,9,5,7,1,17,3,0,2,2,0,1,0,1,0,2,0,0,2,0
movies_and_television,0,0,4,0,2,4,5,0,0,1,7,7,2,4,2,1,2,1,7,1,23,1,0,12,11,0,7,0,2,4,0,19,3,0,15,1,1,33,26,2,9,7,0,4,4,0,3,4,25,1,1,0,0,3,1
web_development_and_sites,2,0,0,0,0,1,1,3,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,2,0,2,1,1,0,0,0,0,1,0,1,1,4,0,1,0,0,0,0,0,0,0,1,0,0,1,0,9,0,0,2
politics,3,1,14,5,51,0,2,1,15,1,4,1,31,0,0,8,6,42,4,2,3,0,0,3,10,4,1,17,0,16,0,2,38,13,7,8,3,8,3,0,0,21,50,14,2,0,135,8,2,1,0,0,23,12,0
sports,2,2,7,0,6,7,5,1,8,7,2,2,1,8,5,0,2,0,1,0,3,0,0,10,2,4,12,2,2,3,0,5,1,0,7,0,5,7,11,1,12,16,0,5,1,1,5,9,2,2,1,0,0,3,1
technology,11,5,23,4,19,2,6,17,14,10,10,0,2,9,9,3,8,1,2,2,16,5,2,13,12,28,3,1,1,1,0,3,12,1,6,8,38,18,9,1,6,10,0,2,1,0,9,0,4,2,3,22,1,5,7
educational,7,2,9,1,12,2,4,19,7,4,10,0,3,4,5,1,7,1,2,3,6,0,0,19,5,20,4,2,1,2,0,9,4,4,2,6,19,9,4,0,4,7,1,7,1,1,1,1,1,1,0,31,1,3,17
religion,1,4,9,1,7,0,6,0,0,2,9,1,1,9,9,1,1,0,0,67,12,1,0,9,5,9,0,1,0,2,0,17,6,4,5,1,6,5,17,0,10,3,0,0,0,0,1,0,13,0,0,1,0,0,7
travel,2,0,0,1,0,1,1,0,2,1,2,4,1,2,1,0,0,5,0,0,2,0,1,1,1,0,3,2,0,0,0,1,0,0,0,1,0,1,5,0,2,2,0,1,1,0,0,0,0,2,0,0,0,1,0
music_and_entertainment,3,8,0,4,2,4,1,0,3,2,9,2,0,9,10,1,4,0,2,2,12,36,3,15,10,3,15,1,3,1,0,1,6,0,4,2,2,5,40,1,47,2,0,1,4,3,1,0,5,21,10,0,0,2,0
the_environment,1,1,0,3,2,0,11,0,1,1,0,1,0,2,2,0,3,0,0,0,0,1,1,1,9,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0
school_and_education,0,0,0,0,0,0,2,4,2,1,1,0,0,5,0,1,0,0,0,0,1,0,0,12,0,0,2,0,1,0,0,2,0,1,1,0,8,0,3,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,2
health,0,0,3,0,2,0,1,0,18,0,2,0,1,3,0,0,0,1,0,0,3,0,0,4,2,1,1,1,0,24,0,0,1,0,2,0,1,1,4,0,1,3,0,0,3,0,0,1,1,0,0,1,0,0,2
citizen_journalism,1,0,9,0,3,1,0,9,2,3,2,1,3,3,0,1,0,7,0,0,3,0,1,4,3,0,1,2,2,1,0,3,6,8,9,1,2,3,0,1,0,3,10,5,1,0,0,0,1,4,0,1,8,2,1
personal_or_auto-biographical,2,7,0,2,0,3,0,1,2,1,4,1,0,2,2,0,0,0,0,0,4,2,6,0,0,0,2,0,1,0,0,0,0,0,0,2,0,1,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0
food_and_drink,2,2,0,0,1,0,2,0,1,2,1,2,1,1,1,0,1,0,0,0,8,0,0,5,1,0,4,0,0,0,0,1,0,0,0,0,2,7,1,0,2,15,0,4,6,0,3,0,0,1,0,0,0,1,0
conferences_and_other_events,0,2,6,2,1,0,1,0,0,2,2,0,1,1,2,0,1,0,1,0,5,2,0,3,1,2,1,0,2,1,0,2,2,1,4,3,7,4,2,0,1,0,0,0,0,0,1,1,3,0,0,0,0,1,3
gaming,3,3,4,2,1,7,0,1,0,1,1,7,0,2,1,0,1,1,0,0,2,1,0,5,2,4,3,4,4,1,0,0,3,0,1,1,1,4,6,0,10,4,0,1,1,0,0,0,4,7,0,1,0,4,1
literature,0,0,1,7,0,0,0,0,0,0,0,6,9,0,1,1,0,0,12,0,1,0,0,0,6,0,1,20,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,12,0,0,0,0,0,0,0,0,1,0
business,1,2,1,4,6,0,6,1,1,0,5,0,2,1,2,0,1,3,0,1,2,1,1,4,1,3,0,0,2,1,0,2,3,0,0,0,7,4,1,1,1,0,2,3,2,0,1,2,2,0,0,0,3,0,0
the_mainstream_media,1,2,10,1,7,0,2,0,1,2,0,0,0,1,4,1,23,0,0,2,2,0,0,2,2,0,0,1,2,1,0,1,2,0,2,0,3,4,2,0,0,0,0,1,0,0,1,1,1,1,2,0,0,1,0
autos_and_vehicles,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
comedy,1,0,1,1,8,4,0,1,5,1,3,8,0,0,1,1,1,0,1,3,4,2,0,6,6,0,7,1,0,4,0,5,3,0,0,1,1,13,26,1,8,7,0,1,3,0,0,2,1,3,1,0,0,0,0
default_category,16,13,9,21,22,10,8,15,13,20,15,15,10,21,14,3,9,6,5,10,21,12,5,16,12,18,19,19,7,11,2,15,10,5,10,11,17,16,32,4,33,19,6,11,12,2,11,12,8,5,4,14,1,7,2
videoblogging,7,8,3,3,2,6,3,4,3,8,9,4,3,6,6,0,1,2,8,3,9,6,2,12,10,3,16,4,3,0,0,2,1,0,2,3,2,9,10,3,14,8,1,3,11,1,0,3,3,8,2,1,0,2,0
documentary,2,4,2,0,2,0,1,1,0,1,6,6,1,4,3,5,0,1,2,0,1,4,0,6,2,1,3,2,0,2,0,5,7,0,1,0,2,0,4,2,6,3,1,5,3,0,0,4,4,0,0,0,0,0,0
