category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54,cluster 55,cluster 56,cluster 57,cluster 58,cluster 59
art,1,0,2,4,0,2,0,3,9,2,2,0,0,3,3,1,0,0,1,2,0,0,0,1,1,0,1,3,1,0,5,5,2,5,0,22,1,2,0,0,2,2,0,5,7,1,0,4,1,0,3,12,1,5,0,1,1,5,0,0
movies_and_television,9,0,9,2,5,3,2,14,10,0,5,0,0,5,0,20,0,2,1,0,0,0,0,4,10,0,4,2,1,1,37,15,1,1,1,13,2,0,1,1,9,9,0,5,21,1,0,0,0,0,0,5,0,1,1,3,3,17,16,0
web_development_and_sites,0,0,0,0,1,0,0,0,0,1,1,2,0,0,3,0,0,0,1,0,0,0,2,1,0,10,1,1,0,0,1,0,0,1,2,0,0,0,0,1,0,0,2,1,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1
politics,1,1,25,0,2,11,0,1,0,5,5,2,0,0,3,1,36,1,17,0,48,0,2,3,50,0,144,0,0,15,5,11,3,6,0,1,5,0,24,44,5,13,0,41,2,4,0,14,1,0,2,0,2,0,1,23,3,3,2,7
sports,1,0,2,0,4,2,2,2,7,0,1,1,1,2,6,2,0,2,3,1,0,0,3,3,9,0,14,8,1,1,7,3,0,7,1,12,0,2,1,0,3,11,3,2,6,1,0,7,3,0,5,6,1,11,2,2,8,7,3,7
technology,3,0,11,2,4,5,2,8,6,7,11,12,0,0,30,2,1,9,2,6,0,0,5,2,16,20,10,4,1,7,9,12,7,13,7,8,5,2,2,1,2,29,10,12,10,5,2,11,2,33,9,5,4,8,1,0,0,8,4,0
educational,0,0,10,1,3,3,1,3,5,1,6,16,1,1,18,1,3,7,1,0,1,0,9,0,10,32,2,4,0,3,7,6,0,17,16,3,7,0,2,0,1,9,7,4,11,6,0,7,2,14,6,2,2,3,2,4,3,1,6,6
religion,1,9,6,0,1,0,0,10,11,0,7,0,0,0,7,11,3,7,1,1,0,0,7,1,3,1,2,0,0,0,11,15,2,2,10,16,1,2,0,0,0,6,1,5,2,1,0,0,0,4,1,11,59,5,0,1,0,4,14,1
travel,0,0,1,0,1,1,0,3,1,1,0,0,0,2,0,0,0,0,2,0,0,0,0,6,0,0,1,2,0,1,3,0,1,1,0,5,0,1,1,5,0,0,1,0,2,0,1,2,0,0,0,2,0,0,1,1,1,0,0,0
music_and_entertainment,1,0,8,14,0,2,2,11,14,1,1,1,3,19,1,3,0,4,0,18,0,0,2,2,2,0,0,4,7,1,26,6,6,5,0,27,5,5,0,0,2,0,2,6,5,2,3,2,0,1,3,25,3,41,1,2,13,8,1,1
