category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54,cluster 55,cluster 56,cluster 57,cluster 58,cluster 59,cluster 60,cluster 61,cluster 62,cluster 63,cluster 64
art,0,1,0,0,1,0,2,2,0,10,2,0,11,1,1,2,0,0,0,4,1,0,2,0,19,2,1,0,1,9,2,1,6,0,1,2,0,1,2,0,0,0,0,1,0,6,3,6,0,1,1,0,5,0,5,8,1,3,1,2,0,1,1,0,2
movies_and_television,3,5,1,0,0,3,0,0,3,3,2,1,10,39,13,2,0,0,0,8,0,0,0,2,14,1,2,5,9,6,7,27,1,0,1,1,2,1,8,4,3,1,1,0,0,7,8,4,0,0,1,0,34,0,0,7,3,4,2,5,2,0,2,2,2
web_development_and_sites,2,0,0,0,0,1,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,3,0,0,0,1,0,0,0,2,0,0,0,3,0,0,1,0,2,1,0,0,10,0,1,0,0,0,0,1,0,0,0,0
politics,0,1,0,0,5,2,4,1,3,0,0,0,1,4,6,11,8,0,26,9,0,44,0,0,0,1,2,2,3,0,15,3,2,0,5,0,0,1,24,50,12,8,5,0,1,1,0,38,1,0,4,4,6,0,15,0,133,0,11,25,60,20,14,0,4
sports,2,0,3,0,0,0,2,4,3,2,5,0,17,5,2,3,7,0,0,6,1,0,0,3,9,5,0,5,1,9,10,4,5,1,1,1,0,1,1,9,3,0,0,1,1,12,2,1,3,0,2,0,5,0,6,4,6,3,4,12,0,2,4,1,0
technology,8,2,1,2,6,3,11,5,2,5,10,0,7,10,6,5,0,0,1,6,2,0,5,2,8,1,2,4,1,10,26,4,32,0,1,3,5,0,15,13,6,6,3,2,15,3,4,12,12,28,8,0,19,20,13,4,8,2,1,5,3,1,3,1,4
educational,18,1,0,0,2,0,6,3,2,3,7,0,4,8,2,3,6,0,3,1,0,0,0,2,3,1,2,3,1,7,8,1,19,1,2,0,6,1,9,8,14,2,0,0,16,4,1,4,14,8,6,1,13,35,7,5,2,1,0,5,1,1,6,0,7
religion,11,0,2,1,0,2,0,2,1,4,11,0,5,22,1,0,1,0,0,5,8,0,1,0,18,0,61,1,1,1,6,13,5,0,0,0,18,0,6,3,1,0,1,0,0,0,8,6,6,1,2,0,12,1,3,6,1,0,0,2,0,1,0,0,2
travel,0,0,0,1,0,0,1,0,6,0,1,0,3,3,1,0,0,0,0,0,0,1,0,1,4,1,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,3,3,0,0,0,1,0,0,0,1,1,1,1,0,1,5,2,1,0,0
music_and_entertainment,0,1,2,3,4,3,2,2,2,17,13,0,53,20,12,2,1,0,0,2,5,0,21,1,21,19,2,0,1,4,1,4,0,3,3,11,1,1,7,0,2,1,3,0,0,11,10,7,3,1,4,0,3,0,3,12,1,10,0,0,0,0,2,2,3
the_environment,0,1,0,0,2,0,0,1,1,0,3,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,11,0,1,1,0,0,0,0,0,0,0,9,2,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,2,0,0,0,1,0,0,0,1,3
school_and_education,3,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,3,2,0,4,0,4,0,2,6,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,1,1,0,0,0,2,11,0,0,0,1,0,0,1,1,0
health,1,0,0,0,0,1,0,0,2,1,0,0,2,0,6,0,0,0,0,3,0,0,0,0,6,0,0,1,0,2,2,1,1,0,1,0,0,0,1,22,1,0,0,0,0,0,1,1,1,1,2,0,0,1,19,1,2,0,1,1,0,3,0,0,0
citizen_journalism,2,0,0,1,0,2,0,1,0,0,0,0,0,2,2,2,1,0,10,10,0,10,0,2,1,2,0,0,1,2,10,1,2,0,1,0,0,0,1,4,3,0,0,0,8,1,2,4,1,0,3,0,4,1,2,2,0,2,0,6,10,6,3,3,0
personal_or_auto-biographical,0,0,0,5,2,0,1,0,1,1,3,0,0,1,2,1,0,0,0,0,3,0,2,0,3,1,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,1,0,3,1,3,2,0,0,0,3,0,2,0,2,1,0,1,0,0,0,0,0,2,0
food_and_drink,1,0,0,0,0,1,1,0,4,2,1,0,1,6,2,1,0,0,0,0,1,0,0,0,0,1,0,2,2,3,0,0,1,0,1,0,0,2,0,1,2,0,0,0,0,4,0,0,0,0,5,0,11,0,1,1,3,1,0,12,0,0,3,0,1
conferences_and_other_events,3,0,0,0,2,2,0,1,0,1,3,0,0,1,0,1,0,0,0,2,0,0,1,0,2,0,0,0,0,1,8,5,7,0,0,0,2,0,1,2,2,3,3,0,0,1,1,2,2,0,3,0,4,0,0,3,1,0,2,0,0,0,0,2,0
