cluster,category,score
cluster10,food_and_drink,0.24172185430463577
cluster11,travel,0.17204301075268819
cluster12,citizen_journalism,0.6174863387978142
cluster13,default_category,0.3968253968253968
cluster14,conferences_and_other_events,0.14563106796116504
cluster15,travel,0.21428571428571427
cluster16,citizen_journalism,0.25
cluster17,conferences_and_other_events,0.1482889733840304
cluster18,food_and_drink,0.27461139896373055
cluster19,travel,0.1888111888111888
cluster21,travel,0.15755627009646303
cluster20,food_and_drink,0.375
cluster23,travel,0.2125984251968504
cluster22,autos_and_vehicles,0.23410404624277456
cluster25,school_and_education,0.2356020942408377
cluster24,citizen_journalism,0.2009132420091324
cluster8,travel,0.13194444444444445
cluster9,travel,1.0
cluster2,citizen_journalism,0.5527950310559007
cluster3,food_and_drink,0.19047619047619047
cluster0,health,0.5031847133757962
cluster1,conferences_and_other_events,0.19811320754716982
cluster6,travel,0.1724137931034483
cluster7,travel,0.2426470588235294
cluster4,conferences_and_other_events,0.25757575757575757
cluster5,food_and_drink,0.25
