category,cluster,score
art,cluster 69,0.14925373134328357
movies_and_television,cluster 10,0.09191176470588236
web_development_and_sites,cluster 16,0.21052631578947367
politics,cluster 54,0.2134453781512605
music_and_entertainment,cluster 10,0.16770186335403728
technology,cluster 40,0.06388206388206388
educational,cluster 16,0.09797297297297297
religion,cluster 53,0.13688212927756654
travel,cluster 5,0.1
sports,cluster 2,0.07035175879396985
the_environment,cluster 4,0.20408163265306123
school_and_education,cluster 51,0.16981132075471697
health,cluster 0,0.2840909090909091
citizen_journalism,cluster 22,0.08396946564885496
personal_or_auto-biographical,cluster 44,0.11764705882352941
food_and_drink,cluster 65,0.10256410256410256
conferences_and_other_events,cluster 8,0.06756756756756757
gaming,cluster 37,0.08181818181818182
literature,cluster 3,0.37349397590361444
business,cluster 39,0.08139534883720931
the_mainstream_media,cluster 24,0.2247191011235955
autos_and_vehicles,cluster 14,0.5714285714285714
comedy,cluster 10,0.1095890410958904
default_category,cluster 10,0.05271084337349398
videoblogging,cluster 66,0.06584362139917696
documentary,cluster 50,0.05504587155963303
