cluster,art,autos_and_vehicles,business,citizen_journalism,comedy,conferences_and_other_events,default_category,documentary,educational,food_and_drink,gaming,health,literature,movies_and_television,music_and_entertainment,personal_or_auto-biographical,politics,religion,school_and_education,sports,technology,the_environment,the_mainstream_media,travel,videoblogging,web_development_and_sites
cluster48,2,3,0,54,9,18,7,0,0,0,4,5,1,4,0,1,4,0,0,6,6,0,2,17,2,2
cluster69,5,23,2,1,6,11,8,5,1,3,2,6,3,2,1,4,1,2,1,0,0,0,7,13,8,5
cluster24,1,7,0,1,3,1,0,0,1,1,1,0,0,0,0,0,0,3,2,1,0,0,2,8,2,5
cluster58,2,1,2,1,12,2,3,1,1,4,0,0,0,2,2,1,0,9,0,0,0,0,8,11,11,0
cluster59,1,6,0,0,3,4,1,0,1,9,0,6,1,1,1,0,0,2,0,2,1,0,1,12,5,2
cluster54,0,0,0,0,0,2,1,0,0,2,0,0,0,1,5,0,0,0,0,1,0,0,0,4,1,0
cluster55,0,4,0,0,2,0,0,0,0,1,0,2,0,1,0,0,1,0,0,1,2,0,1,4,2,1
cluster56,1,3,1,2,1,0,1,0,4,2,0,1,0,3,2,2,0,4,7,0,0,0,6,12,6,1
cluster57,0,1,0,2,2,3,4,1,0,1,0,14,1,0,0,1,2,0,1,0,1,0,0,7,2,0
cluster50,0,1,1,5,4,4,3,0,1,1,0,1,1,0,1,0,2,0,1,2,0,0,0,6,3,0
cluster51,1,0,1,3,0,4,2,0,1,1,0,0,0,1,0,2,0,3,0,4,1,0,2,11,5,2
cluster52,3,1,0,11,5,3,1,1,0,0,1,4,3,8,0,0,2,0,0,0,1,0,2,12,0,2
cluster53,3,17,1,3,6,4,2,1,0,6,0,7,1,5,0,0,3,1,0,0,0,0,1,7,4,2
cluster10,1,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,2,0,1,0,0,1,4,2
cluster11,4,6,1,1,4,3,3,1,1,11,2,0,3,1,5,3,1,2,1,0,0,0,7,15,11,1
cluster12,1,0,3,3,1,9,7,0,1,2,0,0,0,0,1,1,0,1,0,1,0,0,2,16,3,1
cluster39,0,0,0,2,1,0,7,2,0,2,0,53,0,0,0,0,1,0,0,0,2,0,1,2,2,0
cluster14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cluster15,1,1,0,0,5,2,2,0,1,5,1,2,1,0,0,3,2,1,1,0,0,1,2,9,2,1
cluster16,0,2,0,6,1,4,3,0,0,1,0,0,0,1,1,0,3,0,0,0,0,0,1,4,2,1
cluster17,2,0,0,1,4,1,1,0,0,0,0,0,0,0,0,1,0,2,2,1,1,0,0,7,1,3
cluster18,29,6,0,1,14,11,4,2,5,40,0,19,7,1,3,1,3,9,1,1,1,0,15,30,14,7
cluster19,1,4,0,0,1,1,0,1,0,2,0,6,0,1,0,1,0,0,0,0,1,0,0,1,2,2
cluster30,1,26,0,2,2,7,3,1,1,2,0,7,1,1,0,0,4,1,0,2,0,0,0,7,1,5
cluster31,4,1,1,7,10,12,8,0,1,2,0,4,1,0,1,0,1,1,0,2,26,1,2,11,0,0
cluster36,1,0,10,0,1,23,31,2,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,14,2,1
cluster37,0,2,0,4,0,9,4,0,1,2,3,1,0,0,1,2,0,1,0,1,0,0,1,2,2,1
cluster34,0,1,0,7,0,3,2,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,2,0,4
cluster35,1,2,0,17,3,6,7,2,0,1,0,2,0,5,0,2,1,1,0,1,0,0,1,9,1,0
cluster65,2,2,0,9,4,3,4,0,1,0,0,0,1,1,0,0,0,3,1,0,2,0,0,5,1,1
cluster64,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,4,0,0
cluster38,2,3,0,1,1,0,1,0,2,1,0,0,1,3,0,3,1,1,8,1,0,0,2,11,14,4
cluster49,0,0,0,0,0,0,0,1,0,3,1,0,0,2,0,0,1,3,0,1,2,0,0,6,2,0
cluster13,2,2,0,134,4,8,5,0,1,0,0,0,23,1,0,1,0,0,0,2,4,0,4,13,1,0
cluster43,1,7,0,6,2,2,2,0,0,0,0,0,0,0,0,0,1,0,9,1,0,0,2,10,6,5
cluster42,0,3,0,2,4,3,9,2,0,1,11,2,1,0,0,0,0,0,0,4,3,0,0,4,2,0
cluster41,5,1,0,0,0,2,0,0,1,26,0,0,0,0,0,0,0,1,0,0,1,0,0,9,5,4
cluster40,0,2,0,11,3,1,2,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,2,14,2,0
