category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29
art,11,7,2,0,2,0,4,6,2,2,2,1,3,9,2,0,0,0,7,4,3,1,2,0,7,1,7,3,2,44
movies_and_television,12,2,0,0,31,0,1,20,2,2,18,5,16,12,3,0,4,3,3,2,0,3,6,0,58,9,20,5,11,24
web_development_and_sites,3,0,4,0,0,0,2,2,0,0,2,3,0,0,0,0,1,0,11,0,0,2,0,0,3,0,4,1,0,0
politics,51,0,5,0,2,0,3,8,19,12,47,11,170,28,0,0,15,2,29,0,7,82,8,65,4,14,8,1,3,1
sports,6,2,2,1,4,0,6,10,4,3,8,7,13,16,7,1,4,2,17,1,3,5,5,0,16,6,6,12,4,28
technology,20,10,12,5,7,0,15,8,9,10,27,3,30,17,10,0,9,4,75,3,9,3,16,0,24,2,55,3,1,20
educational,17,2,11,1,3,0,16,3,11,6,26,5,9,18,5,1,9,15,51,1,9,2,14,1,14,3,31,2,0,10
religion,22,1,0,0,15,0,2,6,1,0,17,3,4,3,9,0,1,77,11,0,14,0,7,0,28,0,17,0,1,24
travel,1,2,2,1,1,0,2,0,1,0,0,6,1,3,0,0,1,0,2,0,2,3,0,3,3,0,3,2,4,7
music_and_entertainment,9,40,3,3,8,0,8,7,3,2,5,8,1,4,13,3,5,3,5,11,11,0,2,0,43,3,12,22,3,85
the_environment,0,0,1,1,1,0,2,1,0,1,7,1,0,5,3,0,1,0,3,1,2,1,15,0,1,0,0,0,1,1
school_and_education,1,0,2,0,2,0,1,1,1,1,1,0,0,4,1,0,1,2,3,0,0,0,4,0,13,0,8,2,0,5
health,3,0,0,0,1,0,1,2,0,2,3,5,24,5,0,0,1,0,22,0,0,2,1,0,4,0,4,0,0,8
citizen_journalism,12,0,0,1,1,0,3,10,5,3,4,4,4,14,0,0,3,0,13,0,4,15,0,15,5,0,4,5,2,4
personal_or_auto-biographical,0,6,2,6,1,0,1,0,1,1,0,4,0,1,1,0,3,0,2,0,6,0,1,0,4,0,4,2,1,4
food_and_drink,2,2,2,0,1,0,1,0,2,1,2,6,3,17,2,0,0,0,1,0,2,1,3,0,13,1,9,1,2,4
conferences_and_other_events,5,2,0,0,5,0,2,7,0,1,3,2,4,1,3,0,6,2,9,0,4,0,2,0,4,1,8,0,0,3
gaming,6,3,2,1,3,0,2,2,2,6,0,5,2,5,3,0,4,0,3,1,2,2,0,0,9,1,10,15,6,15
literature,1,0,0,0,0,0,3,0,2,3,2,31,0,2,0,0,7,0,0,0,2,2,0,0,2,14,1,0,10,1
business,3,0,1,4,2,0,1,1,3,0,7,1,5,4,1,0,3,2,7,0,4,3,6,5,3,1,14,0,1,4
the_mainstream_media,2,2,1,2,2,0,2,3,1,2,5,1,8,0,4,0,2,2,22,2,1,0,13,0,4,1,5,1,0,1
autos_and_vehicles,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
comedy,7,2,3,0,3,0,2,1,2,1,10,10,12,10,1,0,3,3,6,1,1,0,1,0,21,2,7,6,8,23
default_category,26,16,21,10,11,2,30,14,17,10,29,35,31,34,19,2,24,8,44,6,29,13,17,10,50,14,42,14,18,68
videoblogging,5,12,8,5,3,0,9,7,3,3,4,25,4,9,5,1,7,3,7,4,8,4,3,2,25,12,17,12,7,29
documentary,9,6,2,3,7,0,3,4,9,1,5,6,1,3,1,0,1,1,2,2,4,2,1,1,7,5,5,0,6,12
