category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39
art,4,2,0,3,1,1,5,2,1,0,6,0,2,6,2,0,0,5,5,1,0,2,14,2,0,0,7,7,5,2,3,4,0,2,2,3,0,30,3,2
movies_and_television,7,20,0,2,3,9,19,3,3,1,6,1,9,3,28,4,0,24,22,1,1,0,40,0,0,2,12,2,7,2,2,3,1,0,5,6,0,9,2,13
web_development_and_sites,1,2,0,0,0,0,1,0,5,2,2,0,0,10,0,1,0,0,0,0,1,0,1,4,0,0,2,0,0,0,0,1,1,0,0,0,0,0,2,2
politics,0,3,0,0,6,1,0,3,2,6,2,27,9,28,2,16,0,5,35,0,17,1,1,5,63,0,2,0,23,19,12,41,54,1,166,2,0,1,2,40
sports,4,10,1,6,0,2,7,5,2,1,17,6,2,18,3,4,0,4,4,1,4,3,14,2,0,2,8,2,10,2,3,5,1,4,10,2,0,18,5,7
technology,4,15,0,9,17,1,4,6,11,33,3,2,2,68,7,1,0,14,14,2,7,9,16,11,0,2,7,7,15,10,9,12,1,2,25,10,2,15,13,21
educational,1,12,1,6,5,0,2,10,18,18,6,4,3,47,2,2,0,10,9,0,5,2,8,10,1,2,9,0,10,11,6,6,1,2,8,11,1,7,15,25
religion,1,25,0,12,6,0,4,1,23,4,0,1,0,9,12,0,0,10,20,0,1,1,18,0,0,0,3,1,2,0,0,4,0,0,2,66,0,19,2,16
travel,3,0,0,2,1,1,0,1,0,1,3,1,0,1,1,6,0,3,0,0,1,0,5,2,0,0,2,0,2,1,0,0,5,0,1,0,0,6,1,0
music_and_entertainment,20,13,3,16,1,2,7,2,2,4,15,1,3,5,6,2,0,11,9,10,2,3,40,3,0,2,11,36,2,3,3,2,0,0,1,6,2,64,6,4
the_environment,0,0,0,5,2,1,0,12,0,3,0,0,1,3,0,1,0,0,1,0,0,3,0,0,0,1,3,0,3,0,1,0,1,0,0,0,0,0,2,6
school_and_education,0,1,0,1,1,0,0,2,5,5,2,0,0,3,2,0,0,2,1,0,0,0,12,2,0,1,2,0,3,1,0,1,0,0,0,2,0,2,1,1
health,0,2,0,0,1,0,0,1,0,1,0,1,0,22,1,4,0,2,2,0,1,0,2,0,0,0,6,0,2,0,1,4,1,0,24,0,0,7,1,2
citizen_journalism,4,4,0,0,1,0,6,0,0,4,3,4,1,13,1,3,0,2,6,0,0,1,2,0,17,3,2,0,14,4,3,11,10,0,4,0,1,1,1,5
personal_or_auto-biographical,2,1,0,3,2,0,0,0,0,3,3,1,0,2,0,3,0,3,0,0,1,4,4,1,0,2,3,1,1,1,1,0,0,0,0,0,5,3,1,0
food_and_drink,1,12,0,3,2,1,0,1,1,1,3,1,0,1,0,9,0,3,6,0,0,2,4,2,0,0,4,1,11,3,1,0,1,0,1,0,0,1,0,2
conferences_and_other_events,0,5,0,3,0,0,4,0,7,1,0,1,1,7,4,0,0,4,5,0,4,2,2,0,0,2,2,1,1,0,1,6,0,0,2,2,0,3,2,2
gaming,10,2,0,3,1,5,1,0,0,4,9,1,0,2,3,4,0,6,4,0,0,0,11,2,0,4,5,1,3,2,5,0,1,2,2,2,0,13,2,0
literature,1,1,0,2,0,6,0,0,2,0,1,20,12,0,0,22,0,0,0,0,1,1,1,0,0,1,1,1,1,1,2,0,0,2,0,0,0,1,1,2
business,0,3,0,1,1,1,1,5,3,9,0,1,0,4,2,1,0,6,1,0,2,4,3,1,3,1,2,0,5,3,0,2,5,1,6,1,1,1,0,6
the_mainstream_media,1,2,0,2,0,0,2,16,1,2,0,0,1,19,2,1,0,3,2,2,0,2,2,1,0,2,1,0,0,1,2,1,0,1,8,3,0,1,2,6
autos_and_vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
comedy,5,3,0,1,1,5,0,0,2,1,8,0,2,6,1,5,0,8,7,1,3,0,24,2,0,0,9,0,6,2,1,5,0,0,9,1,0,17,2,9
default_category,14,27,2,23,8,12,9,8,17,29,15,15,15,42,8,36,2,27,19,5,10,12,47,20,8,8,21,9,27,12,8,14,7,8,26,7,3,43,19,22
videoblogging,15,11,1,7,4,5,6,2,2,6,15,5,10,7,2,12,0,12,5,2,4,5,16,6,2,3,16,9,6,1,3,1,2,2,3,3,2,19,7,4
documentary,0,4,0,4,1,6,1,0,1,2,2,2,5,2,6,4,0,3,6,2,0,5,7,2,1,2,2,5,1,6,1,6,0,4,1,1,0,8,2,4
