category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54,cluster 55,cluster 56,cluster 57,cluster 58,cluster 59
art,3,0,0,3,0,7,1,0,4,0,0,2,2,0,1,12,1,0,4,2,0,0,3,2,8,0,0,2,2,8,0,1,6,1,0,1,1,2,1,0,1,1,0,3,4,1,2,2,5,0,0,0,1,1,1,3,27,0,1,1
movies_and_television,2,3,1,1,0,20,1,0,4,1,0,12,6,1,2,32,3,0,8,0,0,1,22,2,8,2,0,1,3,26,1,1,1,0,1,7,26,7,0,1,4,3,0,0,16,10,4,8,0,0,0,0,3,1,3,2,7,1,3,0
web_development_and_sites,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,2,0,2,1,0,1,3,1,0,0,0,0,1,1,1,9,0,0,0,1,0,0,0,0,2,0,0,4,2,0,0,0,0
politics,12,2,1,16,3,6,3,0,31,1,0,33,1,1,1,1,0,2,8,1,29,8,2,11,0,11,0,2,160,2,14,0,18,3,1,0,2,1,0,51,4,19,0,0,16,0,2,8,0,0,43,3,5,6,0,1,1,25,23,1
sports,3,4,1,9,0,5,2,0,1,1,0,8,4,4,4,11,1,1,4,1,0,2,7,2,11,1,1,0,9,12,2,1,11,0,1,1,3,3,4,0,2,2,1,6,4,4,3,3,1,0,0,4,1,0,1,7,18,4,3,0
technology,7,3,2,12,1,22,12,0,12,24,2,19,1,2,0,16,1,2,9,5,0,4,10,9,4,3,0,9,18,11,7,1,31,10,0,3,7,11,1,1,8,1,27,7,9,2,0,2,6,0,0,1,12,6,9,2,11,3,5,4
educational,5,8,3,7,0,14,6,0,5,16,1,23,1,1,3,5,0,8,3,1,1,6,5,4,7,2,1,14,4,14,4,0,10,7,2,0,3,4,1,0,7,2,27,4,7,0,0,2,1,0,1,4,5,6,18,2,5,3,2,1
religion,6,2,0,2,12,2,2,0,4,6,0,9,0,0,0,20,5,57,2,1,0,0,19,0,0,0,0,1,2,4,1,0,3,0,1,1,8,7,0,0,12,1,0,10,22,5,0,0,1,0,0,1,2,0,14,0,16,1,0,1
travel,0,1,0,2,0,1,1,0,0,0,0,0,2,2,0,3,0,0,0,0,0,1,1,0,2,1,0,1,0,4,1,0,1,0,1,1,0,3,0,5,0,3,0,2,0,0,2,0,0,0,0,1,1,0,0,1,5,1,0,0
music_and_entertainment,0,1,2,1,0,5,3,0,6,1,2,4,16,2,3,42,2,2,1,4,0,1,14,2,37,0,3,2,0,13,2,10,2,2,0,1,3,11,0,0,1,1,0,10,6,10,2,1,23,0,0,3,2,3,2,13,40,1,1,3
the_environment,0,11,1,1,0,0,2,0,0,1,0,8,0,1,0,2,0,0,1,2,0,0,0,0,0,0,0,1,0,2,0,0,2,0,1,0,0,0,0,1,0,0,0,5,0,0,0,1,1,0,0,1,3,0,0,1,0,0,0,0
school_and_education,0,2,1,2,0,3,1,0,0,0,0,1,0,0,0,10,1,2,1,1,0,1,3,0,2,0,0,1,0,7,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,5,0,2,0,0,0
health,3,1,0,1,0,1,1,0,0,1,0,0,0,1,0,2,0,0,2,1,0,0,2,1,0,24,0,0,1,6,1,0,3,0,0,0,1,1,0,1,1,3,0,0,2,0,0,0,0,0,0,18,0,0,0,0,7,1,1,0
citizen_journalism,6,0,3,9,0,3,2,0,7,1,1,1,3,1,0,1,1,0,10,1,11,0,2,2,1,1,0,1,3,1,0,0,3,0,0,2,1,1,0,11,0,4,1,1,5,1,0,0,0,0,6,2,1,5,0,2,1,4,7,1
personal_or_auto-biographical,0,0,1,1,0,1,2,0,0,0,5,0,1,0,0,2,0,0,0,2,0,1,1,1,2,0,0,1,0,2,1,0,1,1,1,1,0,1,0,0,3,2,0,4,0,1,0,0,5,0,0,1,1,0,0,1,3,1,0,0
food_and_drink,0,0,0,9,0,7,0,0,0,0,0,1,0,3,1,2,1,0,0,2,0,0,7,1,2,1,0,0,0,6,0,0,0,0,2,1,0,0,1,1,3,1,0,1,5,1,2,0,0,0,0,2,2,4,1,2,1,0,3,2
