category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54,cluster 55,cluster 56,cluster 57,cluster 58,cluster 59,cluster 60,cluster 61,cluster 62,cluster 63,cluster 64
art,0,6,3,0,2,6,0,1,2,1,0,2,2,1,0,2,28,6,0,0,0,0,2,3,0,1,1,0,5,2,0,0,2,6,0,0,13,8,2,1,0,0,0,5,1,3,0,0,0,0,1,0,0,1,0,0,1,1,1,3,4,1,3,0,1
movies_and_television,1,0,5,1,20,1,0,1,2,31,0,0,14,0,1,5,8,7,0,1,2,2,0,7,0,1,1,3,19,4,1,0,0,4,0,0,41,18,4,8,4,2,0,0,4,1,2,1,3,6,3,0,1,0,1,1,0,0,1,18,1,3,1,5,1
web_development_and_sites,0,0,1,2,0,2,0,0,0,0,0,0,2,8,1,2,0,0,0,1,0,0,2,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,0,2,2,0,0,1,0,0,0,0,0
politics,0,0,1,0,61,18,5,10,11,2,0,1,1,0,3,3,1,0,1,9,6,32,2,11,27,0,2,2,1,141,0,0,0,31,44,0,2,5,1,13,1,2,0,7,0,1,22,49,0,8,6,0,6,4,0,6,4,0,0,2,0,0,12,3,15
sports,4,1,1,0,10,10,1,0,2,3,0,4,4,0,1,3,16,14,0,1,0,6,1,7,0,3,3,4,8,5,3,0,0,1,0,1,13,4,5,4,0,1,0,8,1,1,6,0,1,1,1,0,0,0,0,3,5,2,1,7,6,2,3,4,3
technology,2,4,2,28,23,42,3,3,9,5,2,2,10,25,7,1,12,3,0,7,5,3,10,17,2,9,1,3,7,10,2,5,0,12,0,0,13,17,2,2,3,2,2,9,1,10,0,1,2,13,11,0,2,11,0,0,1,4,0,5,1,7,5,2,5
educational,0,0,0,13,8,11,3,3,4,3,0,2,6,36,5,10,6,6,0,4,4,4,13,10,3,8,4,8,11,5,2,2,0,4,1,1,6,12,0,1,1,11,1,1,0,3,2,0,0,18,5,0,2,6,0,3,8,2,1,3,2,2,1,1,4
religion,2,1,1,0,7,3,4,0,0,13,0,0,14,2,14,11,16,0,9,1,0,1,1,12,0,6,1,0,3,0,0,1,0,4,0,0,20,5,0,0,2,59,0,0,6,2,1,0,0,11,4,0,0,0,0,1,1,7,0,5,2,5,3,0,2
travel,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,5,2,0,1,0,0,0,0,0,0,2,1,3,1,0,0,0,0,0,0,6,1,2,0,0,0,0,2,0,1,1,5,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,3,1
music_and_entertainment,2,24,1,0,5,2,2,1,2,3,3,0,14,0,1,3,50,20,0,2,5,2,2,1,0,5,0,1,10,0,0,4,3,6,0,3,41,4,20,1,3,2,2,3,2,6,0,0,0,2,1,0,1,2,3,3,4,6,9,7,11,9,0,3,0
the_environment,0,0,0,1,2,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,7,1,0,0,0,1,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,4,0,0,0,1,0,1,2,0,0,1,3,1,1,0
school_and_education,0,0,0,2,0,1,1,0,0,3,0,0,2,3,0,1,2,2,0,0,0,0,1,1,0,0,2,1,5,0,0,0,0,0,0,0,9,3,0,0,0,2,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,2
health,0,0,0,1,2,4,0,0,1,1,0,0,1,0,1,1,7,0,0,1,0,1,0,2,0,1,0,1,6,23,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,4,18,0,0,1,0,0,2,1,0
citizen_journalism,1,0,4,1,4,6,3,3,2,1,1,0,2,0,0,3,1,1,0,0,5,5,1,6,9,1,2,0,1,1,1,1,0,3,7,0,1,1,2,0,0,0,0,9,1,2,1,10,0,3,1,0,0,0,2,2,2,0,0,5,0,0,9,0,4
personal_or_auto-biographical,0,3,2,0,0,1,3,1,1,0,5,0,2,0,1,0,3,3,0,1,0,0,1,0,0,1,2,0,0,0,2,1,0,0,0,0,4,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,1,0,2,1,2,0,0,1,1,0,0,0
food_and_drink,0,0,1,0,1,0,0,0,1,1,0,1,10,0,2,2,1,2,0,0,4,0,0,3,0,0,3,0,4,2,0,1,0,0,0,0,3,5,0,0,0,0,0,10,0,2,1,1,0,0,2,0,0,1,0,2,2,1,0,0,1,2,0,3,3
conferences_and_other_events,1,1,0,0,5,5,2,1,1,3,0,0,4,2,3,0,3,0,1,3,0,0,0,7,0,0,0,0,0,0,2,0,0,3,0,0,1,3,0,1,1,2,0,1,0,2,0,0,0,3,1,0,0,0,1,1,0,0,0,3,1,3,2,0,1
gaming,0,2,2,4,1,2,0,1,6,2,0,2,4,1,1,2,11,7,0,0,3,0,1,4,0,2,2,0,5,0,2,2,0,2,0,0,9,2,9,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2,4,0,0,1,1,2,2,0,3,1
literature,0,1,10,0,0,0,1,2,2,0,0,2,0,0,0,1,1,0,0,1,2,1,0,1,1,0,1,0,1,0,0,1,2,0,0,0,1,1,0,5,0,0,1,1,0,0,21,0,1,1,0,0,1,0,1,11,0,0,0,0,1,1,0,5,0
business,0,0,0,4,5,2,3,0,0,3,1,1,4,2,0,1,1,0,1,0,1,5,0,3,3,1,2,4,0,3,2,3,0,1,3,0,3,6,0,0,2,1,1,1,0,2,1,2,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,2
the_mainstream_media,1,0,0,1,6,20,1,0,2,1,0,1,2,0,0,0,1,0,0,0,0,2,1,3,0,0,0,8,0,4,0,1,0,1,0,0,2,6,1,1,1,2,2,0,0,1,0,0,1,1,3,0,1,1,2,1,0,0,1,1,1,2,2,0,0
autos_and_vehicles,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
comedy,0,2,4,2,5,0,0,0,0,3,0,0,3,0,3,1,15,6,1,1,2,3,0,4,0,0,5,0,8,8,2,3,1,4,0,0,22,3,4,1,1,1,0,1,0,1,0,0,0,7,1,0,1,0,0,4,4,0,1,1,0,1,2,4,0
default_category,5,10,9,12,24,17,11,10,7,9,2,8,14,12,8,14,38,14,5,7,7,8,12,15,4,9,11,4,15,14,6,13,3,9,4,2,41,17,11,12,4,2,5,13,1,16,7,7,3,15,7,2,3,11,6,25,11,11,3,6,10,11,11,11,10
videoblogging,1,6,7,5,3,5,1,5,2,3,1,1,13,1,3,4,16,14,0,2,3,1,6,2,0,2,5,2,7,1,1,8,8,1,1,1,14,9,7,3,3,1,1,3,2,3,4,2,3,3,2,0,0,3,3,17,2,2,1,3,4,2,0,3,1
