cluster,category,score
cluster10,citizen_journalism,0.5616438356164384
cluster11,travel,0.2283464566929134
cluster12,citizen_journalism,0.6372549019607843
cluster13,travel,0.13385826771653545
cluster14,citizen_journalism,0.15555555555555556
cluster15,autos_and_vehicles,0.1589041095890411
cluster16,food_and_drink,0.2018348623853211
cluster17,conferences_and_other_events,0.18272425249169436
cluster18,food_and_drink,0.2
cluster19,travel,0.1978021978021978
cluster29,citizen_journalism,0.1643835616438356
cluster28,citizen_journalism,0.19
cluster21,travel,1.0
cluster20,autos_and_vehicles,0.2672413793103448
cluster23,autos_and_vehicles,0.16260162601626016
cluster22,travel,0.24390243902439024
cluster25,food_and_drink,0.3418803418803419
cluster24,citizen_journalism,0.21794871794871795
cluster27,travel,0.22727272727272727
cluster26,travel,0.2441860465116279
cluster8,food_and_drink,0.28205128205128205
cluster9,conferences_and_other_events,0.20833333333333334
cluster2,travel,0.15178571428571427
cluster3,citizen_journalism,0.4927536231884058
cluster0,travel,0.18518518518518517
cluster1,citizen_journalism,0.20085470085470086
cluster6,health,0.5968992248062015
cluster7,travel,0.20869565217391303
cluster4,food_and_drink,0.375
cluster5,travel,0.20430107526881722
