category,cluster,score
art,cluster 11,0.23134328358208955
movies_and_television,cluster 30,0.15808823529411764
web_development_and_sites,cluster 17,0.2631578947368421
politics,cluster 10,0.2907563025210084
music_and_entertainment,cluster 11,0.20496894409937888
technology,cluster 27,0.12285012285012285
educational,cluster 17,0.13175675675675674
religion,cluster 4,0.30038022813688214
travel,cluster 11,0.12
sports,cluster 11,0.10552763819095477
the_environment,cluster 32,0.2857142857142857
school_and_education,cluster 30,0.24528301886792453
health,cluster 10,0.2840909090909091
citizen_journalism,cluster 2,0.12213740458015267
personal_or_auto-biographical,cluster 1,0.17647058823529413
food_and_drink,cluster 0,0.20512820512820512
conferences_and_other_events,cluster 17,0.12162162162162163
gaming,cluster 11,0.11818181818181818
literature,cluster 20,0.20481927710843373
business,cluster 33,0.09302325581395349
the_mainstream_media,cluster 27,0.23595505617977527
autos_and_vehicles,cluster 16,0.5714285714285714
comedy,cluster 30,0.13013698630136986
default_category,cluster 30,0.08885542168674698
videoblogging,cluster 28,0.09876543209876543
documentary,cluster 11,0.07339449541284404
