cluster,art,autos_and_vehicles,business,citizen_journalism,comedy,conferences_and_other_events,default_category,documentary,educational,food_and_drink,gaming,health,literature,movies_and_television,music_and_entertainment,personal_or_auto-biographical,politics,religion,school_and_education,sports,technology,the_environment,the_mainstream_media,travel,videoblogging,web_development_and_sites
cluster10,1,0,1,0,0,0,0,0,0,3,4,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
cluster11,2,1,0,0,4,1,2,0,0,3,0,0,0,1,0,0,0,2,0,0,0,0,2,4,2,0
cluster12,2,44,2,42,18,15,16,2,3,13,4,1,8,7,1,6,2,6,1,2,1,2,8,39,18,5
cluster13,5,3,0,3,24,24,15,1,5,46,1,30,2,4,13,6,12,1,2,8,5,0,1,62,27,7
cluster14,7,16,0,9,7,4,3,2,2,13,1,2,8,1,2,6,0,6,0,1,0,0,11,11,3,3
cluster15,3,7,7,11,10,59,61,15,3,7,15,34,6,17,5,4,9,6,0,14,5,0,27,46,14,5
cluster16,8,17,1,6,14,7,5,1,1,30,2,4,3,1,2,3,2,9,2,0,3,0,8,36,17,8
cluster17,9,19,1,20,10,8,8,4,3,12,0,2,10,8,2,5,2,8,0,3,4,1,7,22,16,7
cluster18,1,1,0,0,0,0,1,0,0,5,0,1,1,1,0,0,0,5,0,0,0,0,3,5,2,1
cluster19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
cluster29,14,15,0,8,15,2,5,0,2,8,0,0,5,4,0,3,0,6,0,2,1,0,7,25,7,4
cluster28,7,23,2,110,18,39,20,1,4,5,2,4,6,9,0,6,3,1,1,1,8,1,7,38,9,2
cluster21,12,11,0,1,5,12,10,1,9,55,3,13,4,1,12,7,8,11,3,2,6,0,1,27,15,9
cluster20,9,8,3,110,7,43,16,4,1,4,1,11,6,5,2,1,4,4,6,6,17,2,6,38,13,3
cluster23,8,5,1,0,7,1,8,0,4,15,0,1,9,4,0,2,1,8,0,0,0,0,7,20,10,5
cluster22,0,3,0,129,3,11,3,0,0,3,0,0,0,26,0,0,1,0,23,7,2,0,0,32,4,3
cluster25,7,14,1,44,9,58,21,4,0,9,0,71,6,12,0,5,8,3,10,7,17,0,4,43,12,8
cluster24,6,14,4,16,9,45,32,3,0,10,7,76,1,7,2,4,12,3,10,21,12,0,12,65,13,2
cluster27,2,4,2,40,5,5,4,1,0,2,0,0,0,0,1,2,2,0,17,1,0,0,1,21,6,3
cluster26,4,5,0,2,1,2,0,0,1,8,4,3,1,0,1,2,0,5,1,0,1,0,7,10,5,7
cluster8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
cluster9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cluster2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cluster3,5,15,2,13,6,6,7,1,4,15,1,0,4,20,1,6,3,8,0,4,1,0,4,36,11,7
cluster0,5,7,1,0,2,0,2,0,0,10,1,1,0,0,1,0,0,0,0,1,0,0,7,4,3,2
cluster1,3,1,9,22,7,49,52,12,1,3,0,2,2,0,2,2,1,1,5,4,0,1,0,31,6,1
cluster6,6,8,0,2,7,0,0,0,3,13,1,0,5,1,2,3,1,4,0,0,1,0,3,16,2,9
cluster7,7,26,0,4,11,9,3,1,4,29,2,3,0,1,2,5,2,10,2,1,3,0,10,25,26,7
cluster4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cluster5,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
