category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34
art,8,5,12,1,2,5,2,0,1,1,7,13,0,0,1,3,2,0,1,6,0,14,0,3,2,7,7,3,3,1,6,4,1,7,5
movies_and_television,7,6,10,5,4,31,8,0,0,7,13,4,1,0,0,30,2,0,3,17,0,15,1,5,1,18,15,2,6,2,13,12,6,23,2
web_development_and_sites,3,0,0,0,1,2,1,0,1,1,1,0,0,0,1,2,1,0,2,0,0,0,0,0,0,1,0,9,3,0,0,2,4,2,0
politics,96,0,0,2,5,25,18,0,43,4,42,0,0,0,0,63,0,0,37,15,0,8,0,2,0,2,7,10,12,93,5,13,1,87,2
sports,6,2,4,6,4,14,4,0,2,7,11,4,0,0,0,11,0,0,6,9,0,13,0,1,4,10,15,3,8,1,6,6,6,14,22
technology,43,0,11,0,14,15,21,0,4,1,51,0,0,0,0,14,0,0,5,4,1,2,0,2,1,11,6,40,35,12,4,6,49,30,19
educational,18,2,7,0,7,14,10,0,3,6,16,2,0,0,0,9,1,0,4,6,0,5,1,0,2,2,8,50,33,2,3,7,50,16,11
religion,10,1,11,0,74,1,7,0,0,1,64,0,0,0,0,1,1,0,0,2,0,0,0,3,0,3,5,1,16,1,2,0,25,3,27
travel,1,1,10,1,0,2,1,0,0,4,0,3,0,0,0,2,0,0,0,5,0,1,0,0,0,5,0,0,2,0,2,2,2,3,3
music_and_entertainment,6,8,54,11,7,14,6,0,1,11,6,12,0,0,3,3,7,0,1,11,0,6,0,8,3,30,28,2,7,1,9,15,3,4,44
the_environment,1,1,3,0,1,2,0,0,0,0,0,1,0,0,4,2,0,0,0,0,0,0,0,4,0,3,2,0,6,0,1,1,15,1,1
school_and_education,4,0,1,0,1,2,4,0,0,1,5,0,0,0,0,1,0,0,1,3,0,0,0,0,0,1,1,10,1,0,1,1,12,2,1
health,5,0,5,3,1,9,3,0,0,10,4,2,0,0,0,4,1,0,0,8,0,5,0,1,0,0,3,2,1,0,7,4,4,4,1
citizen_journalism,4,0,1,1,1,6,24,0,10,4,5,0,0,0,0,6,1,0,0,7,0,4,1,0,1,0,1,0,4,17,1,19,2,8,3
personal_or_auto-biographical,1,0,12,0,1,0,4,0,0,1,0,2,0,0,0,1,1,0,1,2,0,0,0,1,0,3,2,2,2,0,1,1,3,0,10
food_and_drink,1,1,8,3,1,5,3,0,0,4,6,0,0,0,0,3,0,0,1,6,0,3,0,1,0,5,3,0,3,1,4,5,3,5,3
conferences_and_other_events,4,0,8,0,8,2,4,0,0,1,8,1,0,0,0,3,0,0,2,1,0,0,0,0,0,2,2,1,7,1,0,3,6,1,8
gaming,4,0,9,2,0,5,1,1,0,4,3,6,1,0,1,4,4,0,0,7,0,6,0,5,3,12,7,1,3,0,6,7,5,2,1
literature,4,0,2,0,0,1,2,0,7,0,7,0,0,0,0,0,0,0,15,0,0,0,0,1,0,1,4,4,13,20,0,0,0,1,1
business,6,1,2,0,3,3,0,0,2,0,6,0,0,0,0,1,0,0,1,2,0,2,0,0,0,1,0,4,19,5,1,4,15,0,7
the_mainstream_media,14,0,6,0,2,3,0,0,1,0,14,1,0,0,0,3,0,0,0,2,0,1,0,1,0,2,2,0,13,2,0,1,4,10,5
autos_and_vehicles,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
comedy,5,7,1,2,16,7,1,0,0,8,4,3,0,0,0,5,4,0,1,7,0,7,0,6,2,8,8,0,2,0,8,4,19,6,2
default_category,33,4,27,13,30,35,32,0,20,11,37,14,0,1,2,29,6,1,17,19,0,22,0,9,4,22,35,23,40,23,12,32,25,32,50
videoblogging,7,2,16,2,6,19,16,0,3,6,10,5,0,0,0,9,4,0,5,12,0,7,1,4,2,27,19,4,8,3,2,11,8,6,18
documentary,3,2,10,5,0,3,4,0,0,2,7,7,0,0,0,2,2,0,3,7,0,4,0,6,0,8,4,0,1,3,3,7,4,5,6
