category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39
art,9,0,5,0,2,4,3,6,1,0,3,0,0,0,0,6,1,1,7,3,3,5,1,0,0,4,3,11,1,8,2,12,0,12,3,4,1,7,3,2
movies_and_television,11,1,7,0,0,8,29,2,3,0,6,2,0,0,0,16,9,1,13,1,7,7,0,0,1,22,3,6,2,17,1,10,0,13,32,1,6,17,7,8
web_development_and_sites,1,0,2,0,9,2,2,3,1,1,0,1,0,0,0,0,5,0,0,1,1,1,1,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,1
politics,32,0,10,71,10,14,60,90,25,33,2,29,0,0,0,15,8,0,6,22,3,0,0,0,0,78,0,0,2,1,0,1,0,7,27,2,6,9,0,29
sports,6,0,4,0,4,4,11,4,2,1,6,2,0,0,0,9,7,0,5,6,6,0,0,0,0,11,5,4,3,10,4,7,0,14,14,20,3,14,3,10
technology,36,0,30,2,49,4,14,38,5,4,0,9,0,0,0,6,39,0,4,6,1,0,0,1,0,26,16,0,2,10,1,10,0,2,13,11,14,7,2,39
educational,12,1,20,1,56,7,8,16,3,3,0,0,0,0,0,6,34,1,3,7,7,2,0,0,0,12,19,1,0,2,2,8,0,4,13,10,3,5,2,27
religion,8,0,63,0,0,0,1,6,1,0,1,1,0,0,0,2,29,1,2,0,1,1,0,0,0,3,12,0,2,3,0,11,0,0,1,23,77,4,0,6
travel,0,0,0,0,1,1,2,1,0,0,1,0,0,0,0,3,2,0,2,2,4,0,0,0,0,1,2,3,1,4,0,9,0,1,2,2,0,1,3,2
music_and_entertainment,6,0,7,0,2,2,3,4,2,1,12,1,0,0,0,11,6,5,8,1,10,10,3,0,0,2,14,14,5,30,3,47,0,6,14,38,2,28,15,9
the_environment,0,0,7,0,0,1,1,1,0,0,1,0,0,0,0,0,14,0,1,0,0,1,4,0,0,0,1,1,3,4,0,3,0,0,3,1,0,2,0,0
school_and_education,2,0,1,0,11,0,1,4,1,0,0,0,0,0,0,4,13,0,1,0,1,0,0,0,0,2,3,0,0,1,0,1,0,0,1,0,1,1,1,3
health,3,0,1,0,2,4,4,3,0,0,1,1,0,0,0,9,5,1,7,0,10,0,0,0,0,4,1,4,1,0,0,3,0,5,8,0,2,3,0,5
citizen_journalism,2,1,2,15,0,22,5,3,0,7,1,5,0,0,0,6,16,1,1,2,4,0,0,0,0,7,3,0,0,0,1,1,0,4,4,1,1,1,0,15
personal_or_auto-biographical,0,0,1,0,2,0,1,1,1,0,0,0,0,0,0,2,2,0,2,0,0,1,0,0,0,0,9,2,1,3,0,12,0,0,0,7,0,2,1,1
food_and_drink,4,0,3,0,0,3,3,0,1,0,3,0,0,0,0,6,1,0,4,4,4,0,0,0,0,3,6,0,2,4,0,8,0,3,5,2,2,2,2,3
conferences_and_other_events,1,0,11,0,1,3,4,4,0,0,0,2,0,0,0,1,8,0,0,1,1,0,0,0,0,1,3,1,0,1,0,7,0,0,2,8,5,3,0,5
gaming,4,0,1,0,0,3,4,1,0,0,3,0,0,0,0,9,5,5,6,1,4,0,1,0,1,2,1,6,4,10,2,10,1,5,3,2,1,7,5,3
literature,10,0,6,0,1,0,0,1,12,0,0,25,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,5,0,12
business,1,0,14,5,6,4,1,6,0,2,0,0,0,0,0,3,13,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,2,2,6,1,0,0,13
the_mainstream_media,14,0,8,1,0,1,2,7,0,0,1,2,0,0,0,3,5,0,0,1,0,0,0,0,0,10,5,1,0,1,0,5,0,1,2,1,3,3,0,10
autos_and_vehicles,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
comedy,4,0,9,0,0,3,5,4,1,0,4,0,0,0,0,7,27,3,9,1,8,7,0,0,0,4,0,2,5,8,2,1,0,6,7,2,2,8,2,2
default_category,19,0,48,7,25,21,26,28,19,14,13,19,1,1,0,21,30,5,10,10,13,4,2,0,0,27,26,15,7,21,4,24,0,18,34,42,11,37,17,41
videoblogging,13,0,10,1,3,5,7,4,6,1,1,3,0,0,1,14,8,2,2,2,8,3,0,0,0,3,22,4,5,26,2,17,0,6,19,9,1,18,6,10
documentary,5,0,1,0,1,5,2,2,3,0,5,3,0,0,0,7,4,1,3,1,3,2,0,0,0,4,4,8,5,8,0,6,0,3,3,4,1,6,3,5
