category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49
art,5,1,9,3,8,0,4,0,4,1,2,0,0,4,6,2,5,1,4,5,3,1,0,0,0,8,2,4,0,3,2,4,0,3,3,0,4,9,3,4,0,1,0,7,1,3,3,0,0,1
movies_and_television,4,1,4,4,6,3,10,0,24,0,6,0,3,12,9,27,2,3,5,9,6,6,0,0,1,17,1,14,1,4,6,0,0,0,4,0,1,11,3,28,0,4,0,7,9,0,12,0,1,1
web_development_and_sites,1,0,0,0,0,0,1,0,1,1,4,0,0,0,0,0,0,1,2,1,1,1,0,0,0,1,0,0,0,0,0,2,0,1,0,4,0,0,1,2,0,0,0,1,1,9,0,0,0,1
politics,9,0,0,0,1,2,18,32,9,0,1,0,0,4,34,25,0,25,8,0,4,17,0,0,0,0,0,2,0,0,5,68,0,18,2,2,2,0,0,65,70,6,0,73,20,15,5,0,29,21
sports,4,0,1,3,2,1,7,1,11,0,4,0,2,10,2,10,5,2,4,6,4,1,0,0,0,9,3,3,0,2,14,5,0,6,5,1,21,10,0,12,0,3,0,3,6,5,4,1,2,4
technology,0,0,0,2,7,2,7,3,4,0,28,0,0,2,24,11,1,5,21,11,0,15,0,0,0,10,1,1,0,0,38,21,1,13,0,21,17,2,0,15,2,13,0,33,10,44,4,0,9,3
educational,5,1,1,2,6,0,5,3,6,0,19,0,0,4,10,4,4,3,17,9,4,9,0,0,1,2,1,1,0,2,22,13,0,14,0,38,10,1,0,9,1,4,0,7,11,39,2,1,0,4
religion,0,1,0,0,10,2,0,0,2,0,30,0,0,2,3,5,1,1,56,8,0,4,0,0,0,2,0,1,0,0,9,0,0,1,1,5,24,0,1,0,0,74,0,11,1,2,2,0,0,0
travel,0,0,0,1,6,0,1,0,2,0,1,0,2,0,0,1,3,0,0,5,2,0,0,0,0,5,0,5,0,1,3,2,0,0,1,0,3,2,0,2,0,0,0,1,0,0,1,0,0,0
music_and_entertainment,0,5,11,14,43,6,3,1,16,2,6,0,2,26,7,2,3,2,4,15,12,5,0,0,1,25,3,11,0,7,4,2,0,1,10,0,43,8,3,3,0,2,0,3,3,2,3,0,1,1
the_environment,0,0,0,0,1,4,1,0,2,4,15,0,1,2,0,0,0,0,5,2,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,1,0,0,0
school_and_education,0,0,0,1,0,0,1,0,1,0,11,0,0,0,2,1,0,1,1,1,1,4,0,0,0,1,0,2,0,0,3,1,0,3,0,1,1,0,0,1,0,1,0,1,1,11,1,0,0,0
health,3,0,0,0,1,1,4,0,2,0,4,0,5,0,3,3,9,0,1,5,1,3,0,0,0,0,0,2,0,0,1,1,0,5,0,0,0,3,1,5,0,1,0,3,11,1,7,0,1,0
citizen_journalism,7,1,0,0,2,0,17,8,3,0,2,0,0,1,3,5,3,0,1,1,1,22,0,0,0,0,1,3,0,0,6,2,0,0,1,0,2,2,0,5,14,1,1,4,4,0,1,0,5,2
personal_or_auto-biographical,1,0,1,0,9,1,0,0,0,0,3,0,1,1,0,1,0,1,0,6,1,2,0,0,0,3,0,1,0,0,2,0,0,1,0,0,11,0,1,1,0,0,0,0,1,1,1,0,0,0
food_and_drink,2,0,0,2,6,1,3,0,5,0,3,0,2,1,2,2,1,1,3,6,3,0,0,0,0,4,0,2,0,1,2,2,0,2,1,0,2,2,0,3,0,2,0,1,4,1,4,0,0,2
conferences_and_other_events,1,0,0,0,5,0,2,0,0,0,4,0,1,2,2,1,1,0,9,4,0,3,0,0,0,2,0,1,0,0,5,1,0,0,0,2,10,0,0,3,0,4,0,3,2,1,0,0,2,2
gaming,1,3,3,4,10,4,5,0,4,1,0,1,2,4,2,2,4,0,2,1,2,2,0,0,0,11,2,6,1,0,0,0,0,2,2,5,1,5,0,3,0,1,0,2,3,1,5,2,0,1
