category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54
art,2,12,3,1,0,5,0,1,2,3,2,1,1,6,0,0,6,0,2,0,2,2,3,0,4,3,0,7,0,0,1,0,1,4,1,6,2,3,9,1,7,4,4,0,3,4,3,1,4,3,3,0,0,0,1
movies_and_television,0,12,6,1,0,10,0,1,10,2,1,5,4,8,1,1,9,0,23,1,1,2,4,0,2,10,0,2,0,0,1,0,1,14,3,6,4,28,8,0,9,4,12,3,6,16,2,3,12,1,6,13,0,0,1
web_development_and_sites,0,0,1,3,0,0,0,1,4,2,7,2,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,3,0
politics,4,8,8,69,27,0,15,20,3,74,10,8,4,0,0,0,26,70,36,0,0,25,0,0,3,13,0,0,0,0,16,0,2,0,6,0,15,13,0,0,28,0,4,19,0,5,0,2,1,1,5,20,0,2,30
sports,2,11,12,0,1,6,1,4,9,9,3,1,3,5,0,1,4,0,10,0,3,2,1,1,1,4,0,4,0,0,8,0,0,2,3,2,7,7,8,0,5,4,5,1,2,6,0,6,5,18,6,5,0,0,1
technology,5,2,36,30,0,6,4,3,31,25,29,12,9,9,0,8,6,2,8,0,1,5,1,0,14,4,0,1,1,0,7,0,1,2,16,0,5,6,5,0,31,1,4,9,0,3,0,0,5,11,0,10,0,22,11
educational,7,4,17,6,1,3,2,4,12,14,37,6,2,5,1,9,4,1,6,0,1,1,0,1,9,6,0,4,0,0,8,0,0,1,17,1,6,4,5,0,10,2,2,1,2,1,1,0,2,5,4,10,0,39,11
religion,14,0,9,4,0,2,0,0,7,0,1,6,67,8,0,30,4,0,0,0,0,0,2,0,23,0,0,1,0,0,1,0,1,1,30,0,1,3,7,0,9,0,2,2,1,0,1,0,1,14,0,1,0,6,0
travel,0,1,1,0,0,2,0,0,2,2,0,1,0,7,0,0,1,0,2,0,0,0,0,0,1,1,0,2,0,0,1,0,1,5,0,2,0,1,4,0,0,1,2,0,0,1,0,1,3,2,3,0,0,0,0
music_and_entertainment,6,4,2,2,0,20,1,0,1,2,2,4,2,45,1,6,3,0,3,0,3,2,5,2,9,3,0,5,0,0,2,0,4,11,0,10,2,1,30,2,5,11,7,1,8,11,5,8,20,29,12,6,0,0,3
