cluster,category,score
cluster58,citizen_journalism,0.10869565217391304
cluster59,travel,0.14942528735632185
cluster54,food_and_drink,0.22580645161290322
cluster55,travel,0.22033898305084745
cluster56,citizen_journalism,0.627906976744186
cluster57,travel,0.375
cluster50,default_category,0.35051546391752575
cluster51,citizen_journalism,0.3017241379310345
cluster52,travel,0.17142857142857143
cluster53,citizen_journalism,0.24731182795698925
cluster10,autos_and_vehicles,0.3333333333333333
cluster11,travel,1.0
cluster12,autos_and_vehicles,0.16666666666666666
cluster39,videoblogging,1.0
cluster14,citizen_journalism,0.2714285714285714
cluster15,citizen_journalism,0.6990291262135923
cluster16,food_and_drink,0.23404255319148937
cluster17,food_and_drink,0.21739130434782608
cluster32,autos_and_vehicles,0.22115384615384615
cluster19,citizen_journalism,0.3804347826086957
cluster30,health,0.6095238095238096
cluster31,citizen_journalism,0.2823529411764706
cluster36,health,0.35772357723577236
cluster37,citizen_journalism,0.46846846846846846
cluster34,food_and_drink,0.23809523809523808
cluster35,citizen_journalism,0.25555555555555554
cluster9,food_and_drink,0.21153846153846154
cluster28,travel,0.23931623931623933
cluster38,travel,0.15315315315315314
cluster49,religion,1.0
cluster13,autos_and_vehicles,0.22988505747126436
cluster43,citizen_journalism,0.3125
cluster42,travel,0.16393442622950818
cluster41,conferences_and_other_events,0.14666666666666667
cluster40,autos_and_vehicles,0.1625
cluster47,food_and_drink,0.2169811320754717
cluster46,travel,0.21052631578947367
cluster45,videoblogging,0.17117117117117117
cluster44,travel,0.15384615384615385
cluster29,gaming,0.4
cluster64,conferences_and_other_events,0.21666666666666667
cluster61,videoblogging,0.14150943396226415
cluster60,default_category,0.3125
cluster63,autos_and_vehicles,0.3333333333333333
cluster62,art,0.5
cluster21,travel,0.13953488372093023
cluster20,travel,0.1111111111111111
cluster23,comedy,0.23076923076923078
cluster22,health,0.3113207547169811
cluster25,citizen_journalism,0.21839080459770116
cluster24,travel,0.23076923076923078
cluster27,food_and_drink,0.20588235294117646
cluster26,travel,0.26865671641791045
cluster18,comedy,0.21739130434782608
cluster8,citizen_journalism,0.234375
cluster48,travel,0.21951219512195122
cluster33,food_and_drink,0.3025210084033613
cluster2,food_and_drink,0.22727272727272727
cluster3,conferences_and_other_events,1.0
cluster0,citizen_journalism,0.4566929133858268
cluster1,travel,1.0
cluster6,literature,0.14285714285714285
cluster7,autos_and_vehicles,0.5
cluster4,conferences_and_other_events,0.2536231884057971
cluster5,videoblogging,0.25
