video,shot_number,category,cluster,interactions_number_speakers_2,interactions_number_speakers_3,interactions_number_speakers_4,interactions_number_speakers_4+,intervention_short,intervention_long,speakers_type_ponctuel,speakers_type_localise,speakers_type_present,speakers_type_regulier,speakers_type_important,speaker_distribution,mean_number_of_faces,std_number_of_faces,inter_intensity_variation1,inter_intensity_variation2,inter_intensity_variation3,inter_intensity_variation4,inter_intensity_variation5,inter_intensity_variation6,inter_intensity_variation7,inter_intensity_variation8,inter_intensity_variation9,intra_intensity_variation1,intra_intensity_variation2,intra_intensity_variation3,intra_intensity_variation4,intra_intensity_variation5,intra_intensity_variation6,intra_intensity_variation7,intra_intensity_variation8,intra_intensity_variation9,number_shot_transition,number_speaker_transition,speech,music,speech_with_music,speech_with_non_music,non_speech_with_music,non_speech_with_non_music,words,duration
NegoPolis-MarketingPlanParaMendigos1Parte694.xml,1,business,8,1.41,0.0,0.0,95.68,0.11,0.83,0.0,0.0,68.64,27.56,0.0,100.0,27.766666666666666,33.99772868230399,40.7529411765,44.0235294118,49.2392156863,29.8431372549,33.6,35.6588235294,25.6470588235,27.8078431373,28.3411764706,24.3137254902,22.7450980392,25.8823529412,19.6078431373,16.4705882353,17.2549019608,21.9607843137,19.2156862745,18.431372549,1008.79765396,5.98240469208,82.38,58.25,46.63,35.71,11.61,5.96,31.9764397906,14.9995601302
Stupidfamouspeople-PaparazziFootageOfBrookeShieldsAndGinaGershonInNewYork651.xml,1,music_and_entertainment,30,50.0,0.0,0.0,0.0,0.0,0.0,35.37,14.63,0.0,0.0,0.0,100.0,3.0,2.160246899469287,25.7137254902,30.1607843137,18.8156862745,18.2196078431,37.2235294118,14.9490196078,26.3607843137,32.3725490196,11.7607843137,22.7450980392,23.9215686275,16.862745098,14.1176470588,23.9215686275,10.9803921569,13.7254901961,17.6470588235,11.7647058824,1162.79069767,2.32558139535,2.98,86.28,2.79,0.19,83.49,0.74,0.0130890052356,0.378288026744
Interniek-BeverlyHillsChihuahuaPremire412.xml,1,movies_and_television,26,0.0,0.0,0.0,0.0,6.43,0.0,0.0,6.43,0.0,0.0,0.0,100.0,1.5,1.5,25.8235294118,31.8862745098,19.2078431373,28.062745098,32.2235294118,19.2862745098,23.6784313725,28.5764705882,14.4039215686,12.9411764706,16.4705882353,9.41176470588,20.7843137255,17.6470588235,11.7647058824,21.1764705882,17.2549019608,12.5490196078,276.816608997,0.0,1.72,95.85,1.16,0.55,94.68,3.15,0.0523560209424,2.54244743556
UBM-01073aWillYouBeAssimilatedByTheBeast152.xml,1,religion,19,3.1,0.0,4.01,60.63,0.13,0.0,0.0,0.0,15.05,16.45,33.19,100.0,0.0,0.0,1.08235294118,0.819607843137,0.921568627451,0.725490196078,0.760784313725,0.772549019608,0.572549019608,0.564705882353,0.505882352941,21.1764705882,21.568627451,22.7450980392,16.862745098,14.5098039216,17.2549019608,19.2156862745,17.6470588235,17.2549019608,45.9242250287,2.84156142365,64.49,29.41,25.76,38.68,3.64,1.34,45.7460732984,30.6501275622
DJsounds-Teaser2LaidbackLuke518.xml,1,music_and_entertainment,12,0.0,0.0,0.0,0.0,0.0,84.75,84.75,0.0,0.0,0.0,0.0,100.0,5.0,5.0,70.0470588235,70.7725490196,69.1450980392,67.9529411765,60.5294117647,67.0039215686,60.262745098,57.262745098,60.3921568627,25.0980392157,26.2745098039,30.5882352941,26.6666666667,22.3529411765,27.8431372549,26.2745098039,29.0196078431,25.0980392157,2321.42857143,0.0,88.26,5.71,4.15,83.21,1.56,7.68,0.837696335079,0.492654174364
Grollett-TrackstarTuesdaysIronLungSamuraiElectro412.xml,1,music_and_entertainment,33,99.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.2,100.0,15.125,8.695365144719341,54.7450980392,46.0235294118,36.2470588235,47.6117647059,47.7294117647,34.7803921569,21.5176470588,27.2784313725,32.6470588235,14.9019607843,19.6078431373,23.5294117647,16.4705882353,22.3529411765,29.0196078431,28.6274509804,30.5882352941,29.8039215686,549.132947977,0.0,96.17,11.97,11.38,84.64,0.59,2.91,9.54188481675,3.04389900589
Interestingtalks-NormanFinkelsteinAtTheUniversityOfCalgaryTheWarOnGaza178.xml,1,politics,31,8.71,11.46,0.0,16.16,6.79,34.02,3.22,0.0,20.07,51.62,0.0,100.0,10.857142857142858,8.475655413823615,29.0862745098,28.0549019608,23.9529411765,26.4980392157,32.2,26.1254901961,26.862745098,30.5568627451,23.8901960784,19.2156862745,16.0784313725,16.0784313725,15.6862745098,14.9019607843,12.9411764706,15.2941176471,16.0784313725,12.5490196078,1371.74211248,6.44718792867,58.91,53.18,21.28,37.63,31.91,9.05,9.58115183246,6.41330166271
Greenghoulie-Episode96TheBestOfTuesdaySeason4OnBryanAndPetesKids610.xml,1,school_and_education,16,0.0,9.87,5.06,76.98,1.71,0.0,0.0,0.0,1.61,27.91,62.06,100.0,4.428571428571429,3.0639443699324596,65.4823529412,58.1098039216,56.4196078431,51.0784313725,50.1215686275,57.6745098039,47.062745098,59.6392156863,65.8156862745,20.7843137255,17.2549019608,18.0392156863,17.6470588235,11.3725490196,18.8235294118,16.4705882353,14.9019607843,18.431372549,216.666666667,2.5,87.44,33.97,23.76,63.69,10.21,2.18,10.3664921466,5.27843758248
Thatsportsshow-TwitsTwitterAndMattStraqsHeadExploding895.xml,1,sports,4,0.0,61.78,0.0,0.0,3.14,22.08,3.5,0.0,0.88,0.0,82.52,100.0,4.6,3.1368774282716245,36.6705882353,36.8901960784,34.3450980392,41.7333333333,55.3254901961,39.262745098,46.6470588235,50.0039215686,40.9019607843,16.862745098,14.9019607843,14.5098039216,15.2941176471,19.6078431373,15.2941176471,14.1176470588,16.4705882353,15.2941176471,600.0,1.2,83.83,21.92,9.32,74.51,12.6,2.77,5.92931937173,2.1993489927
Marquisdejolie-IWasOnSteroids803.xml,1,sports,26,0.0,16.98,0.0,25.57,11.12,0.0,0.0,0.0,6.58,2.4,42.15,100.0,2.0,2.0,56.9176470588,58.3921568627,59.6039215686,53.337254902,54.4196078431,53.0352941176,33.3294117647,33.9294117647,36.4823529412,13.3333333333,15.2941176471,15.2941176471,4.70588235294,1.56862745098,6.66666666667,6.27450980392,5.49019607843,5.49019607843,208.333333333,12.0833333333,32.39,92.0,25.86,6.52,66.14,0.61,1.68848167539,2.11137503299
