cluster,art,autos_and_vehicles,business,citizen_journalism,comedy,conferences_and_other_events,default_category,documentary,educational,food_and_drink,gaming,health,literature,movies_and_television,music_and_entertainment,personal_or_auto-biographical,politics,religion,school_and_education,sports,technology,the_environment,the_mainstream_media,travel,videoblogging,web_development_and_sites
cluster10,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
cluster11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cluster12,8,19,1,0,10,11,4,1,5,31,2,3,0,1,3,5,1,11,1,1,2,0,9,20,27,8
cluster13,3,2,1,0,0,0,1,0,0,7,0,1,1,1,1,0,0,4,0,0,0,0,4,6,4,2
cluster14,4,5,2,5,5,20,18,1,0,10,1,93,1,1,0,2,10,5,0,4,2,0,34,33,5,0
cluster15,6,15,0,6,14,6,9,3,0,28,2,5,3,1,1,2,2,8,4,0,2,1,8,34,17,5
cluster16,11,15,1,9,10,2,7,0,1,8,0,0,3,9,1,6,1,4,0,1,2,0,8,25,10,4
cluster17,2,1,0,0,4,1,2,0,0,3,0,0,0,1,0,0,0,3,0,0,0,0,2,4,2,0
cluster18,3,7,0,4,6,1,0,0,1,15,4,3,1,1,0,2,0,4,1,0,1,0,6,14,3,7
cluster19,11,7,0,0,5,0,1,0,3,14,1,0,5,0,2,2,1,7,0,0,1,0,3,19,5,8
cluster29,2,3,2,38,6,6,3,1,0,2,0,0,0,0,1,1,2,0,15,1,0,0,1,17,6,3
cluster28,0,0,1,96,1,2,2,0,0,0,0,0,0,21,0,0,0,0,0,7,0,0,0,12,1,0
cluster21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
cluster20,1,3,1,38,2,13,5,0,0,2,0,2,1,5,0,1,2,0,28,1,2,0,0,33,5,4
cluster23,5,3,2,3,22,27,30,3,5,48,2,35,2,4,16,6,13,3,2,8,5,0,2,63,32,8
cluster22,5,28,2,24,11,12,12,4,2,18,0,2,11,7,2,5,3,9,0,5,3,0,7,37,25,7
cluster25,8,24,2,99,16,33,16,2,4,4,2,4,6,9,0,7,2,2,1,0,11,1,6,44,7,4
cluster24,7,12,6,46,14,84,57,15,0,8,0,63,7,10,2,6,9,3,14,11,14,1,4,60,13,7
cluster27,9,18,1,19,12,9,7,2,6,16,1,1,6,19,0,5,2,9,0,4,2,1,6,34,9,9
cluster26,5,17,6,26,14,80,58,15,3,7,20,17,7,25,4,6,10,2,10,29,17,0,4,68,18,6
cluster8,2,39,2,59,13,14,13,1,2,5,4,0,5,5,1,4,3,4,1,1,2,3,7,26,12,2
cluster9,6,8,1,5,8,1,8,1,4,13,0,1,10,4,1,4,1,4,0,0,0,0,9,14,8,4
cluster2,4,6,0,0,2,1,2,0,1,9,1,1,0,0,1,1,0,2,0,1,0,0,8,5,3,3
cluster3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cluster0,11,9,4,109,8,57,24,2,1,5,1,13,5,4,2,1,4,4,4,8,15,0,5,42,9,3
cluster1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cluster6,1,0,1,0,0,0,0,0,0,3,4,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
cluster7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
cluster4,7,15,0,4,9,4,2,1,2,9,1,2,10,1,1,4,0,9,0,2,0,0,9,16,3,4
cluster5,12,11,1,2,7,16,13,1,10,56,3,13,3,1,12,8,7,10,2,1,6,0,1,30,17,10
