category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34
art,3,12,1,0,8,14,1,1,6,6,5,7,1,0,4,0,3,0,2,8,0,5,5,0,2,7,4,5,5,1,2,6,1,1,7
movies_and_television,34,11,4,0,14,15,6,0,15,23,6,14,1,0,30,0,6,1,1,4,0,3,15,1,2,6,1,7,15,0,14,8,2,4,6
web_development_and_sites,2,1,1,0,1,0,1,1,0,2,2,0,1,0,2,0,0,0,0,2,0,4,2,0,2,0,0,0,0,1,5,4,0,2,1
politics,64,0,63,0,2,8,5,80,20,75,2,9,0,0,19,0,2,0,0,87,0,34,13,0,34,0,2,0,4,0,16,47,2,4,0
sports,11,5,2,0,11,14,3,1,9,12,3,6,0,0,14,0,5,0,4,5,0,12,6,0,6,3,21,2,15,0,7,8,1,5,8
technology,14,14,11,0,10,2,16,5,7,29,28,4,0,0,12,0,1,0,1,31,1,59,6,0,6,0,9,0,5,0,59,54,1,15,1
educational,9,12,4,0,3,5,14,3,7,14,25,3,1,0,13,0,0,0,2,16,0,41,7,1,4,1,12,2,8,0,41,24,0,16,7
religion,1,14,1,0,3,0,69,0,2,3,24,2,1,0,1,0,1,0,0,7,0,5,0,0,0,0,20,1,4,0,12,8,2,77,1
travel,2,10,0,0,5,1,0,0,3,3,2,3,0,0,2,0,1,0,0,1,0,1,4,0,0,2,3,0,0,0,2,0,1,0,4
music_and_entertainment,2,52,1,0,29,8,2,1,11,4,16,12,6,0,17,0,11,0,3,2,0,9,15,0,1,8,36,9,27,3,3,9,5,6,13
the_environment,1,3,0,0,4,0,0,0,0,0,3,1,0,0,3,0,4,0,0,1,0,0,1,0,1,1,0,1,1,4,19,0,0,1,0
school_and_education,1,1,0,0,1,0,3,0,4,2,2,2,0,0,1,0,0,0,0,1,0,9,1,0,1,0,1,0,3,0,14,5,0,1,0
health,4,3,0,0,0,5,2,0,10,3,2,8,1,0,7,0,0,0,0,2,0,8,4,0,0,5,1,0,3,0,5,4,1,0,9
citizen_journalism,5,1,8,0,1,4,1,19,8,8,5,1,1,0,4,0,1,0,1,3,0,14,20,1,0,0,0,0,1,0,17,2,0,1,4
personal_or_auto-biographical,1,11,0,0,3,0,0,0,2,0,14,2,0,0,0,0,0,0,0,2,0,2,1,0,1,2,2,1,2,0,3,1,1,0,0
food_and_drink,3,7,1,0,4,3,3,0,5,4,12,6,0,0,6,0,2,0,0,1,0,2,6,0,2,2,0,0,3,0,1,2,1,0,2
conferences_and_other_events,4,7,2,0,1,1,3,0,2,1,8,0,0,0,1,0,0,0,0,4,0,5,2,0,2,1,6,0,2,0,10,1,0,9,1
gaming,4,10,0,1,13,6,1,0,8,2,2,6,5,0,3,0,2,1,2,2,0,2,8,0,0,4,1,0,6,1,2,3,4,4,7
literature,0,1,20,0,1,0,0,10,0,1,1,0,0,0,1,0,0,0,0,4,0,12,0,0,13,0,1,0,2,0,7,8,1,0,0
business,1,2,1,0,1,2,2,6,3,0,2,1,0,0,2,0,0,0,0,5,0,13,4,0,1,0,5,1,0,0,26,3,0,4,0
the_mainstream_media,2,4,2,0,3,1,3,1,3,10,4,0,0,0,2,0,1,0,0,9,0,9,1,0,0,1,2,0,1,0,14,13,0,1,0
autos_and_vehicles,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
comedy,4,1,0,0,8,7,2,0,7,5,0,11,4,0,9,0,3,0,2,4,0,1,4,0,1,3,2,6,7,0,4,3,5,34,6
default_category,28,26,22,0,22,24,14,27,17,33,33,11,6,1,34,1,9,0,4,24,0,47,36,0,15,14,46,3,33,2,42,28,7,34,17
videoblogging,8,15,5,0,26,8,0,3,13,5,17,2,3,0,20,0,1,0,2,5,0,11,10,1,5,4,15,2,18,0,14,11,4,5,9
documentary,2,7,2,0,8,4,2,2,7,5,3,3,1,0,3,0,6,0,0,2,0,5,7,0,3,7,5,2,5,0,5,4,3,0,5
