category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39
art,5,3,8,1,0,11,7,5,0,4,6,1,2,0,0,0,0,6,2,3,3,1,6,0,6,0,2,3,6,3,7,9,1,2,1,1,1,11,5,1
movies_and_television,2,10,17,5,0,11,2,16,0,7,5,4,32,0,0,0,1,13,2,3,3,6,5,0,12,0,1,13,26,4,6,10,4,4,0,1,1,13,20,10
web_development_and_sites,1,2,1,1,0,1,0,0,0,1,4,0,1,0,0,1,0,0,2,1,2,2,3,0,0,0,0,4,2,0,0,4,1,0,1,0,0,0,1,1
politics,2,13,0,5,74,0,0,5,0,5,31,2,43,0,0,0,0,4,33,0,4,20,90,0,1,0,0,7,81,0,0,68,29,2,39,0,0,8,4,22
sports,23,5,9,3,0,6,5,14,0,5,9,6,11,0,0,0,0,8,6,0,4,1,6,0,4,0,4,14,17,2,2,6,2,1,1,0,0,11,7,7
technology,24,5,9,17,2,11,1,5,0,0,59,0,11,0,0,0,0,4,6,0,14,19,30,1,2,0,1,63,25,0,0,61,11,2,3,0,0,2,4,9
educational,23,7,3,13,1,12,4,8,0,5,41,0,13,0,0,0,0,1,4,0,17,24,12,0,1,1,2,39,14,2,1,24,3,0,3,1,0,5,2,9
religion,34,0,2,68,0,13,1,4,0,0,3,0,0,0,0,0,0,2,0,1,80,5,6,0,1,0,0,16,2,0,0,12,2,3,0,1,0,0,2,1
travel,4,2,5,0,0,8,3,0,0,2,3,1,2,0,0,0,0,2,0,0,0,0,0,0,4,0,0,3,4,1,2,1,0,0,0,0,0,1,1,1
music_and_entertainment,44,4,25,2,0,53,5,28,0,12,8,10,5,0,0,2,0,7,1,3,9,4,1,0,15,0,3,6,4,7,10,7,1,7,2,5,1,8,18,4
the_environment,2,1,3,0,0,3,0,1,0,0,0,0,3,0,0,4,0,1,1,0,1,1,1,0,0,0,0,19,1,1,1,0,0,4,0,0,0,0,1,0
school_and_education,1,0,1,2,0,1,0,3,0,1,11,0,1,0,0,0,0,1,1,0,1,8,2,0,2,0,0,9,1,0,0,3,0,0,0,0,0,0,1,3
health,1,4,0,2,0,3,9,3,0,1,7,1,6,0,0,0,0,9,0,1,0,3,2,0,2,0,0,5,5,0,4,4,0,1,0,0,0,3,1,10
citizen_journalism,2,21,1,1,12,1,3,1,0,1,7,1,5,0,0,0,0,1,0,0,1,21,3,0,1,1,1,6,7,0,0,4,5,0,10,1,0,4,3,6
personal_or_auto-biographical,13,0,3,0,0,12,0,1,0,1,2,0,1,0,0,0,0,1,1,1,0,2,2,0,0,0,0,4,0,0,2,1,0,1,0,0,0,1,0,2
food_and_drink,4,4,3,2,0,6,1,3,0,4,6,3,4,0,0,0,0,3,2,0,2,3,3,0,3,0,0,3,3,1,0,2,1,1,0,0,0,4,3,4
conferences_and_other_events,9,2,2,3,0,7,1,2,0,0,5,0,1,0,0,0,0,0,2,0,10,5,4,0,0,0,0,9,3,0,1,1,2,0,0,0,0,1,0,3
gaming,2,5,13,1,0,9,4,6,1,4,2,2,4,0,0,1,1,5,0,1,3,2,3,0,6,0,2,3,0,2,3,4,0,3,0,4,0,6,2,6
literature,1,0,1,0,1,0,0,2,0,0,13,0,1,0,0,0,0,0,13,0,0,9,4,0,0,0,0,1,1,0,0,6,23,1,6,0,0,0,0,0
business,8,4,1,2,6,1,0,0,0,0,10,0,1,0,0,0,0,2,1,0,3,3,3,0,0,0,0,27,0,1,0,4,0,0,2,0,0,1,1,4
the_mainstream_media,5,1,3,3,0,4,0,1,0,0,9,1,2,0,0,0,0,0,0,0,1,0,9,0,2,0,0,17,6,0,1,16,2,0,0,0,0,1,2,1
autos_and_vehicles,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
comedy,2,3,9,2,0,1,4,8,0,7,1,3,5,0,0,0,0,6,1,6,34,1,3,0,4,0,2,3,5,5,2,4,0,4,0,1,0,8,5,4
default_category,61,22,23,14,9,26,10,37,0,10,42,10,25,1,1,2,0,13,15,3,32,34,25,0,17,0,4,36,31,2,11,36,24,9,15,5,0,22,16,17
videoblogging,26,8,25,1,1,16,5,17,0,4,11,1,11,0,0,0,0,3,5,2,5,9,6,0,10,1,2,13,4,2,3,11,5,4,1,2,0,7,17,4
documentary,8,7,8,1,0,8,4,6,0,1,6,4,3,0,0,0,0,3,3,1,0,3,2,0,3,0,0,4,3,2,6,3,2,5,1,1,0,4,2,4
