category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44
art,4,3,1,0,0,6,0,4,2,8,6,2,1,1,5,1,3,0,0,0,5,1,7,1,4,5,5,5,1,0,2,0,11,2,5,6,1,6,3,6,1,0,1,3,5
movies_and_television,17,1,11,0,1,15,0,7,6,7,6,3,3,28,10,1,3,1,0,0,13,0,2,5,16,8,12,1,0,0,1,0,13,3,15,3,3,7,4,18,1,0,0,13,11
web_development_and_sites,1,2,1,0,0,1,0,0,0,1,0,2,1,1,4,0,1,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0,2,0,4,0,2,0,1,0,1,1,4,2
politics,4,28,21,72,0,0,0,0,7,0,0,33,32,34,24,2,21,0,0,0,2,0,0,14,65,5,4,2,0,0,0,0,8,4,6,75,2,1,0,68,0,0,38,7,13
sports,7,2,6,0,0,10,0,0,12,7,2,6,2,10,7,2,3,0,0,0,4,0,4,1,9,7,7,18,0,0,0,0,11,4,9,2,6,9,1,13,4,0,1,8,5
technology,3,17,9,2,0,8,0,0,47,7,0,5,10,9,44,1,18,0,0,1,3,1,1,17,20,1,3,20,0,0,0,0,2,15,6,36,0,12,1,23,0,0,3,51,5
educational,2,14,9,1,1,3,0,2,33,9,1,3,3,12,28,0,13,0,0,0,1,1,5,20,9,4,1,17,0,0,1,0,5,18,4,10,0,14,0,12,1,0,3,28,7
religion,1,1,1,0,0,2,0,1,19,5,0,0,2,1,56,1,1,0,0,0,1,0,1,6,1,0,2,28,0,0,1,0,0,82,3,8,0,13,2,4,0,0,0,16,0
travel,1,0,1,0,0,4,0,0,1,6,2,0,0,1,0,1,0,0,0,0,4,0,3,0,3,2,2,3,0,0,0,0,1,0,1,1,1,6,0,2,0,0,0,2,2
music_and_entertainment,16,4,4,0,0,24,0,7,4,31,7,1,1,3,5,6,3,0,0,0,15,1,8,4,3,12,7,31,1,0,6,0,8,9,21,4,9,44,4,3,2,2,2,3,6
the_environment,1,0,0,0,0,4,0,1,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,1,1,1,0,2,4,0,0,4,0,19,1
school_and_education,1,4,3,0,0,1,0,0,6,0,0,1,0,1,9,0,2,0,0,0,1,0,0,8,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,2,0,0,0,6,1
health,1,3,9,0,0,0,0,0,1,1,4,0,0,5,1,1,5,0,0,0,2,0,8,3,4,3,8,0,0,0,1,0,3,1,1,2,1,6,0,3,0,0,0,5,5
citizen_journalism,3,7,6,12,0,0,0,0,5,2,0,0,5,3,2,0,0,0,0,0,1,1,3,18,7,1,1,2,0,0,1,1,4,1,0,4,1,1,0,5,0,0,10,3,21
personal_or_auto-biographical,0,2,2,0,0,2,0,1,0,6,2,1,0,1,0,1,2,0,0,0,0,0,0,2,0,1,1,11,0,0,0,0,1,0,2,0,0,8,0,1,0,0,0,4,0
food_and_drink,3,1,4,0,0,3,0,0,2,4,0,1,1,4,4,1,1,0,0,0,3,0,1,3,2,4,3,1,0,0,0,0,4,2,1,1,3,9,1,5,0,0,0,2,4
conferences_and_other_events,0,2,3,0,0,1,0,0,6,5,1,2,2,1,2,0,0,0,0,0,0,0,1,4,4,0,0,8,0,0,0,0,1,8,1,3,0,4,0,1,0,0,0,11,2
gaming,1,1,6,0,0,10,1,0,2,9,3,0,0,4,0,3,2,1,0,0,4,2,4,2,1,5,4,1,1,0,3,0,6,2,7,2,2,4,2,2,2,0,0,4,7
literature,0,16,0,0,0,1,0,0,1,0,0,13,24,1,1,1,6,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,1,0,0,6,1,0
business,1,4,2,6,0,1,0,1,12,1,0,1,0,2,3,0,1,0,0,0,0,0,0,3,1,0,2,6,0,0,0,0,1,2,0,6,0,2,0,0,0,0,2,21,4
the_mainstream_media,2,2,1,0,0,2,0,0,8,4,1,0,2,0,8,0,2,0,0,0,2,0,0,0,5,0,0,2,0,0,0,0,1,2,3,13,0,3,1,7,0,0,0,15,1
autos_and_vehicles,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
comedy,5,1,4,0,0,8,0,6,0,3,2,0,0,4,4,3,0,0,0,0,4,1,4,1,4,7,6,2,0,0,4,0,8,33,7,4,2,0,4,4,1,0,0,4,3
default_category,15,27,15,8,0,21,0,3,31,21,10,16,24,26,20,4,21,0,1,0,15,1,11,29,29,10,14,47,0,1,4,0,21,31,27,19,10,28,6,20,5,2,14,29,24
videoblogging,14,4,4,1,0,22,0,2,8,16,3,6,4,10,5,2,8,0,0,0,13,2,6,9,5,3,3,20,0,0,3,1,7,5,12,3,1,13,3,6,0,0,1,9,8
documentary,1,5,5,0,0,7,0,2,2,5,6,3,2,3,3,2,4,0,0,0,3,0,4,1,0,1,3,5,0,0,0,0,4,0,4,2,3,7,5,3,1,0,1,4,7
