category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54,cluster 55,cluster 56,cluster 57,cluster 58,cluster 59,cluster 60,cluster 61,cluster 62,cluster 63,cluster 64
art,1,1,2,2,2,0,1,1,1,1,5,7,0,11,2,4,0,1,1,1,0,0,1,0,1,3,1,3,2,3,2,3,0,0,0,6,0,0,2,1,2,4,1,2,5,0,5,2,1,2,1,0,6,4,3,2,4,4,3,0,0,5,0,2,3
movies_and_television,1,2,0,1,4,2,4,1,0,0,4,4,3,4,10,11,0,0,3,3,15,1,2,0,6,3,4,3,5,5,9,13,0,1,0,13,0,0,4,1,3,0,1,3,4,0,11,2,7,4,1,1,2,16,11,2,11,11,2,0,0,3,0,24,8
web_development_and_sites,0,1,0,1,0,1,0,0,0,1,0,0,0,0,3,0,0,0,1,2,1,0,1,0,0,1,0,0,2,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,3,0,0,0,1,0,0,0,3,1,0,0,0,0,3,0,0,1,0,2,2
politics,0,4,1,1,0,5,11,0,0,22,0,8,4,0,4,1,68,0,19,2,10,0,25,17,10,0,2,3,1,0,3,4,0,0,0,0,0,0,0,2,13,19,18,3,18,0,0,1,18,0,4,0,63,59,4,11,3,0,14,0,0,0,28,49,40
sports,4,1,16,1,2,13,2,0,0,0,4,7,0,4,5,3,0,0,2,2,7,0,2,0,7,0,5,3,4,2,4,5,0,0,0,4,0,0,4,0,8,3,4,2,2,0,5,1,4,2,2,0,3,8,8,4,5,6,3,0,0,7,1,5,3
technology,0,10,2,7,2,41,1,0,0,3,6,1,9,0,43,2,2,1,8,3,6,8,4,4,10,0,0,0,8,1,11,1,0,0,0,4,0,1,1,1,10,17,3,2,36,0,1,11,9,0,7,0,12,22,4,2,2,4,12,0,0,9,0,7,30
educational,1,7,7,11,1,25,1,1,0,3,4,3,8,1,26,1,1,1,3,5,8,5,1,2,7,0,0,3,8,0,6,1,0,0,0,2,0,0,5,0,8,10,4,2,25,0,2,11,6,2,6,1,5,7,4,4,0,2,17,0,0,6,1,5,9
religion,0,49,8,9,0,5,0,1,0,2,4,0,2,0,11,0,0,0,2,0,0,5,0,0,1,0,0,0,45,2,7,1,0,0,0,1,0,0,1,1,1,1,0,0,4,0,0,21,1,1,42,0,5,2,2,1,2,2,0,0,0,11,0,0,6
travel,0,0,2,1,2,1,0,0,0,0,6,0,0,2,2,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,3,4,0,0,0,3,0,0,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,2,0,0,0,2,0,2,1
music_and_entertainment,2,1,21,4,12,2,2,5,1,0,24,0,3,12,1,11,0,1,1,1,5,7,2,1,4,3,10,11,2,5,14,8,0,0,0,15,2,0,1,4,1,2,0,2,2,0,7,4,2,7,5,0,1,1,21,0,5,19,5,0,0,34,1,1,3
the_environment,0,0,0,0,0,0,1,0,0,0,1,0,1,1,19,0,0,0,0,0,3,1,0,0,2,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,2,0,1,2,0,0,0,2,0,1,0
school_and_education,0,2,0,1,1,4,0,0,0,2,0,0,4,0,7,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,1,2,0,1,8,0,0,1,1,0,1,0,0,1,2,1,0,1,1,0,0,0,0,0,2
health,0,1,0,0,0,0,4,0,0,1,1,4,1,2,4,0,0,0,0,0,2,0,0,0,0,1,3,0,1,0,4,3,0,0,0,0,0,0,9,1,2,3,0,6,2,0,0,1,7,0,0,0,2,1,3,5,3,0,4,0,0,1,0,4,1
citizen_journalism,0,1,0,1,0,5,13,1,0,10,0,2,9,0,2,2,11,1,3,7,2,2,0,2,0,0,1,0,1,0,1,2,0,0,0,0,0,0,4,0,0,1,2,0,1,0,2,1,3,0,0,0,2,6,1,3,1,0,6,1,0,0,10,5,3
personal_or_auto-biographical,0,0,0,4,0,0,0,0,0,0,4,0,0,2,3,0,0,0,0,1,0,7,1,0,0,1,0,0,0,0,5,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,3,0,0,0,0,1,0,1,1,1,2,3,0,0,4,0,1,0
food_and_drink,0,2,0,1,1,2,0,0,0,0,2,2,0,0,0,0,0,0,1,4,4,1,0,0,3,0,3,1,0,1,9,3,0,0,0,2,0,0,2,1,4,1,2,3,1,0,1,5,1,0,0,0,0,1,1,2,2,3,4,0,0,0,0,1,1
conferences_and_other_events,0,1,1,3,0,4,2,0,0,1,2,0,2,1,6,0,0,0,2,1,1,2,0,0,3,0,0,0,4,0,5,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,8,1,0,5,0,4,1,2,1,0,0,3,0,0,0,0,2,0
gaming,0,0,0,2,4,1,1,2,0,0,6,2,0,5,3,1,0,2,0,2,3,0,0,0,2,0,2,2,1,1,2,5,0,1,0,4,1,0,4,4,2,2,1,3,0,3,4,0,3,0,3,0,1,0,5,2,2,7,1,0,1,4,0,1,2
literature,0,0,0,1,0,1,0,0,0,5,0,0,3,0,1,0,0,0,18,0,1,0,8,9,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,6,7,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0
business,0,1,4,1,0,15,2,0,0,2,1,1,3,0,16,1,6,0,0,2,2,2,1,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,1,3,0,0,0,0,1,3,0,3,0,0,0,1,0,2,0,0,1,1,1,3
the_mainstream_media,0,2,0,0,0,8,0,0,0,0,4,1,0,1,13,1,0,0,1,1,0,2,0,1,1,0,0,0,1,1,0,2,0,0,0,1,0,0,0,0,1,3,0,0,6,0,0,2,2,0,0,0,7,7,1,0,0,1,1,0,0,3,0,2,10
autos_and_vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0
comedy,1,2,0,3,0,1,2,1,0,0,0,4,1,3,1,2,0,1,0,1,3,0,1,0,3,6,1,3,1,4,2,6,0,0,0,5,0,0,5,4,2,0,1,2,1,0,4,0,3,3,33,0,2,3,5,1,6,4,0,0,0,0,0,2,4
default_category,3,9,29,12,12,17,9,3,0,8,11,9,17,12,22,11,7,1,20,9,15,10,10,15,14,3,13,7,6,5,17,13,1,0,1,11,2,0,10,5,17,17,6,4,16,2,9,16,12,1,21,0,16,13,21,8,8,13,24,0,0,19,4,19,15
videoblogging,0,0,10,4,5,7,1,2,0,2,10,3,2,3,9,12,1,2,2,3,11,6,5,3,7,2,2,2,3,1,6,10,0,0,0,11,0,0,6,4,5,6,1,0,6,0,4,4,1,1,3,0,1,3,13,0,3,15,6,1,0,6,0,3,3
documentary,0,1,2,0,1,1,3,0,0,2,3,2,1,6,3,1,0,0,2,3,0,0,2,0,1,1,4,1,0,6,5,3,0,0,0,8,0,0,2,2,1,2,1,0,2,1,1,2,2,1,0,0,1,2,4,4,4,4,5,0,0,4,0,0,1
