cluster,category,score
cluster10,religion,0.6666666666666666
cluster11,travel,1.0
cluster12,food_and_drink,0.13157894736842105
cluster13,citizen_journalism,0.346031746031746
cluster14,gaming,0.3333333333333333
cluster15,citizen_journalism,0.49230769230769234
cluster16,travel,0.18012422360248448
cluster17,food_and_drink,0.23371647509578544
cluster18,autos_and_vehicles,0.12096774193548387
cluster19,conferences_and_other_events,0.16024340770791076
cluster21,travel,0.1954674220963173
cluster20,travel,0.18181818181818182
cluster23,food_and_drink,0.15463917525773196
cluster22,autos_and_vehicles,0.1377952755905512
cluster25,citizen_journalism,0.34959349593495936
cluster24,citizen_journalism,0.2440318302387268
cluster8,travel,0.2198952879581152
cluster9,food_and_drink,0.20967741935483872
cluster2,travel,1.0
cluster3,autos_and_vehicles,0.25
cluster0,health,0.1461038961038961
cluster1,travel,0.17355371900826447
cluster6,conferences_and_other_events,1.0
cluster7,travel,0.17167381974248927
cluster4,citizen_journalism,0.28
cluster5,travel,0.20689655172413793
