cluster,art,autos_and_vehicles,business,citizen_journalism,comedy,conferences_and_other_events,default_category,documentary,educational,food_and_drink,gaming,health,literature,movies_and_television,music_and_entertainment,personal_or_auto-biographical,politics,religion,school_and_education,sports,technology,the_environment,the_mainstream_media,travel,videoblogging,web_development_and_sites
cluster39,35,12,4,77,40,164,99,19,11,18,6,8,6,30,7,21,2,32,1,11,2,0,34,93,22,27
cluster58,69,125,0,137,34,41,9,12,10,64,0,15,60,89,0,7,23,21,0,3,31,0,12,61,13,41
cluster59,112,498,4,293,166,88,63,11,22,220,15,72,21,72,8,68,59,77,5,11,26,0,169,243,76,119
cluster54,91,180,10,86,101,118,121,10,10,188,5,81,30,66,35,25,67,93,0,38,48,1,74,259,102,89
cluster55,9,45,1,37,31,13,11,0,6,20,0,2,0,4,1,2,7,15,21,1,12,0,32,68,43,45
cluster56,89,90,15,90,104,110,144,38,24,60,19,52,27,38,17,82,22,41,1,13,8,3,70,202,112,36
cluster57,0,0,0,0,4,1,4,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
cluster50,4,17,8,341,1,31,4,1,47,5,6,2,11,26,1,1,0,8,0,29,2,0,3,73,20,5
cluster51,58,122,28,539,155,542,223,37,12,55,21,233,38,58,9,26,40,15,0,55,57,8,61,206,45,24
cluster52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cluster53,83,105,0,167,22,25,10,2,4,35,0,14,1,127,0,0,17,10,0,1,9,0,24,74,17,65
cluster10,60,117,20,84,52,237,84,8,22,134,23,24,7,15,23,89,20,96,8,20,17,0,107,239,79,28
cluster11,228,102,17,468,114,645,157,6,7,24,12,216,62,185,3,30,62,35,0,30,79,1,45,235,33,25
cluster12,41,40,0,2845,253,26,177,0,7,15,1,91,2,14,3,10,67,4,0,0,8,0,55,479,4,13
cluster13,64,197,3,94,65,60,23,12,4,61,2,41,14,47,1,11,18,42,2,1,13,0,42,152,38,96
cluster14,0,1,5,120,41,15,45,0,15,11,0,44,17,4,1,1,5,23,14,18,0,0,15,46,32,7
cluster15,163,121,10,132,58,114,171,17,11,36,18,21,16,22,7,26,16,90,3,1,9,0,47,221,38,21
cluster16,179,560,9,166,77,107,135,15,50,613,8,74,60,53,10,23,9,137,3,20,45,0,214,566,160,183
cluster17,77,120,1,165,46,98,78,5,13,83,23,42,11,18,2,97,31,49,1,18,22,0,54,183,68,45
cluster32,662,570,5,158,284,85,72,78,60,354,10,145,26,53,16,25,23,94,0,7,24,0,154,504,153,186
cluster33,111,220,53,365,79,62,318,17,19,93,8,45,7,70,4,21,27,34,1,17,10,0,69,379,91,57
cluster30,27,128,0,71,14,29,8,1,4,58,1,10,3,65,0,2,13,21,0,5,47,0,20,71,36,44
cluster31,94,72,1,113,21,80,16,2,5,12,11,6,44,97,0,5,7,8,0,3,19,0,21,36,21,38
cluster36,114,98,15,835,19,156,35,2,0,125,0,649,18,154,2,3,59,49,2,10,54,0,12,278,16,73
cluster37,140,96,4,4268,31,156,106,0,1,107,1,131,65,259,1,8,98,98,0,23,24,0,16,372,13,160
cluster34,29,5,51,288,21,515,305,3,5,5,0,1,27,20,1,1,51,10,0,19,4,0,6,327,29,0
