category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29
art,145,130,175,138,16,104,29,21,83,296,134,451,168,63,207,122,51,140,211,277,147,3,191,80,79,127,36,917,223,33
movies_and_television,240,503,90,72,17,134,19,100,119,145,211,1138,337,85,166,380,214,184,94,307,302,71,869,435,99,405,10,1077,624,70
web_development_and_sites,4,13,0,1,8,1,74,86,31,36,26,15,36,93,13,5,9,1,7,7,1,6,6,3,23,19,103,10,23,5
politics,316,434,390,1535,367,207,99,61,134,1281,895,320,760,143,4973,269,2924,210,128,399,305,245,191,332,3119,1841,423,332,334,7
sports,40,162,48,53,46,81,88,15,91,273,77,225,175,83,49,104,117,36,156,88,111,122,147,38,273,105,20,472,313,43
technology,178,249,126,100,42,193,383,337,379,884,309,168,771,260,310,116,1069,90,254,146,96,70,59,23,39,588,780,185,188,32
educational,104,122,32,55,21,109,356,479,130,313,129,174,325,496,147,43,199,29,89,172,41,86,158,38,415,375,620,141,195,17
religion,690,112,17,25,2,51,6,130,26,213,1546,179,542,340,273,53,106,24,17,68,36,44,147,47,116,180,14,305,154,6
travel,2,30,6,0,48,23,6,1,29,25,4,74,10,4,2,18,11,10,28,32,16,31,26,6,14,10,4,95,52,19
music_and_entertainment,34,311,47,67,5,98,20,13,148,104,193,1258,124,95,206,126,51,107,269,73,90,28,122,139,41,108,11,698,250,122
the_environment,4,90,2,3,6,32,8,0,36,21,1,10,32,7,1,12,1009,12,87,22,8,0,1,14,1,57,2,15,22,2
school_and_education,8,12,6,0,1,11,53,33,16,27,21,33,23,11,3,16,0,6,12,24,16,1,9,3,8,7,16,91,59,0
health,69,54,174,98,29,13,6,23,8,350,26,68,56,42,93,21,382,49,18,32,89,34,44,39,2,265,28,51,42,0
citizen_journalism,185,96,242,269,26,39,69,36,31,162,158,97,265,58,332,196,153,163,52,177,150,15,124,169,35,487,21,113,134,29
personal_or_auto-biographical,0,20,2,1,1,4,10,3,30,27,2,28,29,1,3,2,1,0,21,7,0,6,19,1,3,10,1,25,22,6
food_and_drink,11,97,4,1,1,122,1,10,103,46,13,39,50,15,13,12,79,10,148,34,16,2,6,11,18,35,4,46,139,15
conferences_and_other_events,63,74,11,79,1,34,7,118,21,60,60,17,198,42,136,32,56,15,44,45,37,30,79,30,71,258,90,39,74,0
gaming,219,138,10,10,10,74,27,20,108,52,62,256,89,50,121,67,33,15,107,118,73,120,87,21,22,186,14,195,119,79
literature,9,36,0,0,0,2,0,0,8,0,1,5,12,0,0,2,27,0,10,5,5,72,0,0,2,3,1,2,5,48
business,7,28,10,9,30,21,41,7,29,66,17,18,104,37,29,9,114,3,19,1,17,33,27,7,5,43,34,13,31,1
the_mainstream_media,40,43,12,62,3,23,1,0,17,105,64,92,382,15,32,57,137,47,16,26,50,16,30,111,10,255,15,57,25,4
autos_and_vehicles,0,1,0,0,0,0,2,1,0,13,0,0,6,10,0,0,0,0,4,0,0,0,0,1,0,1,3,0,2,0
comedy,109,205,20,31,3,80,21,18,114,105,94,418,122,14,56,68,200,39,110,90,37,40,51,30,79,137,16,349,203,65
default_category,325,472,167,315,114,235,312,192,354,395,296,929,580,279,563,284,532,116,407,345,148,151,246,219,753,811,495,889,466,157
videoblogging,35,128,44,36,24,83,41,10,109,101,46,261,104,73,27,102,222,46,105,62,33,98,50,48,35,69,45,259,216,109
documentary,152,137,90,90,13,69,13,38,32,53,103,348,58,45,240,164,136,79,85,151,124,45,131,81,20,87,3,314,190,36
