cluster,category,score
cluster10,health,0.17787255393878576
cluster11,citizen_journalism,0.23603253182461104
cluster12,citizen_journalism,0.18175235336712528
cluster13,citizen_journalism,0.6288951841359773
cluster14,autos_and_vehicles,0.16568893976248392
cluster15,citizen_journalism,0.44401840490797545
cluster16,citizen_journalism,0.18888888888888888
cluster17,citizen_journalism,0.15678391959798996
cluster18,autos_and_vehicles,0.14919957310565635
cluster19,travel,0.1693121693121693
cluster21,citizen_journalism,0.13501056270405223
cluster20,travel,0.15057915057915058
cluster23,autos_and_vehicles,0.16969869243888572
cluster22,travel,0.13376383763837638
cluster25,citizen_journalism,0.14751869476546567
cluster24,default_category,0.25236593059936907
cluster8,citizen_journalism,0.5828857195776995
cluster9,citizen_journalism,0.354024876789486
cluster2,default_category,0.2562718323277231
cluster3,autos_and_vehicles,0.1924990432453119
cluster0,food_and_drink,0.18571428571428572
cluster1,citizen_journalism,0.2888076079005121
cluster6,travel,0.15951147298297558
cluster7,default_category,0.19533927347498287
cluster4,health,0.27972858354537744
cluster5,autos_and_vehicles,0.16263736263736264
