category,cluster,score
art,cluster 21,0.19637273295809882
movies_and_television,cluster 7,0.14347775038158977
web_development_and_sites,cluster 9,0.20300751879699247
politics,cluster 18,0.22225124053277617
music_and_entertainment,cluster 7,0.26744655102864057
technology,cluster 14,0.13556505223171889
educational,cluster 9,0.14385026737967915
religion,cluster 11,0.30151764490766136
travel,cluster 21,0.16037735849056603
sports,cluster 21,0.13667488359353602
the_environment,cluster 14,0.7119314436387607
school_and_education,cluster 21,0.19391634980988592
health,cluster 14,0.17913832199546487
citizen_journalism,cluster 6,0.12196914033798678
personal_or_auto-biographical,cluster 25,0.15087719298245614
food_and_drink,cluster 25,0.16893732970027248
conferences_and_other_events,cluster 6,0.14387699066447007
gaming,cluster 7,0.11270983213429256
literature,cluster 19,0.27450980392156865
business,cluster 14,0.14938271604938272
the_mainstream_media,cluster 3,0.23640526617057814
autos_and_vehicles,cluster 16,0.36363636363636365
comedy,cluster 7,0.1545827633378933
default_category,cluster 7,0.08642937559539274
videoblogging,cluster 21,0.1079740557039298
documentary,cluster 7,0.11288775183882316
